id,name,region,latitude,longitude,ocean,location,description
0982bf3c-40af-4b61-8e39-0ff77bc96d33,Emerald Reef,"North America, Usa, Florida, Florida Keys, Key Biscayne",25.68887231565964,-80.09342193603517,"Atlantic Ocean, Straits Of Florida","Key Biscayne, Florida Keys",
0a4e2a2b-73df-45bc-b251-eb1920c13218,Herrera,"North America, Usa, Florida, Florida Keys, Islamorada",24.84407297493189,-80.64239501953126,"Atlantic Ocean, Straits Of Florida","Islamorada, Florida Keys",
0b90813c-5c01-41b5-a83e-c94ed89d53ac,Hen &amp; Chickens,"North America, Usa, Florida, Florida Keys, Islamorada",24.97718874691411,-80.43519973754884,"Atlantic Ocean, Straits Of Florida","Islamorada, Florida Keys","This shallow reef in the Florida Keys is perfect for beginners and snorkelers. Vibrant coral formations teem with tropical fish, including parrotfish, angelfish, and occasional nurse sharks. The site's scattered coral heads resemble a hen and her chicks, creating interesting swim-throughs. Clear waters and gentle currents make for relaxed diving. Expect excellent visibility and abundant marine life in this easy-access Atlantic dive spot."
0ca81855-9b10-4913-9e5b-48b9338dcdb1,Long Key Reef,"North America, Usa, Florida, Florida Keys, Dry Tortugas National Park, Bush Key",24.62173903640995,-82.85991668701173,"Atlantic Ocean, Straits Of Florida","Bush Key, Dry Tortugas National Park",
0e6a9ad3-cb43-4d11-8f4d-a21a36c80bcc,Dscr Middle,"North America, Usa, Florida, Florida Keys, Islandia",25.57093678375228,-80.0457000732422,"Atlantic Ocean, Straits Of Florida","Islandia, Florida Keys",
12c5e6f3-025c-4025-b235-2aee4a6f296c,Texas Rock,"North America, Usa, Florida, Florida Keys, Dry Tortugas National Park, Loggerhead Key",24.6498255275906,-82.90987014770509,"Atlantic Ocean, Straits Of Florida","Loggerhead Key, Dry Tortugas National Park",
184d9981-5aa8-494f-915d-c48314f1668c,Sombrero Key,"North America, Usa, Florida, Florida Keys, Bahia Honda Key",24.52588544459264,-81.14364624023439,"Atlantic Ocean, Straits Of Florida","Bahia Honda Key, Florida Keys",
1b3ffb87-ce3a-4639-b7c1-64dd74aa77db,South Carysfort Reef ,"North America, Usa, Florida, Florida Keys, Key Largo",25.18133059664982,-80.14801025390626,"Atlantic Ocean, Straits Of Florida","Key Largo, Florida Keys",
1e832e5c-e5e8-4a7f-95c4-cfe232478b82,Molasses Reef,"North America, Usa, Florida, Florida Keys, Key Largo",25.03086141039045,-80.40996551513673,"Atlantic Ocean, Straits Of Florida","Key Largo, Florida Keys",
203dd8fc-6306-4a95-af6b-b3bc674ad404,Carysfort Trench,"North America, Usa, Florida, Florida Keys, Key Largo",25.23204104880275,-80.16629219055176,"Atlantic Ocean, Straits Of Florida","Key Largo, Florida Keys",
2ac3ec3f-d771-4b7f-b874-d49b6b642b2b,Carysfort North Reef ,"North America, Usa, Florida, Florida Keys, Key Largo",25.22357785192819,-80.16799164237456,"Atlantic Ocean, Straits Of Florida","Key Largo, Florida Keys",
31dcf2f8-6fc3-4080-8f68-49bcc2e879bf,Christ Statue / Christ Of The Abyss,"North America, Usa, Florida, Florida Keys, Key Largo",25.12679137360082,-80.28928756713869,"Atlantic Ocean, Straits Of Florida","Key Largo, Florida Keys",
360b63f8-4e5b-4bed-9610-de44837d441f,Dscr South,"North America, Usa, Florida, Florida Keys, Islandia",25.50712266275262,-80.0676727294922,"Atlantic Ocean, Straits Of Florida","Islandia, Florida Keys",
4b79a11c-59f1-47a2-9d02-95d31dfe5217,El Infante,"North America, Usa, Florida, Florida Keys, Islamorada",24.91072665985998,-80.49270629882814,"Atlantic Ocean, Straits Of Florida","Islamorada, Florida Keys",
4df17629-73c8-4394-a9ae-a7581871d8da,Sand Key,"North America, Usa, Florida, Florida Keys, Key West",24.45230642068509,-81.8789577484131,"Atlantic Ocean, Straits Of Florida","Key West, Florida Keys",
4e6dcb1f-215c-4234-93e5-1262c4744171,City Of Washington,"North America, Usa, Florida, Florida Keys, Key Largo",25.14248749410696,-80.2390766143799,"Atlantic Ocean, Straits Of Florida","Key Largo, Florida Keys",
54ba07ac-7dbc-4c0e-a50a-a316cb5c4f06,Fish &amp; Game Reef,"North America, Usa, Florida, Florida Keys, Islandia",25.4538149753354,-80.03540039062501,"Atlantic Ocean, Straits Of Florida","Islandia, Florida Keys",
55f0aac9-b879-4d8a-814c-23d4f8e52ee0,Delta Shoal,"North America, Usa, Florida, Florida Keys, Marathon",24.66823435553709,-80.99189758300783,"Atlantic Ocean, Straits Of Florida","Marathon, Florida Keys","Delta Shoal sits in the Florida Keys' clear waters, offering a mix of coral formations and sandy patches. The site teems with tropical fish, stingrays, and occasional reef sharks. Strong currents attract pelagics, making drift dives exciting. Depths range from 15 to 40 feet, ideal for all skill levels. The coral-covered limestone ledges create swim-throughs and overhangs to explore. Visibility often exceeds 60 feet, with warm water year-round. A great spot for both macro life and larger marine encounters."
56046531-55a6-48a0-a721-2cd6f48ecd9c,Alicia,"North America, Usa, Florida, Florida Keys, Islandia",25.42653213955472,-80.00587463378908,"Atlantic Ocean, Straits Of Florida","Islandia, Florida Keys",
57857b72-cd24-4bb8-8d84-afd161ef45c1,Todd&#039;s Wreck,"North America, Usa, Florida, Florida Keys, Islandia",25.43025289011952,-80.14526367187501,"Atlantic Ocean, Straits Of Florida","Islandia, Florida Keys",
58fbb6ab-5dca-4ddf-ac9b-d6014e5cd187,Pickles Reef,"North America, Usa, Florida, Florida Keys, Islamorada",24.98901430375754,-80.41288375854494,"Atlantic Ocean, Straits Of Florida","Islamorada, Florida Keys","Pickles Reef sits in the Florida Keys near Islamorada, offering shallow coral formations perfect for snorkelers and divers. The site features scattered elkhorn and star corals, along with vibrant mix of tropical fish, lobster, and occasional sea turtles. Clear waters and gentle currents make it ideal for beginners. The reef structure creates swim-throughs and small ledges to explore. Depths range from 10 to 20 feet, with excellent visibility most days. Nearby spur-and-groove formations add variety to the dive."
665cd6d1-b790-43f7-9057-7ec097107035,Cayman Salvage Master,"North America, Usa, Florida, Florida Keys, Key West",24.35085004910508,-81.81724548339845,"Atlantic Ocean, Straits Of Florida","Key West, Florida Keys",
