id,name,region,latitude,longitude,ocean,location,description
010c5883-3e0b-45fd-97d4-0057d30d1635,Turiroa,"Oceania, Polynesia, French Polynesia, Society Islands, Bora Bora",-16.54570879533939,-151.7858219146729,Pacific Ocean,"Bora Bora, Society Islands",
01f64214-be87-4629-b1f1-e300d6b1c42a,Pufana Reef,"Oceania, Polynesia, French Polynesia, Tuamotus, Fakarava North",-16.0916708362969,-145.6821441650391,Pacific Ocean,"Fakarava North, Tuamotus",
020c158a-f45a-42a2-8d54-cc12edf94bbc,Airport Place,"Oceania, Polynesia, French Polynesia, Society Islands, Maupiti",-16.42126641597766,-152.2332572937012,Pacific Ocean,"Maupiti, Society Islands",
03aecb80-3d9f-4457-bbf8-c66c6fec7725,Muri Muri,"Oceania, Polynesia, French Polynesia, Society Islands, Bora Bora",-16.43759785987931,-151.7546439170838,Pacific Ocean,"Bora Bora, Society Islands",
0879345a-4dab-40c9-b210-ebf3f9672af3,La Patate,"Oceania, Polynesia, French Polynesia, Society Islands, Moorea",-17.5126146033952,-149.7666764259339,Pacific Ocean,"Moorea, Society Islands","This vibrant dive site off Moorea features a stunning coral garden teeming with life. Schools of butterflyfish, parrotfish, and triggerfish dart among healthy hard and soft corals. The site's shallow depth and calm conditions make it ideal for beginners. Look for moray eels hiding in crevices and the occasional blacktip reef shark patrolling the area. Clear visibility and warm waters create perfect conditions for underwater photography. The site's name comes from its potato-shaped coral formation. Gentle currents allow for relaxed exploration of this thriving ecosystem."
0aad7abb-b201-47e1-81c3-70f11e29a992,The Break,"Oceania, Polynesia, French Polynesia, Society Islands, Manihi Atoll",-14.45271678991172,-146.0753130912781,Pacific Ocean,"Manihi Atoll, Society Islands",
0afef368-147b-4aa7-8def-b3913fec9bc3,The Rays&#039; Corridor Drift,"Oceania, Polynesia, French Polynesia, Society Islands, Moorea",-17.48961259526414,-149.8584938049317,Pacific Ocean,"Moorea, Society Islands",
0ccd7ad2-1acc-4871-9bf6-628885c84849,The Wrecks,"Oceania, Polynesia, French Polynesia, Society Islands, Tahiti",-17.55140853981793,-149.6137046813965,Pacific Ocean,"Tahiti, Society Islands",
0ceae208-d788-4d53-9781-2687adb3a813,La Marado,"Oceania, Polynesia, French Polynesia, Society Islands, Tahiti",-17.84152528770822,-149.2947578430176,Pacific Ocean,"Tahiti, Society Islands",
111088ae-c479-4dc8-891a-9477aa0e8d49,Tuheiva,"Oceania, Polynesia, French Polynesia, Tuamotus, Tikehau",-15.01244299217305,-148.2718276977539,Pacific Ocean,"Tikehau, Tuamotus",
11d120c3-b632-416c-bdb1-e65c67a3c803,Shark Cave,"Oceania, Polynesia, French Polynesia, Tuamotus, Rangiroa",-14.96468653959916,-147.6302433013916,Pacific Ocean,"Rangiroa, Tuamotus","Shark Cave is a thrilling drift dive along a dramatic wall in Rangiroa. Strong currents attract large schools of gray reef sharks, often seen resting in the cave or patrolling the drop-off. The site features vibrant coral formations and frequent sightings of eagle rays and barracuda. Best for experienced divers due to the current, visibility often exceeds 30 meters. The dive starts shallow near the cave entrance before descending along the wall into the blue."
1305af1c-afc4-4a99-8a15-39f32c10d775,Rautoanaui Pass,"Oceania, Polynesia, French Polynesia, Society Islands, Raiatea",-16.75753663656081,-151.5035247802735,Pacific Ocean,"Raiatea, Society Islands",
1919e15e-7a55-40e0-bd6e-73d7dcfb8235,Anau,"Oceania, Polynesia, French Polynesia, Society Islands, Bora Bora",-16.49139340255399,-151.7102640867234,Pacific Ocean,"Bora Bora, Society Islands",
1a5c2d46-e090-4e8f-906d-53ddfeeffc15,Avatoru Pass,"Oceania, Polynesia, French Polynesia, Tuamotus, Rangiroa",-14.93350644593829,-147.715129852295,Pacific Ocean,"Rangiroa, Tuamotus","This dive site is a thrilling drift dive through a deep pass in Rangiroa’s atoll. Strong currents attract large pelagics like sharks, dolphins, and schools of barracuda. The steep walls are covered in vibrant corals, while the clear water offers excellent conditions. Divers often spot manta rays and eagle rays gliding through the channel. The adrenaline rush of the current makes it a must for experienced divers."
1a7d94a4-34af-4cc3-9ab1-c38765647548,Motu Nuhi-Nuhi,"Oceania, Polynesia, French Polynesia, Tuamotus, Rangiroa",-14.98541547547145,-147.6337623596192,Pacific Ocean,"Rangiroa, Tuamotus","Motu Nuhi-Nuhi sits in the famous Tiputa Pass of Rangiroa, where strong currents attract pelagic action. Divers drift along steep coral-covered walls, encountering gray reef sharks, barracuda, and large schools of jacks. The site's depth and flow make it ideal for advanced divers. Visibility often exceeds 30 meters, revealing vibrant soft corals and occasional manta rays. The pass acts as a highway for marine life, offering thrilling encounters in crystal-clear Pacific waters."
1d9b09c5-584e-45d6-8158-a312f6c36eb9,Opunohu Coral Wall,"Oceania, Polynesia, French Polynesia, Society Islands, Moorea",-17.48212198928364,-149.8545455932617,Pacific Ocean,"Moorea, Society Islands","A stunning coral wall plunging into the Pacific, this site near Moorea dazzles with vibrant soft corals and schools of tropical fish. Strong currents bring pelagics like sharks and rays. The wall starts shallow, perfect for all levels, with overhangs and crevices hiding lobsters and moray eels. Visibility often exceeds 30 meters, showcasing the dramatic drop-off. Best dived at slack tide for calm conditions."
206f4ac1-11b3-4cf5-befe-5a56d67ecda0,Aquarium,"Oceania, Polynesia, French Polynesia, Society Islands, Tetiaroa, Tiaraunu",-16.99014376478419,-149.5640945434571,Pacific Ocean,"Tiaraunu, Tetiaroa","A shallow, vibrant coral garden teeming with tropical fish. The clear Pacific waters offer excellent visibility, perfect for snorkelers and beginner divers. Expect colorful parrotfish, butterflyfish, and occasional reef sharks. Gentle currents and sandy patches between coral formations make navigation easy. The site sits near a pristine atoll, surrounded by untouched marine biodiversity. Ideal for relaxed exploration and underwater photography."
21ea17a6-600c-4d11-8166-e800216794b2,Le Tombant,"Oceania, Polynesia, French Polynesia, Society Islands, Moorea",-17.57538460490922,-149.7869539260865,Pacific Ocean,"Moorea, Society Islands",
