id,name,region,latitude,longitude,ocean,location,description
006e1267-7232-456d-94d5-86f234565988,Dhevvamaagalaa Faru,"Asia, Maldives, Kaafu Atoll, Gaafu Dhaalu",0.5575473528225806,73.10096740722658,Indian Ocean,"Gaafu Dhaalu, Kaafu Atoll",
013358e9-c429-435b-8932-b86cfc937a6a,Latheef,"Asia, Maldives, Lhaviyani Atoll",5.531671480417076,73.43579292297365,Indian Ocean,"Lhaviyani Atoll, Maldives",
0261f813-030d-474b-a208-d5749424e75f,The Big Cave,"Asia, Maldives, Meemu Atoll",2.962241460662533,73.50574493408205,Indian Ocean,"Meemu Atoll, Maldives",
02622154-4804-442c-915e-ea88e0dea600,Alimatha Jetty,"Asia, Maldives, Vaavu Atoll, Felidhu Atoll, Alimata",3.589320995996883,73.4920120239258,Indian Ocean,"Alimata, Felidhu Atoll",
03056139-8c9d-4fa6-bf51-eb71c7fcbb19,Fanka Thila,"Asia, Maldives, Kaafu Atoll, Gaafu Dhaalu",0.3216917302549222,73.40343475341798,Indian Ocean,"Gaafu Dhaalu, Kaafu Atoll","This dive site in the Maldives features a stunning thila rising from the depths, covered in vibrant soft and hard corals. Schools of snapper, fusiliers, and trevally swirl around the pinnacle, while reef sharks patrol the edges. Strong currents attract pelagics like eagle rays and occasional mantas. The top sits at 15 meters, with the base dropping to 30 meters, offering thrilling drift dives. Visibility often exceeds 30 meters, showcasing the site's rich marine life. Best suited for experienced divers due to the currents."
03635fc4-13c1-4826-8571-e87b7c6afc8b,Eryadhoo Reef,"Asia, Maldives, Laamu Atoll, Berasdhoo",1.977318112885122,73.54574203491212,Indian Ocean,"Berasdhoo, Laamu Atoll",
0390c458-2ae6-4170-b244-2048c703ed76,Ranikan,"Asia, Maldives, Kaafu Atoll, South Male Atoll",3.800881951553696,73.396053314209,Indian Ocean,"South Male Atoll, Kaafu Atoll","Just outside South Male Atoll, this site features a vibrant reef teeming with marine life. Expect strong currents that attract pelagics like sharks and rays. The reef slopes to a sandy bottom, with overhangs and swim-throughs hosting colorful soft corals and schools of tropical fish. Visibility is excellent, often exceeding 30 meters. Best suited for experienced divers due to the currents."
03e70f5e-b5a4-4048-a739-e3f9bc3fe7ad,Felivaru Kandu,"Asia, Maldives, Lhaviyani Atoll, Gaaerifalhu",5.48852726619663,73.39828491210939,Indian Ocean,"Gaaerifalhu, Lhaviyani Atoll",
043da2bc-cada-4648-b50c-4eb21e6d1830,Germanafushi Corner,"Asia, Maldives, Gaafu Alif Atoll, Gemanafushi",0.4356723762488142,73.5721778869629,Indian Ocean,"Gemanafushi, Gaafu Alif Atoll","This site offers thrilling drift dives along a vibrant reef wall in the Maldives. Strong currents attract large pelagics like gray reef sharks, eagle rays, and schools of tuna. The steep drop-off plunges to over 30 meters, covered in colorful soft corals and gorgonian fans. Visibility often exceeds 30 meters, with occasional sightings of hammerheads in the blue. Best suited for experienced divers due to the current."
04751a29-c99f-4757-964c-fbf8c5964b37,Hakura Thila,"Asia, Maldives, Meemu Atoll",2.944755258411932,73.55089187622072,Indian Ocean,"Meemu Atoll, Maldives",
