name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Challenger Bay,,-14.9154407,145.6903158,,,,,,,,,,,270800741,node,"{""name"": ""Challenger Bay"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Pixie Gardens,,-14.9280802,145.6772796,,,,,,,,,,,270802346,node,"{""name"": ""Pixie Gardens"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Cod Hole,,-14.663675,145.6634652,,,,,,,,,,,270802348,node,"{""name"": ""Cod Hole"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Round the Bend,,-13.891201,146.5528992,,,,,,,,,,,270802349,node,"{""name"": ""Round the Bend"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Castle,,-13.851845,146.563382,,,,,,,,,,,270802350,node,"{""name"": ""Castle"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Halfway Wall,,-13.8487161,146.563876,,,,,,,,,,,270802351,node,"{""name"": ""Halfway Wall"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
North Horn,,-13.8013992,146.5457903,,,,,,,,,,,270802352,node,"{""name"": ""North Horn"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Steve's Bommie,,-15.5012397,145.7882636,,,,,,,,,,,270802353,node,"{""name"": ""Steve's Bommie"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Flare Point,,-15.5125869,145.7768157,,,,,,,,,,,270802354,node,"{""name"": ""Flare Point"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Lighthouse Bommie,,-14.875091,145.689982,,,,,,,,,,,270802401,node,"{""name"": ""Lighthouse Bommie"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
