name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Tauchschule Atlantis,,46.6204238,14.2058305,,,,,,,,,,,296576781,node,"{""amenity"": ""dive_centre"", ""name"": ""Tauchschule Atlantis"", ""scuba_diving:air_fill"": ""yes"", ""sport"": ""scuba_diving""}"
Nautilus,,47.8031225,13.4796844,,,,www.nautilus.at,,,,,,,437070451,node,"{""amenity"": ""dive_centre"", ""name"": ""Nautilus"", ""scuba_diving:air_filling"": ""yes"", ""scuba_diving:filling"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""www.nautilus.at""}"
Ofen,,47.8496044,13.5528489,,,,,,,,,,,437310413,node,"{""name"": ""Ofen"", ""sport"": ""scuba_diving""}"
Schwarze Brücke,,47.8539788,13.5568233,,,,,,,,,,,437310414,node,"{""name"": ""Schwarze Br\u00fccke"", ""sport"": ""scuba_diving""}"
Steinschlag - Tafel,,47.8571532,13.5588831,,,,,,,,,,,437310415,node,"{""name"": ""Steinschlag - Tafel"", ""sport"": ""scuba_diving""}"
Dixi,,47.8643951,13.5628978,,,,,,,,,,,437310417,node,"{""alt_name"": ""Segelboot"", ""name"": ""Dixi"", ""sport"": ""scuba_diving""}"
Steinwand,,47.8811618,13.5686826,,,,,,,,,,,437310420,node,"{""name"": ""Steinwand"", ""sport"": ""scuba_diving""}"
Unterwasserwald,,47.9234956,13.5807556,,,,,,,,,,,437310431,node,"{""name"": ""Unterwasserwald"", ""sport"": ""scuba_diving""}"
Nöhmer,,47.9247625,13.5818585,,,,,,,,,,,437310434,node,"{""name"": ""N\u00f6hmer"", ""sport"": ""scuba_diving""}"
Surfplatz,,47.9325043,13.5845955,,,,,,,,,,,437310436,node,"{""name"": ""Surfplatz"", ""sport"": ""scuba_diving""}"
Igl Lai (Heidsee)-Seerestaurant,,46.73836,9.55283,,,,http://www.dive-links.com/tauchplatz.php?id=2309,,,,,,,663870245,node,"{""name"": ""Igl Lai (Heidsee)-Seerestaurant"", ""source"": ""www.dive-links.com;Zingg Dive"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2309""}"
Plan di Mort,,46.41536,9.718,,,,,,,,,,,663870246,node,"{""name"": ""Plan di Mort"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving""}"
Lej da Champfèr,,46.4685103,9.8026209,,,,,,,,,,,663870247,node,"{""name"": ""Lej da Champf\u00e8r"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving""}"
Coluonnas,,46.46963,9.72681,,,,,,,,,,,663870248,node,"{""name"": ""Coluonnas"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving""}"
Halbinsel Sasc da Corn 2,,46.41927,9.72822,,,,,,,,,,,663870249,node,"{""name"": ""Halbinsel Sasc da Corn 2"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving""}"
Halbinsel Sasc da Corn 1,,46.41819,9.72642,,,,,,,,,,,663870251,node,"{""name"": ""Halbinsel Sasc da Corn 1"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving""}"
