name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Spiegel Grove,,25.06667,-80.31084,,,,http://www.dive-links.com/tauchplatz.php?id=658,,,,,,,663869445,node,"{""historic"": ""wreck"", ""name"": ""Spiegel Grove"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=658""}"
S.S. Inchulva / Delray Wreck (Wrack),,26.453632,-80.056344,,,,http://www.dive-links.com/tauchplatz.php?id=1983,,,,,,,663869458,node,"{""historic"": ""wreck"", ""name"": ""S.S. Inchulva / Delray Wreck (Wrack)"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1983""}"
Octopus Club,International Diving Center,22.279632,-81.2011258,,,Playa Larga,,+53 45 987284,,,,,,2199402934,node,"{""addr:city"": ""Playa Larga"", ""amenity"": ""dive_centre"", ""description"": ""International Diving Center"", ""league"": ""SSI"", ""name"": ""Octopus Club"", ""phone"": ""+53 45 987284"", ""scuba_diving"": ""yes"", ""scuba_diving:air_filling"": ""yes"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:nitrox_filling"": ""yes"", ""sport"": ""scuba_diving""}"
Cueva de los peces,,22.1665013,-81.1378243,,,,,,,,,,,2974620840,node,"{""name"": ""Cueva de los peces"", ""name:es"": ""Cueva de los peces"", ""sport"": ""scuba_diving""}"
Dive Abaco,,26.5467352,-77.0515877,,,,www.diveabaco.com,,,,,,,3425099796,node,"{""ele"": ""-32.0"", ""ele:msl"": ""-32.0"", ""ele:source"": ""GPS"", ""name"": ""Dive Abaco"", ""source"": ""GPS"", ""sport"": ""scuba_diving"", ""website"": ""www.diveabaco.com""}"
Dive Exuma,"Scuba diving, deep sea & bone fishing, kitesurfing, land tours, snorkling, boat charters, boat & paddle tours.",23.5069426,-75.7671243,,,,www.ExumaExperience.com,242-336-2893; cell 242-357-0313,,,,,,3483175598,node,"{""description"": ""Scuba diving, deep sea & bone fishing, kitesurfing, land tours, snorkling, boat charters, boat & paddle tours."", ""name"": ""Dive Exuma"", ""phone"": ""242-336-2893; cell 242-357-0313"", ""sport"": ""scuba_diving"", ""website"": ""www.ExumaExperience.com""}"
Cueva El Brinco,cave dive site,22.0756975,-81.0561235,,,,,,,,,,,4749867469,node,"{""description"": ""cave dive site"", ""name"": ""Cueva El Brinco"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:type:ambiance"": ""yes"", ""scuba_diving:type:cave"": ""yes"", ""sport"": ""scuba_diving""}"
Centro de Buceo Barracuda,,23.1965898,-81.1647726,,,,,,,,,,,5488580735,node,"{""amenity"": ""dive_centre"", ""name"": ""Centro de Buceo Barracuda"", ""name:en"": ""Barracuda Dive Centre"", ""sport"": ""scuba_diving""}"
Triumph Reef,,25.4741304,-80.1080594,,,,,,,,,,,10683604672,node,"{""name"": ""Triumph Reef"", ""sport"": ""scuba_diving""}"
Centro de Buceo Punta Perdiz,,22.1153174,-81.1163731,,,,,,,,,,,369028299,way,"{""amenity"": ""dive_centre"", ""building"": ""yes"", ""name"": ""Centro de Buceo Punta Perdiz"", ""name:en"": ""Diving Center"", ""sport"": ""scuba_diving""}"
Curtiss C-46A-45-CU Commando,"Civil registration, N355BY, cancelled on 15 November 1980.",24.5944614,-76.8097669,,,,,,,,,,,948102800,way,"{""access"": ""yes"", ""aircraft:type"": ""transport"", ""damage"": ""destroyed"", ""damage:structure"": ""heavy"", ""historic"": ""wreck"", ""name"": ""Curtiss C-46A-45-CU Commando"", ""note"": ""Civil registration, N355BY, cancelled on 15 November 1980."", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wikidata"": ""Q1145708"", ""wikipedia"": ""en:Curtiss C-46 Commando"", ""wreck:date_sunk"": ""15 November 1980"", ""wreck:visible_at_high_tide"": ""no"", ""wreck:visible_at_low_tide"": ""yes"", ""year_of_construction"": ""1940-1945""}"
S.S. Sapona,,25.65066,-79.2933084,,,,,,,,,,,952659147,way,"{""access"": ""yes"", ""building"": ""yes"", ""damage"": ""destroyed"", ""damage:structure"": ""heavy"", ""historic"": ""wreck"", ""name"": ""S.S. Sapona"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""hull_showing"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wikidata"": ""Q7394347"", ""wikipedia"": ""en:SS Sapona"", ""wreck:date_sunk"": ""1926"", ""wreck:visible_at_high_tide"": ""yes"", ""wreck:visible_at_low_tide"": ""yes""}"
