name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Basis am Blausteinsee,,50.853654,6.2660855,,,,,,,,,,,369967877,node,"{""amenity"": ""dive_centre"", ""name"": ""Basis am Blausteinsee"", ""sport"": ""scuba_diving""}"
Blausteinsee,,50.8541836,6.267369,,,,,,,,,,,778561893,node,"{""name"": ""Blausteinsee"", ""sport"": ""scuba_diving""}"
instap 1,,51.1790899,5.8755015,,,,,,,,,,,838074735,node,"{""name"": ""instap 1"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:name"": ""Boschmolenplas"", ""sport"": ""scuba_diving""}"
Put van Ekeren,,51.2833277,4.3910162,,,,,,,,,,,910356025,node,"{""name"": ""Put van Ekeren"", ""sport"": ""scuba_diving"", ""wikidata"": ""Q24560694""}"
De Nekker,,51.0218325,4.5028339,,,,,,,,,,,1056962833,node,"{""name"": ""De Nekker"", ""scuba_diving:air_fill"": ""no"", ""scuba_diving:maxdepth"": ""12"", ""sport"": ""scuba_diving""}"
Duiklocatie Boschmolenplas,,51.1786366,5.8755969,,,Heel,,,,,,,,4709815476,node,"{""addr:city"": ""Heel"", ""addr:housenumber"": ""3"", ""addr:postcode"": ""6097NG"", ""addr:street"": ""Bosmolenweg"", ""leisure"": ""sport"", ""name"": ""Duiklocatie Boschmolenplas"", ""scuba_diving:air_filling"": ""yes"", ""scuba_diving:filling"": ""yes"", ""source"": ""BAG"", ""source:date"": ""2017-02-28"", ""sport"": ""scuba_diving""}"
Adventure Diving,,50.8418385,4.2803097,,,,https://adventurediving.be,,,,,,,6763214022,node,"{""name"": ""Adventure Diving"", ""sport"": ""scuba_diving"", ""website"": ""https://adventurediving.be""}"
Carrière des trois fontaines,,50.636606,4.6466474,,,,https://timberdiving.be/,,,,,,,7629260491,node,"{""name"": ""Carri\u00e8re des trois fontaines"", ""sport"": ""scuba_diving"", ""website"": ""https://timberdiving.be/""}"
instap 3,,51.1790732,5.8740311,,,,,,,,,,,7902532875,node,"{""name"": ""instap 3"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:name"": ""Boschmolenplas"", ""sport"": ""scuba_diving""}"
instap 4,,51.1789968,5.8732561,,,,,,,,,,,7902532876,node,"{""name"": ""instap 4"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:name"": ""Boschmolenplas"", ""sport"": ""scuba_diving""}"
instap 2,,51.179098,5.8748304,,,,,,,,,,,7902532882,node,"{""name"": ""instap 2"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:name"": ""Boschmolenplas"", ""sport"": ""scuba_diving""}"
bootje,,51.179216,5.8751267,,,,,,,,,,,9652884902,node,"{""name"": ""bootje"", ""name:de"": ""Kleines Boot"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""4"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:wreck"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
vliegtuig,,51.1792325,5.8748074,,,,,,,,,,,9652892225,node,"{""alt_name"": ""klimrek"", ""name"": ""vliegtuig"", ""name:de"": ""Flugzeug"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""4"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:wreck"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
9m platform (klein),,51.1794553,5.8747619,,,,,,,,,,,9671154513,node,"{""leisure"": ""practice_pitch"", ""name"": ""9m platform (klein)"", ""name:de"": ""9m-Plattform (klein)"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""9"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:maxdepth"": ""11"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
9m platform (groot),,51.1795519,5.8753892,,,,,,,,,,,9671154514,node,"{""leisure"": ""practice_pitch"", ""name"": ""9m platform (groot)"", ""name:de"": ""9m-Plattform (gro\u00df)"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""9"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:maxdepth"": ""11"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Kelchterhoef,,51.0337546,5.4171754,,,,,,,,,,,9857593191,node,"{""amenity"": ""dive_centre"", ""name"": ""Kelchterhoef"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""9m"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:maxdepth"": ""9m"", ""sport"": ""scuba_diving""}"
Barrage à Bütgenbach,,50.4333372,6.2116164,,,,,,,,,,,9857663706,node,"{""name"": ""Barrage \u00e0 B\u00fctgenbach"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:maxdepth"": ""18m"", ""sport"": ""scuba_diving""}"
Octopus-Soignies asbl,École de Plongée sub-aquatique LIFRAS,50.5771174,4.0656826,,,,https://www.octopus-soignies.be/,,,,,,,10250540635,node,"{""club"": ""scuba_diving"", ""description"": ""\u00c9cole de Plong\u00e9e sub-aquatique LIFRAS"", ""name"": ""Octopus-Soignies asbl"", ""sport"": ""scuba_diving"", ""website"": ""https://www.octopus-soignies.be/""}"
Plattform 21m,,50.8547834,6.2691593,,,,,,,,,,,11999217846,node,"{""leisure"": ""practice_pitch"", ""name"": ""Plattform 21m"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""21"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
LKW-Kabine 16m,,50.8547675,6.2688088,,,,,,,,,,,11999217847,node,"{""name"": ""LKW-Kabine 16m"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""16"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Plattform 9m,,50.8544091,6.2681414,,,,,,,,,,,11999217848,node,"{""leisure"": ""practice_pitch"", ""name"": ""Plattform 9m"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""9"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Plattform 6m,,50.8545099,6.2680274,,,,,,,,,,,11999217849,node,"{""leisure"": ""practice_pitch"", ""name"": ""Plattform 6m"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""6"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Plattform 2m,,50.8542635,6.2675272,,,,,,,,,,,11999217850,node,"{""leisure"": ""practice_pitch"", ""name"": ""Plattform 2m"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""2"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Bank 2,,50.6393522,6.4048379,,,,,,,,,,,12050342719,node,"{""name"": ""Bank 2"", ""scuba_diving:entry"": ""stair"", ""scuba_diving:name"": ""Rursee, Bank 2"", ""sport"": ""scuba_diving""}"
Put van Ekeren,,51.2833855,4.3967241,,,,,,,,,,,4323234,way,"{""alt_name"": ""Grote Put"", ""intermittent"": ""no"", ""name"": ""Put van Ekeren"", ""natural"": ""water"", ""salt"": ""no"", ""scuba_diving:current"": ""0"", ""scuba_diving:depth"": ""21m"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving"", ""tidal"": ""no"", ""water"": ""lake""}"
Carrières de Lessines,,50.7040056,3.8470749,,,,http://epsm.divers.be/,,,,,,,8066008,way,"{""name"": ""Carri\u00e8res de Lessines"", ""natural"": ""water"", ""scuba_diving:maxdepth"": ""54"", ""sport"": ""scuba_diving"", ""website"": ""http://epsm.divers.be/""}"
