name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Bari Reef,,12.1674719,-68.2872007,,,,,,,,,,,313862678,node,"{""name"": ""Bari Reef"", ""ref"": ""30"", ""sport"": ""scuba_diving""}"
1000 Steps,,12.2106695,-68.3217112,,,,,,,,,,,313863131,node,"{""name"": ""1000 Steps"", ""natural"": ""beach"", ""ref"": ""16"", ""sport"": ""scuba_diving""}"
Boy Scout,,12.1589381,-68.2810107,,,,,,,,,,,635094192,node,"{""name"": ""Boy Scout"", ""sport"": ""scuba_diving""}"
Mi Cas,,12.1549049,-68.2789411,,,,,,,,,,,635094202,node,"{""name"": ""Mi Cas"", ""sport"": ""scuba_diving""}"
Buddy's Reef,,12.1710254,-68.288822,,,,https://www.divers-guide.com/en/buddys-reef,,,,,,,635094204,node,"{""name"": ""Buddy's Reef"", ""sport"": ""scuba_diving"", ""website"": ""https://www.divers-guide.com/en/buddys-reef""}"
La Machaca,,12.171676,-68.2893863,,,,,,,,,,,635094207,node,"{""historic"": ""wreck"", ""name"": ""La Machaca"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""wreck:depth"": ""10m""}"
English Garden,,12.0597582,-68.2822176,,,,,,,,,,,635881767,node,"{""name"": ""English Garden"", ""sport"": ""scuba_diving""}"
Alice in Wonderland,,12.0998035,-68.2852927,,,,,,,,,,,635881804,node,"{""name"": ""Alice in Wonderland"", ""sport"": ""scuba_diving""}"
Hilma Hooker,,12.1037524,-68.2901176,,,,,,,,,,,635881808,node,"{""historic"": ""wreck"", ""name"": ""Hilma Hooker"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""wikidata"": ""Q1618842"", ""wreck:date_commissioned"": ""1951"", ""wreck:date_sunk"": ""1984-09-12"", ""wreck:depth"": ""30m"", ""wreck:gross_tonnage"": ""1027"", ""wreck:length"": ""236""}"
Corporal Meiss,,12.1308642,-68.2846951,,,,https://www.divers-guide.com/en/dive-spots/corporal-meiss,,,,,,,635881836,node,"{""alt_name"": ""North Belnem"", ""name"": ""Corporal Meiss"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:entry"": ""shore"", ""sport"": ""scuba_diving"", ""website"": ""https://www.divers-guide.com/en/dive-spots/corporal-meiss""}"
Something Special,,12.1613822,-68.2838525,,,,,,,,,,,635942336,node,"{""name"": ""Something Special"", ""sport"": ""scuba_diving""}"
Andrea II,,12.1913607,-68.2978203,,,,https://www.divers-guide.com/en/dive-spots/andrea-2,,,,,,,636400643,node,"{""name"": ""Andrea II"", ""sport"": ""scuba_diving"", ""website"": ""https://www.divers-guide.com/en/dive-spots/andrea-2""}"
