name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
KPA Marsonia,,45.1523994,18.0279297,,,Slavonski Brod,,,,,,,,2396512904,node,"{""addr:city"": ""Slavonski Brod"", ""addr:postcode"": ""35000"", ""addr:street"": ""Ulica Ivana Me\u0161trovi\u0107a"", ""amenity"": ""dive_centre"", ""leisure"": ""pitch"", ""name"": ""KPA Marsonia"", ""scuba_diving:education"": ""yes"", ""sport"": ""scuba_diving""}"
Ronilački klub BUK,,44.7526509,17.1652672,,,Banja Luka,http://www.banjalukasport.com/buk,+387 51 203400,rkbukbl@gmail.com,,,,,2410517659,node,"{""addr:city"": ""Banja Luka"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""78000"", ""addr:street"": ""Jesenjinova"", ""amenity"": ""dive_centre"", ""club"": ""sport"", ""contact:email"": ""rkbukbl@gmail.com"", ""contact:fax"": ""+387 51 203401"", ""contact:phone"": ""+387 51 203400"", ""name"": ""Ronila\u010dki klub BUK"", ""sport"": ""scuba_diving"", ""website"": ""http://www.banjalukasport.com/buk""}"
dfh,,43.5269549,16.4215367,,,,,,,,,,,2641130374,node,"{""name"": ""dfh"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Ronilački centar Prišćapac,,42.9031385,16.8227837,,,,,,,,,,,2870499614,node,"{""leisure"": ""sports_centre"", ""name"": ""Ronila\u010dki centar Pri\u0161\u0107apac"", ""sport"": ""scuba_diving""}"
Ancora,,42.7736166,16.8732031,,,Lastovo,https://lastovo-diving-ankora.com/,+385 915361575,info@lastovo-diving-ankora.com,,,,,5079324421,node,"{""addr:city"": ""Lastovo"", ""addr:housenumber"": ""46"", ""addr:postcode"": ""20290"", ""addr:street"": ""Zaklopatica"", ""amenity"": ""dive_centre"", ""email"": ""info@lastovo-diving-ankora.com"", ""name"": ""Ancora"", ""phone"": ""+385 915361575"", ""sport"": ""scuba_diving"", ""website"": ""https://lastovo-diving-ankora.com/""}"
Big Blue Diving,,43.2591887,16.6441617,,,Bol,https://www.big-blue-diving.hr,,,,,,,6373853038,node,"{""addr:city"": ""Bol"", ""addr:housenumber"": ""42"", ""addr:postcode"": ""21420"", ""addr:street"": ""Put Zlatnog rata"", ""club"": ""sport"", ""name"": ""Big Blue Diving"", ""sport"": ""scuba_diving"", ""website"": ""https://www.big-blue-diving.hr""}"
Wrack Ribolovc,,43.3712382,16.3622156,,,,,,,,,,,11071841627,node,"{""name"": ""Wrack Ribolovc"", ""scuba_diving:access_easyness"": ""1"", ""scuba_diving:depth"": ""20m"", ""scuba_diving:divespot"": ""Wrack Ribolovc"", ""scuba_diving:entry"": ""boat  or shore"", ""scuba_diving:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Plavi Jadran,,43.7259359,15.7863515,,,,,,,,,,,12498962266,node,"{""historic"": ""wreck"", ""name"": ""Plavi Jadran"", ""seamark:type"": ""wreck"", ""seamark:wreck:water_level"": ""20 m"", ""sport"": ""scuba_diving"", ""wreck:date_sunk"": ""2018-01-31"", ""wreck:type"": ""ship""}"
Croatia Divers,,42.9628168,16.7134355,,,,,,,,,,,403607499,way,"{""building"": ""office"", ""club"": ""sport"", ""name"": ""Croatia Divers"", ""sport"": ""scuba_diving""}"
Manta,,43.0481274,16.0837868,,,,,,manta@crodive.info,,,,,1367295024,way,"{""amenity"": ""dive_centre"", ""building"": ""yes"", ""contact:email"": ""manta@crodive.info"", ""contact:facebook"": ""https://www.facebook.com/profile.php?id=100088377600977"", ""contact:instagram"": ""https://www.instagram.com/diving.center.manta.vis/"", ""contact:mobile"": ""+385952002666"", ""contact:website"": ""https://crodive.info/"", ""name"": ""Manta"", ""opening_hours"": ""Mo-Fr 16:00-20:00;Sa 10:00-20:00"", ""sport"": ""scuba_diving""}"
