name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Victory B8,,-20.6853434,-40.3909733,,,,,,,,,,,317545423,node,"{""historic"": ""wreck"", ""name"": ""Victory B8"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Naufrágio do Califórnia,Naufrágio do Vapor Rio de Janeiro (antigo California),-23.159607,-44.3499155,,,,,,,,15,,,2607853913,node,"{""depth"": ""15"", ""description"": ""Naufr\u00e1gio do Vapor Rio de Janeiro (antigo California)"", ""historic"": ""wreck"", ""name"": ""Naufr\u00e1gio do Calif\u00f3rnia"", ""official_name"": ""Vapor Rio de Janeiro"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""non-dangerous"", ""source"": ""survey"", ""sport"": ""scuba_diving""}"
Let's Dive,,-9.6687231,-35.7148308,,,,https://www.letsdive.com.br/,,,,,,,4182292680,node,"{""addr:door"": ""2"", ""addr:housenumber"": ""60"", ""addr:street"": ""Rua Conde de Iraj\u00e1"", ""amenity"": ""dive_centre"", ""name"": ""Let's Dive"", ""sport"": ""scuba_diving"", ""website"": ""https://www.letsdive.com.br/""}"
Naufrágio Castor,,-16.3457127,-38.9779655,,,,,,,,,,,9443586696,node,"{""leisure"": ""sports_centre"", ""name"": ""Naufr\u00e1gio Castor"", ""scuba_diving:dangers"": ""ship"", ""scuba_diving:entry"": ""boat"", ""scuba_diving:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Ilha do Arvoredo,,-27.2968146,-48.3618812,,,,,,,,,,,10905764507,node,"{""name"": ""Ilha do Arvoredo"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Club de Buceo,,-33.0220006,-71.6449852,,,,,,,,,,,11328375085,node,"{""name"": ""Club de Buceo"", ""sport"": ""scuba_diving""}"
Valpo Sup,,-33.022266,-71.6439164,,,,,,,,,,,11328375086,node,"{""name"": ""Valpo Sup"", ""sport"": ""scuba_diving""}"
Atlantis Divers,,-3.840269,-32.4108018,BR,,Fernando de Noronha,http://www.atlantisdivers.com.br/,,,,,,,129221969,way,"{""addr:city"": ""Fernando de Noronha"", ""addr:country"": ""BR"", ""addr:postcode"": ""53990-000"", ""addr:street"": ""Praca do Cruzeiro"", ""addr:suburb"": ""Vila dos Rem\u00e9dios"", ""amenity"": ""dive_centre"", ""building"": ""retail"", ""building:levels"": ""1"", ""name"": ""Atlantis Divers"", ""roof:levels"": ""0"", ""roof:shape"": ""gabled"", ""sport"": ""scuba_diving"", ""website"": ""http://www.atlantisdivers.com.br/""}"
Praia João Fernandes,,-22.7416839,-41.8758809,,,,,,,,,,,161820597,way,"{""name"": ""Praia Jo\u00e3o Fernandes"", ""natural"": ""beach"", ""sport"": ""scuba_diving"", ""surface"": ""sand"", ""wikidata"": ""Q10352463"", ""wikimedia_commons"": ""Category:Praia Jo\u00e3o Fernandes"", ""wikipedia"": ""pt:Praia Jo\u00e3o Fernandes""}"
Praia Azeda,,-22.7421538,-41.8818191,,,,,,,,,,,161820669,way,"{""name"": ""Praia Azeda"", ""natural"": ""beach"", ""sport"": ""scuba_diving"", ""surface"": ""sand"", ""wikidata"": ""Q10352384"", ""wikimedia_commons"": ""Category:Praia Azeda"", ""wikipedia"": ""pt:Praia Azeda""}"
Picãozinho,,-7.1176444,-34.8078109,,,,,,,,,,,488558959,way,"{""name"": ""Pic\u00e3ozinho"", ""natural"": ""reef"", ""source"": ""Bing; DigitalGlobe"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Lago Esmeralda,Lago formado da inundação da pedreira. Área de risco de afogamento.,-23.0541275,-47.848205,,,,,,,,70,,,534338067,way,"{""depth"": ""70"", ""description"": ""Lago formado da inunda\u00e7\u00e3o da pedreira. \u00c1rea de risco de afogamento."", ""name"": ""Lago Esmeralda"", ""natural"": ""water"", ""scuba_diving:dangers:obstacles"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""sport"": ""scuba_diving"", ""water"": ""lake""}"
