name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Edmonds Underwater Park,,47.8137076,-122.384577,,,,,,,,,,,356542710,node,"{""ele"": ""0"", ""gnis:feature_id"": ""1514165"", ""name"": ""Edmonds Underwater Park"", ""natural"": ""bay"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Brampton Scuba Instruction,,43.6841164,-79.7614869,,,,,,,,,,,378465832,node,"{""name"": ""Brampton Scuba Instruction"", ""scuba_diving:education"": ""yes"", ""sport"": ""scuba_diving""}"
South Bedford Island,,48.311667,-123.603333,,,,,,,,,,,663869264,node,"{""historic"": ""wreck"", ""name"": ""South Bedford Island"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving""}"
Race Rocks - Great Race,,48.299283,-123.532759,,,,http://www.dive-links.com/tauchplatz.php?id=1913,,,,,,,663869265,node,"{""name"": ""Race Rocks - Great Race"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1913""}"
Race Rocks - West and Central,,48.300677,-123.539121,,,,http://www.dive-links.com/tauchplatz.php?id=1912,,,,,,,663869266,node,"{""name"": ""Race Rocks - West and Central"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1912""}"
Barnard Castle,,48.31211,-123.541408,,,,,,,,,,,663869269,node,"{""historic"": ""wreck"", ""name"": ""Barnard Castle"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving""}"
Swordfish Island,,48.310238,-123.582582,,,,http://www.dive-links.com/tauchplatz.php?id=1916,,,,,,,663869270,node,"{""name"": ""Swordfish Island"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1916""}"
Saxe Point,,48.423333,-123.418333,,,,http://www.dive-links.com/tauchplatz.php?id=1896,,,,,,,663869272,node,"{""name"": ""Saxe Point"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1896""}"
S. F. Tolmie,,48.417403,-123.402219,,,,,,,,,,,663869274,node,"{""historic"": ""wreck"", ""name"": ""S. F. Tolmie"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com;MacFarlane;John M. (2017) The S.F. Tolmie: Four\u2013Masted Barquentine. Nauticapedia.ca 2017. http://nauticapedia.ca/Gallery/SF_Tolmie.php"", ""sport"": ""scuba_diving"", ""wreck:date_sunk"": ""1944-12-27""}"
Johnstone Reef,,48.478333,-123.271667,,,,http://www.dive-links.com/tauchplatz.php?id=1817,,,,,,,663869275,node,"{""name"": ""Johnstone Reef"", ""natural"": ""reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1817""}"
Ogden Point (The Breakwater),,48.41487,-123.384114,,,,http://www.dive-links.com/tauchplatz.php?id=1895,,,,,,,663869277,node,"{""name"": ""Ogden Point (The Breakwater)"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1895""}"
Spring Bay,,48.455882,-123.268763,,,,http://www.dive-links.com/tauchplatz.php?id=1897,,,,,,,663869278,node,"{""name"": ""Spring Bay"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1897""}"
Telegraph Cove,,48.463861,-123.270272,,,,http://www.dive-links.com/tauchplatz.php?id=1904,,,,,,,663869279,node,"{""name"": ""Telegraph Cove"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1904""}"
Ten Mile Point,,48.455614,-123.266006,,,,http://www.dive-links.com/tauchplatz.php?id=1898,,,,,,,663869281,node,"{""name"": ""Ten Mile Point"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1898""}"
Discovery Island,,48.423333,-123.251667,,,,http://www.dive-links.com/tauchplatz.php?id=1900,,,,,,,663869283,node,"{""name"": ""Discovery Island"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1900""}"
Fulford Reef,,48.4456302,-123.2401753,,,,http://www.dive-links.com/tauchplatz.php?id=1908,,,,,,,663869284,node,"{""name"": ""Fulford Reef"", ""natural"": ""reef"", ""source"": ""NRCan-CanVec-8.0;www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1908""}"
Chain Islet,,48.421667,-123.266667,,,,http://www.dive-links.com/tauchplatz.php?id=1907,,,,,,,663869285,node,"{""name"": ""Chain Islet"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1907""}"
Virtue Rock,,48.4178454,-123.254072,,,,http://www.dive-links.com/tauchplatz.php?id=1910,,,,,,,663869288,node,"{""name"": ""Virtue Rock"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1910""}"
Mouat Reef,,48.408333,-123.298333,,,,http://www.dive-links.com/tauchplatz.php?id=1909,,,,,,,663869289,node,"{""name"": ""Mouat Reef"", ""natural"": ""reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1909""}"
McKenzie Bright,,48.558333,-123.505,,,,http://www.dive-links.com/tauchplatz.php?id=1920,,,,,,,663869292,node,"{""name"": ""McKenzie Bright"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1920""}"
Willis Point,,48.5783336,-123.484987,,,,http://www.dive-links.com/tauchplatz.php?id=1921,,,,,,,663869293,node,"{""name"": ""Willis Point"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1921""}"
Senanus Island,,48.5919298,-123.4860212,,,,http://www.dive-links.com/tauchplatz.php?id=1924,,,,,,,663869294,node,"{""name"": ""Senanus Island"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1924""}"
