name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Bari Reef,,12.1674719,-68.2872007,,,,,,,,,,,313862678,node,"{""name"": ""Bari Reef"", ""ref"": ""30"", ""sport"": ""scuba_diving""}"
1000 Steps,,12.2106695,-68.3217112,,,,,,,,,,,313863131,node,"{""name"": ""1000 Steps"", ""natural"": ""beach"", ""ref"": ""16"", ""sport"": ""scuba_diving""}"
Kleine Knip,,12.341558,-69.1538671,CW,,Westpunt,,,,,,,,447928252,node,"{""addr:city"": ""Westpunt"", ""addr:country"": ""CW"", ""name"": ""Kleine Knip"", ""name:pap"": ""Kenepa Chiki"", ""sport"": ""scuba_diving""}"
Grote Knip,,12.3514337,-69.153211,CW,,Westpunt,,,,,,,,447928253,node,"{""addr:city"": ""Westpunt"", ""addr:country"": ""CW"", ""name"": ""Grote Knip"", ""name:pap"": ""Kenepa Grandi"", ""sport"": ""scuba_diving""}"
The Valley,,12.2185168,-69.0862994,,,,,,,,,,,448022080,node,"{""name"": ""The Valley"", ""sport"": ""scuba_diving"", ""waterway"": ""weir""}"
Marie Pampoen,,12.0897355,-68.9068508,,,,,,,,,,,448022084,node,"{""name"": ""Marie Pampoen"", ""sport"": ""scuba_diving""}"
Mushroom Forest,,12.3018115,-69.1543365,,,,,,,,,,,448747096,node,"{""name"": ""Mushroom Forest"", ""natural"": ""reef"", ""sport"": ""scuba_diving""}"
Playa Jeremi,,12.3284212,-69.1505496,CW,,Westpunt,,,,,,,,448747097,node,"{""access"": ""yes"", ""addr:city"": ""Westpunt"", ""addr:country"": ""CW"", ""name"": ""Playa Jeremi"", ""sport"": ""scuba_diving""}"
Playa Kalki,,12.3739947,-69.1585735,CW,,Westpunt,,,,,,,,449247479,node,"{""addr:city"": ""Westpunt"", ""addr:country"": ""CW"", ""alt_name"": ""Alice in Wonderland"", ""name"": ""Playa Kalki"", ""natural"": ""reef"", ""sport"": ""scuba_diving"", ""wikidata"": ""Q22330080""}"
Superior Producer,1.1 km west of harbor area according to: www.shorediving.com/Earth/ABC/Curacao/Superior_Producer/,12.1042457,-68.9466568,CW,,,,,,,30,,,450262196,node,"{""addr:country"": ""CW"", ""depth"": ""30"", ""historic"": ""wreck"", ""name"": ""Superior Producer"", ""note"": ""1.1 km west of harbor area according to: www.shorediving.com/Earth/ABC/Curacao/Superior_Producer/"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving""}"
Boy Scout,,12.1589381,-68.2810107,,,,,,,,,,,635094192,node,"{""name"": ""Boy Scout"", ""sport"": ""scuba_diving""}"
Mi Cas,,12.1549049,-68.2789411,,,,,,,,,,,635094202,node,"{""name"": ""Mi Cas"", ""sport"": ""scuba_diving""}"
