name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Lina wreck,,45.1024305,14.2790667,,,,,,,expert,,,wreck,495589635,node,"{""allowed_depth"": ""40"", ""difficulty"": ""expert"", ""maxdepth"": ""60"", ""mindepth"": ""30"", ""name"": ""Lina wreck"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""type"": ""wreck""}"
Scuba Libre,,44.808749,13.9167528,,,,www.scuba-libre.net,,,,,,,497527063,node,"{""amenity"": ""dive_centre"", ""name"": ""Scuba Libre"", ""name:pl"": ""centrum nurkowe Scuba Libre"", ""opening_hours"": ""Mo-Su 09:00-19:00"", ""sport"": ""scuba_diving"", ""url"": ""www.scuba-libre.net""}"
Baron Gautsch,,44.940278,13.577778,,,,,,,,28-40 m,,,663869712,node,"{""access"": ""yes"", ""depth"": ""28-40 m"", ""historic"": ""wreck"", ""name"": ""Baron Gautsch"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""wikidata"": ""Q686128"", ""wikipedia"": ""hr:Baron Gautsch"", ""wreck:date_sunk"": ""1914-08-13"", ""wreck:visible_at_high_tide"": ""no"", ""wreck:visible_at_low_tide"": ""no""}"
Plic Sajda,,44.1870625,15.0347805,,,,http://www.dive-links.com/tauchplatz.php?id=1385,,,,,,,663869715,node,"{""name"": ""Plic Sajda"", ""seamark:beacon_isolated_danger:colour"": ""black;red;black"", ""seamark:beacon_isolated_danger:colour_pattern"": ""horizontal"", ""seamark:beacon_isolated_danger:shape"": ""tower"", ""seamark:light:character"": ""Fl"", ""seamark:light:colour"": ""white"", ""seamark:light:group"": ""2"", ""seamark:light:height"": ""3"", ""seamark:light:period"": ""10"", ""seamark:light:range"": ""5"", ""seamark:light:reference"": ""E 3106.4"", ""seamark:light:sequence"": ""0.5+(2)+0.5+(7)"", ""seamark:name"": ""Plicina Sajda"", ""seamark:topmark:colour"": ""black"", ""seamark:topmark:shape"": ""2 spheres"", ""seamark:type"": ""beacon_isolated_danger"", ""source"": ""US NGA Pub. 113. 2010-10-22."", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1385""}"
Brbišćica,,44.0549833,14.9911833,,,,http://www.dive-links.com/tauchplatz.php?id=1218,,,,,,,663869718,node,"{""name"": ""Brbi\u0161\u0107ica"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1218""}"
Golac,,44.1879166,14.8477166,,,,http://www.dive-links.com/tauchplatz.php?id=1217,,,,,,,663869719,node,"{""name"": ""Golac"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1217""}"
Wreck Tihany,,44.6362333,14.2303333,,,,http://www.dive-links.com/tauchplatz.php?id=307,,,,,,,663869720,node,"{""historic"": ""wreck"", ""name"": ""Wreck Tihany"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=307""}"
Margarina (Sanddüne),,44.4972,14.30885,,,,http://www.dive-links.com/tauchplatz.php?id=310,,,,,,,663869723,node,"{""name"": ""Margarina (Sandd\u00fcne)"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=310""}"
Krivica,,44.4964667,14.4916167,,,,http://www.dive-links.com/tauchplatz.php?id=305,,,,,,,663869724,node,"{""name"": ""Krivica"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=305""}"
Katedrala,,44.3137,14.6365833,,,,http://www.dive-links.com/tauchplatz.php?id=300,,,,,,,663869725,node,"{""name"": ""Katedrala"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=300""}"
Zabodaski,,44.5519167,14.3989167,,,,http://www.dive-links.com/tauchplatz.php?id=304,,,,,,,663869726,node,"{""name"": ""Zabodaski"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=304""}"
Medova Buža,,44.8131957,14.7460115,,,,,,,,,,,663869727,node,"{""name"": ""Medova Bu\u017ea"", ""natural"": ""cave_entrance"", ""source"": ""geoportal.dgu.hr: TK25 (Topografska karta 1:25000)"", ""sport"": ""scuba_diving""}"
Misnjak (Sanddüne),,44.66365,14.2889833,,,,http://www.dive-links.com/tauchplatz.php?id=306,,,,,,,663869729,node,"{""name"": ""Misnjak (Sandd\u00fcne)"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=306""}"
Cutin,,44.7251667,14.4928667,,,,http://www.dive-links.com/tauchplatz.php?id=299,,,,,,,663869730,node,"{""name"": ""Cutin"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=299""}"
Kap Selzine,,44.9814833,14.4702833,,,,http://www.dive-links.com/tauchplatz.php?id=297,,,,,,,663869731,node,"{""name"": ""Kap Selzine"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=297""}"
Miracine,,44.90225,14.2959167,,,,http://www.dive-links.com/tauchplatz.php?id=298,,,,,,,663869732,node,"{""name"": ""Miracine"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=298""}"
Zeca,,44.7509167,14.2974333,,,,http://www.dive-links.com/tauchplatz.php?id=301,,,,,,,663869734,node,"{""name"": ""Zeca"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=301""}"
Galijola,,44.7345833,14.1840667,,,,http://www.dive-links.com/tauchplatz.php?id=302,,,,,,,663869735,node,"{""name"": ""Galijola"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=302""}"
Fels Merag,,44.9840167,14.4432667,,,,http://www.dive-links.com/tauchplatz.php?id=296,,,,,,,663869736,node,"{""name"": ""Fels Merag"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=296""}"
Kap Kosaca,,44.8861833,14.7493167,,,,http://www.dive-links.com/tauchplatz.php?id=289,,,,,,,663869737,node,"{""name"": ""Kap Kosaca"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=289""}"
Mali Plavnik,,44.97685,14.545,,,,http://www.dive-links.com/tauchplatz.php?id=285,,,,,,,663869738,node,"{""name"": ""Mali Plavnik"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=285""}"
Holzsegelschiff mit Geschützen,,44.9830333,14.5339,,,,http://www.dive-links.com/tauchplatz.php?id=284,,,,,,,663869739,node,"{""name"": ""Holzsegelschiff mit Gesch\u00fctzen"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=284""}"
