name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Capt. K. Tibbets,,19.6945076,-79.8837223,KY,,Cayman Brac,,,,,,,,778675290,node,"{""addr:city"": ""Cayman Brac"", ""addr:country"": ""KY"", ""historic"": ""wreck"", ""man_made"": ""buoy"", ""name"": ""Capt. K. Tibbets"", ""ref"": ""1"", ""scuba_diving:type"": ""wreck"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""wreck:visible"": ""yes""}"
Octopus Club,International Diving Center,22.279632,-81.2011258,,,Playa Larga,,+53 45 987284,,,,,,2199402934,node,"{""addr:city"": ""Playa Larga"", ""amenity"": ""dive_centre"", ""description"": ""International Diving Center"", ""league"": ""SSI"", ""name"": ""Octopus Club"", ""phone"": ""+53 45 987284"", ""scuba_diving"": ""yes"", ""scuba_diving:air_filling"": ""yes"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:nitrox_filling"": ""yes"", ""sport"": ""scuba_diving""}"
Kissimmee,,19.6956972,-79.880304,,,,,,,,,,,2310227531,node,"{""historic"": ""wreck"", ""man_made"": ""buoy"", ""name"": ""Kissimmee"", ""ref"": ""5"", ""scuba_diving:type"": ""wreck"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""wreck:visible"": ""yes""}"
Cemetery Reef,,19.6984833,-79.8789641,,,,,,,,,,,2310275954,node,"{""man_made"": ""buoy"", ""name"": ""Cemetery Reef"", ""ref"": ""2"", ""sport"": ""scuba_diving""}"
Cueva de los peces,,22.1665013,-81.1378243,,,,,,,,,,,2974620840,node,"{""name"": ""Cueva de los peces"", ""name:es"": ""Cueva de los peces"", ""sport"": ""scuba_diving""}"
María la Gorda: Centro International Buceo,,21.8190157,-84.4958007,,,,,,,,,,,3257112424,node,"{""leisure"": ""natural_reserve"", ""name"": ""Mar\u00eda la Gorda: Centro International Buceo"", ""sport"": ""scuba_diving""}"
Cueva El Brinco,cave dive site,22.0756975,-81.0561235,,,,,,,,,,,4749867469,node,"{""description"": ""cave dive site"", ""name"": ""Cueva El Brinco"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:type:ambiance"": ""yes"", ""scuba_diving:type:cave"": ""yes"", ""sport"": ""scuba_diving""}"
Centro de Buceo Barracuda,,23.1965898,-81.1647726,,,,,,,,,,,5488580735,node,"{""amenity"": ""dive_centre"", ""name"": ""Centro de Buceo Barracuda"", ""name:en"": ""Barracuda Dive Centre"", ""sport"": ""scuba_diving""}"
Club de Buceo,,23.0876037,-81.4498713,,,,,,,,,,,297124819,way,"{""amenity"": ""dive_centre"", ""building"": ""yes"", ""name"": ""Club de Buceo"", ""sport"": ""scuba_diving""}"
Centro de Buceo Punta Perdiz,,22.1153174,-81.1163731,,,,,,,,,,,369028299,way,"{""amenity"": ""dive_centre"", ""building"": ""yes"", ""name"": ""Centro de Buceo Punta Perdiz"", ""name:en"": ""Diving Center"", ""sport"": ""scuba_diving""}"
