name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
I Dive Cyprus,"Shop 4-6, 29 Protara Ave, 5296 Protaras Paralimni",35.016819,34.051031,,,,https://idivercyprus.com/,+35799689961; +357 95 159569,varoshiotisa@icloud.com,,,,,947267495,node,"{""amenity"": ""dive_centre"", ""check_date"": ""2024-09-16"", ""email"": ""varoshiotisa@icloud.com"", ""name"": ""I Dive Cyprus"", ""note"": ""Shop 4-6, 29 Protara Ave, 5296 Protaras Paralimni"", ""phone"": ""+35799689961; +357 95 159569"", ""scuba_diving:air_filling"": ""yes"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:filling"": ""yes"", ""scuba_diving:nitrox_filling"": ""yes"", ""scuba_diving:rental"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://idivercyprus.com/""}"
Easy Divers Cyprus,,35.017525,34.0460381,,,,https://www.ezdivers.com/,+357 99 085054,dive@ezdivers.com,,,,,952464275,node,"{""amenity"": ""dive_centre"", ""check_date"": ""2024-09-16"", ""contact:facebook"": ""easydiverscyprus"", ""email"": ""dive@ezdivers.com"", ""instagram"": ""easydivers_cyprus"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""customers"", ""name"": ""Easy Divers Cyprus"", ""opening_hours"": ""08:00-17:00"", ""payment:apple_pay"": ""yes"", ""payment:cash"": ""yes"", ""payment:debit_cards"": ""yes"", ""payment:gift_card"": ""yes"", ""payment:google_pay"": ""yes"", ""payment:maestro"": ""yes"", ""payment:mastercard"": ""yes"", ""payment:mastercard_contactless"": ""yes"", ""payment:prepaid_ticket"": ""yes"", ""payment:v_pay"": ""yes"", ""payment:visa"": ""yes"", ""payment:visa_debit"": ""yes"", ""phone"": ""+357 99 085054"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:descent_line"": ""yes"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:entry:shore"": ""yes"", ""scuba_diving:equipment"": ""yes"", ""scuba_diving:equipment_service"": ""yes"", ""scuba_diving:guided_tours"": ""yes"", ""scuba_diving:nitrox"": ""yes"", ""scuba_diving:repair"": ""yes"", ""scuba_diving:type:cave"": ""yes"", ""scuba_diving:type:rocks"": ""yes"", ""scuba_diving:type:sea"": ""yes"", ""scuba_diving:type:snorkeling"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""scuba_diving:type:wreck"": ""yes"", ""source"": ""survey"", ""sport"": ""scuba_diving"", ""website"": ""https://www.ezdivers.com/"", ""wheelchair"": ""limited""}"
Divers Unlimited,,35.007441,34.0587778,,,,,,,,,,,957286259,node,"{""amenity"": ""dive_centre"", ""name"": ""Divers Unlimited"", ""sport"": ""scuba_diving""}"
Dive & Ski AquaNaut,,35.0012254,34.0609977,,,,,,,,,,,957644517,node,"{""amenity"": ""dive_centre"", ""name"": ""Dive & Ski AquaNaut"", ""sport"": ""scuba_diving""}"
Just Scuba,,35.0325806,34.031779,,,,https://www.facebook.com/justscubacyprus/,+357 97 718125,,,,,,961529958,node,"{""addr:street"": ""Pinias"", ""addr:streetnumber"": ""10"", ""amenity"": ""dive_centre"", ""name"": ""Just Scuba"", ""phone"": ""+357 97 718125"", ""sport"": ""scuba_diving"", ""website"": ""https://www.facebook.com/justscubacyprus/""}"
Trans Divers,,35.0201588,34.041953,,,,https://www.facebook.com/people/Transdivers-Cyprus/100063660300225/,+357 99 626455,,,,,,961870075,node,"{""amenity"": ""dive_centre"", ""check_date"": ""2023-09-25"", ""name"": ""Trans Divers"", ""phone"": ""+357 99 626455"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://www.facebook.com/people/Transdivers-Cyprus/100063660300225/""}"
Viking Divers,,34.9730168,33.6740204,,,,https://www.viking-divers.com/,+357 24 644676,vdivers@spidernet.com.cy,,,,,2094180285,node,"{""amenity"": ""dive_centre"", ""email"": ""vdivers@spidernet.com.cy"", ""name"": ""Viking Divers"", ""phone"": ""+357 24 644676"", ""sport"": ""scuba_diving"", ""website"": ""https://www.viking-divers.com/""}"
North Cyprus Scuba Centre,,35.3274454,33.3855715,,,,,,,,,,,3250889908,node,"{""amenity"": ""dive_centre"", ""name"": ""North Cyprus Scuba Centre"", ""sport"": ""scuba_diving""}"
Zenobia Shipwreck,,34.8972437,33.6576205,,,Larnaka,,,,,13.95,,,5021578905,node,"{""access"": ""yes"", ""addr:city"": ""Larnaka"", ""depth"": ""13.95"", ""historic"": ""wreck"", ""name"": ""Zenobia Shipwreck"", ""scuba_diving:divespot"": ""yes"", ""seamark:name"": ""Zenobia"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""dangerous"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wikidata"": ""Q2603065"", ""wikipedia"": ""en:MS Zenobia"", ""wreck:date_sunk"": ""1980-06-07""}"
CyDive,,34.7563606,32.412163,,,Paphos,https://cydive.com,+357 26 934271,,,,,,6047601063,node,"{""addr:city"": ""Paphos"", ""addr:street"": ""\u039b\u03b5\u03c9\u03c6\u03cc\u03c1\u03bf\u03c2 \u03a0\u03bf\u03c3\u03b5\u03b9\u03b4\u03ce\u03bd\u03bf\u03c2"", ""amenity"": ""dive_centre"", ""check_date"": ""2022-11-09"", ""name"": ""CyDive"", ""opening_hours"": ""08:00-18:30"", ""payment:mastercard"": ""yes"", ""payment:visa"": ""yes"", ""phone"": ""+357 26 934271"", ""scuba_diving:air_fill"": ""yes"", ""scuba_diving:education"": ""yes"", ""scuba_diving:equipment"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://cydive.com""}"
Amphitheatre,,34.8569251,32.3480621,,,,,,,,,,,6555877703,node,"{""name"": ""Amphitheatre"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Church Bay,,34.8588584,32.3470594,,,,,,,,,,,6555877709,node,"{""name"": ""Church Bay"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Σχολή καταδύσεων ΚΙΜΩΝ,,35.0188698,33.7396297,,,,,,,,,,,8296918289,node,"{""amenity"": ""dive_centre"", ""name"": ""\u03a3\u03c7\u03bf\u03bb\u03ae \u03ba\u03b1\u03c4\u03b1\u03b4\u03cd\u03c3\u03b5\u03c9\u03bd \u039a\u0399\u039c\u03a9\u039d"", ""sport"": ""scuba_diving""}"
Ελπίδα,,34.961077,33.6921459,,,,,,,,27,,,9415919368,node,"{""depth"": ""27"", ""int_name"": ""Elpida"", ""name"": ""\u0395\u03bb\u03c0\u03af\u03b4\u03b1"", ""name:el"": ""\u0395\u03bb\u03c0\u03af\u03b4\u03b1"", ""name:en"": ""Elpida"", ""scuba_diving:divespot"": ""yes"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
LEF1,,34.963877,33.6811846,,,,,,,,13,,,9415919369,node,"{""depth"": ""13"", ""name"": ""LEF1"", ""scuba_diving:divespot"": ""yes"", ""seamark:name"": ""LEF1"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Kerynia,,34.978448,33.980894,,,,,,,,,,,9415919382,node,"{""name"": ""Kerynia"", ""scuba_diving:divespot"": ""yes"", ""seamark:name"": ""Kerynia"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Laboe,,34.7167278,32.4438061,,,,,,,,17.5,,,9415919510,node,"{""depth"": ""17.5"", ""name"": ""Laboe"", ""scuba_diving:divespot"": ""yes"", ""seamark:name"": ""Laboe"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Lady Thetis,,34.682167,33.0836652,,,,,,,,19,,,9451291572,node,"{""depth"": ""19"", ""name"": ""Lady Thetis"", ""seamark:name"": ""Lady Thetis"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Constandis,,34.6801605,33.0845713,,,,,,,,23,,,9451291573,node,"{""depth"": ""23"", ""name"": ""Constandis"", ""seamark:name"": ""Constandis"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
