name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Sten Trans,,54.5732536,10.3931112,,,,,,,,,,,105399696,node,"{""historic"": ""wreck"", ""name"": ""Sten Trans"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""wreck:depth"": ""20m"", ""wreck:length"": ""65m""}"
Svendborgsund,,54.6183,10.135,,,,,,,,,,,125572964,node,"{""historic"": ""wreck"", ""name"": ""Svendborgsund"", ""seamark:name"": ""Svendborgsund"", ""seamark:type"": ""restricted_area"", ""sport"": ""scuba_diving""}"
Inger Klit,,54.8236249,9.750675,,,,http://www.dive-links.com/tauchplatz.php?id:473,,,,25m,,,262930381,node,"{""depth"": ""25m"", ""historic"": ""wreck"", ""name"": ""Inger Klit"", ""seamark:name"": ""Inger Klit"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""non-dangerous"", ""sport"": ""scuba_diving"", ""waterway"": ""wreck"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id:473""}"
Dock-Tor,,54.433522,11.322611,,,,,,,,,,,296860179,node,"{""historic"": ""wreck"", ""name"": ""Dock-Tor"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""dangerous"", ""seamark:wreck:water_level"": ""always_submerged"", ""sport"": ""scuba_diving"", ""wreck:clearance"": ""4m"", ""wreck:depth"": ""13m"", ""wreck:visible_at_high_tide"": ""no"", ""wreck:visible_at_low_tide"": ""no""}"
Tauchbasis Katharinenhof,,54.4434687,11.2785424,,,,,,,,,,,429992924,node,"{""name"": ""Tauchbasis Katharinenhof"", ""sport"": ""scuba_diving""}"
George H. Hastie,,54.51525,8.3218,,,,https://www.wrecksite.eu/wreck.aspx?89968,,,,1.1,,,663870624,node,"{""depth"": ""1.1"", ""depth:exposition"": ""shoaler"", ""depth:source_quality"": ""least_depth_known"", ""depth:technique"": ""echo;diver;sonar"", ""historic"": ""wreck"", ""name"": ""George H. Hastie"", ""old_website"": ""https://web.archive.org/web/20171026133616/http://www.dive-links.com:80/"", ""seamark:lnam"": ""00B4000003161389"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""dangerous"", ""seamark:wreck:water_level"": ""submerged"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""https://www.wrecksite.eu/wreck.aspx?89968"", ""website:note"": ""dive-links.com/tauchplatz.php?id=1788 does not exist"", ""wreck:cargo"": ""Fischkutter (Stahl)"", ""wreck:date_sunk"": ""1957"", ""wreck:nationality"": ""franz\u00f6sisch"", ""wreck:visible_at_low_tide"": ""no""}"
Quellental,,54.838723,9.52038,,,,http://www.dive-links.com/tauchplatz.php?id=2811,,,,,,,663870640,node,"{""name"": ""Quellental"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2811""}"
Eckernförde - Hauptstrand: DLRG Station,,54.465836,9.841338,,,,http://www.dive-links.com/tauchplatz.php?id=471,,,,,,,663870642,node,"{""name"": ""Eckernf\u00f6rde - Hauptstrand: DLRG Station"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=471""}"
Eckernförde - Südstrand,,54.4509438,9.8619915,,,,http://www.dive-links.com/tauchplatz.php?id=472,,,,,,,663870647,node,"{""name"": ""Eckernf\u00f6rde - S\u00fcdstrand"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=472""}"
Noer,,54.468441,9.996124,,,,http://www.dive-links.com/tauchplatz.php?id=478,,,,,,,663870649,node,"{""name"": ""Noer"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=478""}"
Aschau,,54.462082,9.931679,,,,http://www.dive-links.com/tauchplatz.php?id=2820,,,,,,,663870650,node,"{""name"": ""Aschau"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2820""}"
Langholz,,54.510781,9.976003,,,,http://www.dive-links.com/tauchplatz.php?id=2819,,,,,,,663870655,node,"{""name"": ""Langholz"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2819""}"
Karlsminde,,54.493353,9.938426,,,,http://www.dive-links.com/tauchplatz.php?id=2813,,,,,,,663870656,node,"{""name"": ""Karlsminde"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2813""}"
Sophie,,54.835,9.9191667,,,,http://www.dive-links.com/tauchplatz.php?id=1666,,,,,,,663870657,node,"{""historic"": ""wreck"", ""name"": ""Sophie"", ""seamark:name"": ""Sophie"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""non-dangerous"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1666""}"
Waltraud Behrmann,,54.4753333,11.8255,,,,http://www.dive-links.com/tauchplatz.php?id=654,,,,,,,663871118,node,"{""historic"": ""wreck"", ""name"": ""Waltraud Behrmann"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=654""}"
Klausdorf,,54.457413,11.274795,,,,http://www.dive-links.com/tauchplatz.php?id=477,,,,,,,663871120,node,"{""name"": ""Klausdorf"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=477""}"
Katharinenhof,,54.439004,11.286378,,,,http://www.dive-links.com/tauchplatz.php?id=476,,,,,,,663871121,node,"{""name"": ""Katharinenhof"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=476""}"
Gahlendorf,,54.449902,11.277155,,,,http://www.dive-links.com/tauchplatz.php?id=2828,,,,,,,663871122,node,"{""name"": ""Gahlendorf"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2828""}"
