name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Wassersportzentrum Zürich (WZT),,47.3459602,8.5634754,,,,http://www.dive-links.com/tauchplatz.php?id=2620,,,,,,,76474160,node,"{""alt_name"": ""WZT"", ""name"": ""Wassersportzentrum Z\u00fcrich (WZT)"", ""scuba_diving:access_easyness"": ""1"", ""scuba_diving:dangers"": ""ship,obstacles"", ""scuba_diving:depth"": ""8,24"", ""scuba_diving:difficulty"": ""1"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:entry:stair"": ""yes"", ""scuba_diving:platform"": ""8"", ""scuba_diving:type"": ""training;attraction"", ""scuba_diving:type:attraction"": ""yes"", ""scuba_diving:type:ooze"": ""yes"", ""scuba_diving:type:training"": ""yes"", ""scuba_diving:type:wreck"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2620""}"
Steinrad,,47.2914183,8.600592,,,,http://www.dive-links.com/tauchplatz.php?id=2572,,,,,,,107455894,node,"{""alt_name"": ""Seeterasse"", ""name"": ""Steinrad"", ""scuba_diving:dangers"": ""depth"", ""scuba_diving:depth"": ""36"", ""scuba_diving:difficulty"": ""2"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type"": ""wall"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2572""}"
WZT;Luftverbund,,47.3471382,8.5624224,,,,,,,,,,,107469050,node,"{""amenity"": ""compressed_air"", ""name"": ""WZT;Luftverbund"", ""sport"": ""scuba_diving""}"
Kleiner Parkplatz Erlenbach Schipfe,,47.2940307,8.5981208,,,,http://www.dive-links.com/tauchplatz.php?id=2582,,,,,,,107474583,node,"{""name"": ""Kleiner Parkplatz Erlenbach Schipfe"", ""scuba_diving:dangers"": ""depth"", ""scuba_diving:depth"": ""35"", ""scuba_diving:difficulty"": ""2"", ""scuba_diving:entry"": ""stair"", ""scuba_diving:type"": ""wall"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2582""}"
Ermitage,,47.3220766,8.5768045,,,,http://www.dive-links.com/tauchplatz.php?id=2577,,,,,,,207937370,node,"{""name"": ""Ermitage"", ""scuba_diving:dangers"": ""obstacles"", ""scuba_diving:depth"": ""15;30"", ""scuba_diving:difficulty"": ""1"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type"": ""attraction;biology"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2577""}"
Riff Williams,,47.2848478,8.6084105,,,,http://www.dive-links.com/tauchplatz.php?id=2601,,,,,,,241788315,node,"{""name"": ""Riff Williams"", ""scuba_diving:depth"": ""30"", ""scuba_diving:difficulty"": ""2"", ""scuba_diving:entry"": ""ladder"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2601""}"
Brechtsee,,49.2177202,8.4047528,DE,,,,,,,,,,291209539,node,"{""addr:country"": ""DE"", ""name"": ""Brechtsee"", ""sport"": ""scuba_diving""}"
Taucherkiste Freiburg,,48.0643717,7.8150303,,,,,,,,,,,310181002,node,"{""amenity"": ""compressed_air"", ""name"": ""Taucherkiste Freiburg"", ""sport"": ""scuba_diving""}"
Les Joyeux Corsaires,,45.9817397,-1.3928517,,,,,,,,,,,322672765,node,"{""name"": ""Les Joyeux Corsaires"", ""sport"": ""scuba_diving""}"
Bocchiaplatz,,47.2932113,8.5989117,,,,http://www.dive-links.com/tauchplatz.php?id=2569,,,,,,,344403290,node,"{""name"": ""Bocchiaplatz"", ""scuba_diving:dangers"": ""depth"", ""scuba_diving:depth"": ""35"", ""scuba_diving:difficulty"": ""2"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type"": ""wall,attraction"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2569""}"
