name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Shark Sculpture,underwater shark sculpture,36.1908981,29.6091391,,,,,,,,,,,27147064,node,"{""artwork_type"": ""statue"", ""description"": ""underwater shark sculpture"", ""is_in"": ""Turkey, Antalya, Ka\u015f"", ""name"": ""Shark Sculpture"", ""sport"": ""scuba_diving"", ""tourism"": ""artwork""}"
Καλλιθέα,,36.3776033,28.2372284,,,,,,,,,,,793101120,node,"{""int_name"": ""Kalithea"", ""name"": ""\u039a\u03b1\u03bb\u03bb\u03b9\u03b8\u03ad\u03b1"", ""name:de"": ""Kalithea Therme"", ""name:el"": ""Kalithea Therme"", ""name:en"": ""Kalithea"", ""name:tr"": ""Kalatiz"", ""operator"": ""Waterhoppers"", ""place"": ""suburb"", ""sport"": ""scuba_diving""}"
Waterhoppers,Info point only,36.4477122,28.2263974,,,,,,,,,,,793101328,node,"{""description"": ""Info point only"", ""name"": ""Waterhoppers"", ""sport"": ""scuba_diving""}"
Euro Divers,PADI Diving Center,37.811939,20.872048,,,,https://eurodivers.nu/,,,,,,,925692473,node,"{""amenity"": ""dive_centre"", ""description"": ""PADI Diving Center"", ""name"": ""Euro Divers"", ""sport"": ""scuba_diving"", ""website"": ""https://eurodivers.nu/""}"
fighter plane wrack world war II,,36.8275723,25.4221525,,,,,,,,7,,,2092439797,node,"{""depth"": ""7"", ""historic"": ""wreck"", ""name"": ""fighter plane wrack world war II"", ""scuba_diving:type"": ""wreck"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""non-dangerous"", ""seamark:wreck:water_level"": ""submerged"", ""source"": ""local survey and GPS mark 2019"", ""sport"": ""scuba_diving""}"
Turuncu Dalış Merkezi,,41.0906916,29.0046893,,,İSTANBUL,http://www.turuncudalismerkezi.com,+90 (212) 325 64 30,,,,,,2316894492,node,"{""addr:city"": ""\u0130STANBUL"", ""addr:housename"": ""4.Levent - Ka\u011f\u0131thane"", ""addr:housenumber"": ""No : 16 Kat :2"", ""addr:postcode"": ""34330"", ""addr:street"": ""Sultan Selim Caddesi"", ""name"": ""Turuncu Dal\u0131\u015f Merkezi"", ""phone"": ""+90 (212) 325 64 30"", ""sport"": ""scuba_diving"", ""website"": ""http://www.turuncudalismerkezi.com""}"
point of interest? rock?,,36.4465995,25.446825,,,,,,,,,,,2350952544,node,"{""fixme"": ""key trourism:viewpoint was obviously incorrect, please identify source of interest for this point with local knowledge"", ""name"": ""point of interest? rock?"", ""seamark:rock:water_level"": ""submerged"", ""seamark:type"": ""rock"", ""sport"": ""scuba_diving""}"
Lygaria,,35.4022795,25.0280717,,,,,,,,,,,2467454824,node,"{""name"": ""Lygaria"", ""scuba_diving:depth"": ""20"", ""scuba_diving:entry"": ""boat"", ""sport"": ""scuba_diving""}"
Mononaftis,,35.4082835,25.0230868,,,,,,,,,,,2467454825,node,"{""name"": ""Mononaftis"", ""scuba_diving:depth"": ""22"", ""scuba_diving:entry"": ""boat"", ""sport"": ""scuba_diving""}"
Kerveli scouba diving,,37.7325497,27.0360789,,,,,,,,,,,2547460303,node,"{""leisure"": ""pitch"", ""name"": ""Kerveli scouba diving"", ""sport"": ""scuba_diving""}"
Euro Divers,PADI Diving Center,37.7222157,20.8634574,,,,https://thaza.gr/,,,,,,,2961401380,node,"{""amenity"": ""dive_centre"", ""description"": ""PADI Diving Center"", ""name"": ""Euro Divers"", ""sport"": ""scuba_diving"", ""website"": ""https://thaza.gr/""}"
Nek Tec Rec Diving - Νεκτάριος Κατριβέσης,,38.3016437,21.7944829,GR,,Ακταίο,,,,,,,,3029845932,node,"{""addr:city"": ""\u0391\u03ba\u03c4\u03b1\u03af\u03bf"", ""addr:country"": ""GR"", ""addr:housenumber"": ""8"", ""addr:postcode"": ""26504"", ""addr:street"": ""\u03a0\u03b1\u03bd\u03b1\u03c7\u03b1\u03ca\u03ba\u03bf\u03cd"", ""name"": ""Nek Tec Rec Diving - \u039d\u03b5\u03ba\u03c4\u03ac\u03c1\u03b9\u03bf\u03c2 \u039a\u03b1\u03c4\u03c1\u03b9\u03b2\u03ad\u03c3\u03b7\u03c2"", ""sport"": ""scuba_diving""}"
Aegean Divers,,36.3902767,25.4392425,,,,Aegeandivers.com,+302286033201,,,,,,3796766500,node,"{""addr:street"": ""4th Km Main road, Fire, Athinios Port"", ""name"": ""Aegean Divers"", ""phone"": ""+302286033201"", ""sport"": ""scuba_diving"", ""website"": ""Aegeandivers.com""}"
Aqualized Dive Adventures,,37.7305361,23.9303975,,,,https://www.aqualized.com/,,,,,,,5858972469,node,"{""addr:housenumber"": ""2"", ""addr:street"": ""\u0397\u03bb\u03ad\u03ba\u03c4\u03c1\u03b1\u03c2"", ""name"": ""Aqualized Dive Adventures"", ""sport"": ""scuba_diving"", ""website"": ""https://www.aqualized.com/""}"
Korfu Diving,,39.673552,19.7002527,,,,https://www.korfudiving.com/,,,,,,,5930686128,node,"{""amenity"": ""dive_centre"", ""name"": ""Korfu Diving"", ""sport"": ""scuba_diving"", ""website"": ""https://www.korfudiving.com/""}"
Serifos Scuba Divers,,37.1448329,24.5144494,,,Λιβάδι,,,,,,,,6680685486,node,"{""addr:city"": ""\u039b\u03b9\u03b2\u03ac\u03b4\u03b9"", ""leisure"": ""pitch"", ""name"": ""Serifos Scuba Divers"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Thassos scuba diving,,40.6172674,24.5982384,,,,,,,,,,,6823930974,node,"{""name"": ""Thassos scuba diving"", ""sport"": ""scuba_diving""}"
