name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Guoddus Garden,,12.0218714,92.8006998,,,,,,,,,,,649984297,node,"{""name"": ""Guoddus Garden"", ""scuba_diving:divespot"": ""Guoddus Garden"", ""sport"": ""scuba_diving""}"
The Wall,,12.0547239,92.962155,,,,,,,,,,,649984298,node,"{""name"": ""The Wall"", ""scuba_diving:divespot"": ""The Wall"", ""sport"": ""scuba_diving""}"
MV Mars,,12.0640919,92.9633935,,,,,,,,,,,649984299,node,"{""name"": ""MV Mars"", ""scuba_diving:divespot"": ""MV Mars"", ""sport"": ""scuba_diving""}"
Johnson's Reef,,12.0783903,92.9520097,,,,,,,,,,,649984300,node,"{""name"": ""Johnson's Reef"", ""scuba_diving:divespot"": ""Johnson's Reef"", ""sport"": ""scuba_diving""}"
Minerva Ledge,,12.0618504,93.1507236,,,,,,,,,,,649984303,node,"{""name"": ""Minerva Ledge"", ""scuba_diving:divespot"": ""Minerva Ledge"", ""sport"": ""scuba_diving""}"
Jackson's Bar,,12.1228934,93.1605411,,,,,,,,,,,649984304,node,"{""name"": ""Jackson's Bar"", ""scuba_diving:divespot"": ""Jackson's Bar"", ""sport"": ""scuba_diving""}"
South Button,,12.2237104,93.0197618,,,,,,,,,,,649984315,node,"{""name"": ""South Button"", ""scuba_diving:divespot"": ""South Button"", ""sport"": ""scuba_diving""}"
Duncan's Wreck,,12.0065789,92.78051,,,,,,,,,,,649985250,node,"{""name"": ""Duncan's Wreck"", ""scuba_diving:divespot"": ""Duncan's Wreck"", ""sport"": ""scuba_diving""}"
Dixon's,,11.9218031,93.0930528,,,,,,,,,,,649985251,node,"{""name"": ""Dixon's"", ""scuba_diving:divespot"": ""Dixon's"", ""sport"": ""scuba_diving""}"
Lighthouse,,12.049892,92.9641702,,,,,,,,,,,649985252,node,"{""name"": ""Lighthouse"", ""scuba_diving:divespot"": ""Lighthouse"", ""sport"": ""scuba_diving""}"
Johnny's Gorge,,12.06438,93.1565799,,,,,,,,,,,649985268,node,"{""name"": ""Johnny's Gorge"", ""scuba_diving:divespot"": ""Johnny's Gorge"", ""sport"": ""scuba_diving""}"
Scuba Lanka,,8.6104972,81.2190131,,,,,,,,,,,2896874870,node,"{""name"": ""Scuba Lanka"", ""sport"": ""scuba_diving""}"
Bar Reef,,8.3673231,79.7463453,,,,,,,,0.5-5,,,4025127654,node,"{""depth"": ""0.5-5"", ""name"": ""Bar Reef"", ""natural"": ""reef"", ""reef"": ""coral"", ""sport"": ""scuba_diving"", ""sport:snorkeling"": ""yes""}"
Atlantis watersport,,15.5452123,73.7612119,,,,,,,,,,,5392766315,node,"{""name"": ""Atlantis watersport"", ""sport"": ""scuba_diving""}"
FlyingFish,,15.5457833,73.7562237,,,,,,,,,,,559080191,way,"{""building"": ""yes"", ""name"": ""FlyingFish"", ""sport"": ""scuba_diving""}"
