name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
D'Lagoon,,5.9324021,102.7232596,,,,,,,,,,,497187649,node,"{""name"": ""D'Lagoon"", ""name:en"": ""D'Lagoon"", ""natural"": ""reef"", ""reef"": ""coral"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Lumba Lumba,,5.85311,95.26947,,,,https://www.lumbalumba.com/,,,,,,,702721191,node,"{""amenity"": ""dive_centre"", ""name"": ""Lumba Lumba"", ""sport"": ""scuba_diving"", ""website"": ""https://www.lumbalumba.com/""}"
Arus Balee,,5.8909494,95.2540915,,,,,,,,,,,1075353141,node,"{""name"": ""Arus Balee"", ""sport"": ""scuba_diving""}"
Rubiah Tirta Divers,,5.875108,95.2555745,,,,,,,,,,,1280037893,node,"{""amenity"": ""dive_centre"", ""name"": ""Rubiah Tirta Divers"", ""sport"": ""scuba_diving""}"
Gili Mimpang,"Nearby this area, Living Seas has set up coral reef restoration projects. This is a drift dive, with potential for strong currents. Swim south 5 minutes to get to coral restoration site.",-8.526092,115.576321,,,,,,,,,,,1314452590,node,"{""description"": ""Nearby this area, Living Seas has set up coral reef restoration projects. This is a drift dive, with potential for strong currents. Swim south 5 minutes to get to coral restoration site."", ""name"": ""Gili Mimpang"", ""place"": ""islet"", ""scuba_diving:dangers:current"": ""yes"", ""scuba_diving:depth"": ""20"", ""scuba_diving:entry"": ""boat"", ""scuba_diving:type:boat"": ""yes"", ""sport"": ""scuba_diving""}"
B&J,,2.8445464,104.1593501,,,,,,,,,,,1477783194,node,"{""amenity"": ""dive_centre"", ""contact:website"": ""www.divetioman.com"", ""name"": ""B&J"", ""name:en"": ""B&J"", ""name:ms"": ""B&J"", ""sport"": ""scuba_diving""}"
Blue Heaven Divers,,2.8450198,104.1594256,,,,,,,,,,,1477783198,node,"{""amenity"": ""dive_centre"", ""name"": ""Blue Heaven Divers"", ""name:en"": ""Blue Heaven Divers"", ""sport"": ""scuba_diving""}"
Pantai Merah,,-8.6009657,119.5261842,,,,,,,,,,,1485422409,node,"{""name"": ""Pantai Merah"", ""scuba_diving:type:reef"": ""yes"", ""sport"": ""scuba_diving""}"
Crystal Divers,,-8.6962994,115.2633405,,,,,,,,,,,1573518443,node,"{""amenity"": ""dive_centre"", ""name"": ""Crystal Divers"", ""sport"": ""scuba_diving""}"
Turtle Bay Divers,,5.9188107,102.7218206,,,,,+60 19-333 6647,turtlebay93@gmail.com,,,,,1724060418,node,"{""amenity"": ""dive_centre"", ""contact:website"": ""turtlebaydivers.com"", ""email"": ""turtlebay93@gmail.com"", ""league"": ""SSI"", ""name"": ""Turtle Bay Divers"", ""name:en"": ""Turtle Bay Divers"", ""phone"": ""+60 19-333 6647"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving""}"
