name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Extra Divers Musandam,,26.2138898,56.2340282,,,,,,,,,,,598562251,node,"{""amenity"": ""dive_centre"", ""name"": ""Extra Divers Musandam"", ""name:en"": ""Extra Divers Musandam"", ""sport"": ""scuba_diving""}"
Dibba Rock,,25.6034329,56.3502417,,,,,,,,,,,9865803545,node,"{""name"": ""Dibba Rock"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Snoopy Island,,25.4926007,56.3635239,,,,,,,,,,,9865811800,node,"{""name"": ""Snoopy Island"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Al Boom Diving,,25.5071941,56.364763,,,,,,,,,,,560232067,way,"{""building"": ""yes"", ""name"": ""Al Boom Diving"", ""name:en"": ""Al Boom Diving"", ""sport"": ""scuba_diving""}"
ساحلی غواصی و تفریحات دریایی حاجی محمدی,,26.9344729,56.2717523,,,,https://qeshmdive.com,,,,,,,573031853,way,"{""amenity"": ""dive_centre"", ""check_date"": ""2025-01-06"", ""name"": ""\u0633\u0627\u062d\u0644\u06cc \u063a\u0648\u0627\u0635\u06cc \u0648 \u062a\u0641\u0631\u06cc\u062d\u0627\u062a \u062f\u0631\u06cc\u0627\u06cc\u06cc \u062d\u0627\u062c\u06cc \u0645\u062d\u0645\u062f\u06cc"", ""name:en"": ""Haji Mohammadi Diving School and Water Sports"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://qeshmdive.com""}"
مرکز غواصی و تفریحات دریایی نگین ساحل قشم,N.S.Q Diving Center all trainijng courses in SSI Pro SDI & CMAS. Fun Scuba diving jet ski parasailing & other water sports,26.9343016,56.2714676,,,Qeshm,www./NSQDC.IR,+98763387777,neginsahelqeshm@gmail.com,,,,,782622648,way,"{""addr:city"": ""Qeshm"", ""addr:housenumber"": ""\u0645\u0631\u06a9\u0632 \u063a\u0648\u0627\u0635\u06cc \u0646\u06af\u06cc\u0646 \u0633\u0627\u062d\u0644 \u0642\u0634\u0645 \u067e\u0627\u0631\u06a9 \u0632\u06cc\u062a\u0648\u0646"", ""addr:postcode"": ""7951113113"", ""addr:street"": ""\u0645\u0631\u06a9\u0632 \u063a\u0648\u0627\u0635\u06cc \u0646\u06af\u06cc\u0646 \u0633\u0627\u062d\u0644 \u0642\u0634\u0645"", ""amenity"": ""dive_centre"", ""building"": ""yes"", ""building:levels"": ""0"", ""check_date"": ""2025-01-06"", ""description"": ""N.S.Q Diving Center all trainijng courses in SSI Pro SDI & CMAS. Fun Scuba diving jet ski parasailing & other water sports"", ""email"": ""neginsahelqeshm@gmail.com"", ""fax"": ""+987633387070"", ""height"": ""3"", ""level"": ""0"", ""name"": ""\u0645\u0631\u06a9\u0632 \u063a\u0648\u0627\u0635\u06cc \u0648 \u062a\u0641\u0631\u06cc\u062d\u0627\u062a \u062f\u0631\u06cc\u0627\u06cc\u06cc \u0646\u06af\u06cc\u0646 \u0633\u0627\u062d\u0644 \u0642\u0634\u0645"", ""name:en"": ""N.S.Q Diving Center"", ""note"": ""\u062f\u0648\u0631\u0647 \u0647\u0627\u06cc \u0628\u06cc\u0646 \u0627\u0644\u0645\u0644\u0644\u06cc \u063a\u0648\u0627\u0635\u06cc \u0627\u0632 \u0645\u0628\u062a\u062f\u06cc \u062a\u0627 \u0645\u062f\u0631\u0633\u06cc \u063a\u0648\u0627\u0635\u06cc \u062a\u0641\u0631\u06cc\u062d\u06cc \u0628\u0631\u0627\u06cc \u0639\u0645\u0648\u0645 (\u0628\u062f\u0648\u0646 \u0646\u06cc\u0627\u0632 \u0628\u0647 \u0634\u0646\u0627- \u062d\u0648\u0644\u0647 \u062f\u0645\u067e\u0627\u06cc\u06cc \u0644\u0628\u0627\u0633 \u0632\u06cc\u0631 \u0634\u0627\u0645\u067e\u0648 \u0628\u0647\u0645\u0631\u0627\u0647 \u062f\u0627\u0634\u062a\u0647 \u0628\u0627\u0634\u06cc\u062f \u062a\u0641\u0631\u06cc\u062d\u0627\u062a \u062f\u0631\u06cc\u0627\u06cc\u06cc \u067e\u0627\u0631\u0627\u0633\u0644 \u0634\u0627\u062a\u0644 \u062c\u062a \u0627\u0633\u06a9\u06cc \u0648 \u0645\u0648\u062a\u0648\u0631 \u0686\u0647\u0627\u0631\u0686\u0631\u062e"", ""opening_hours"": ""Sa-Fr 08:00-18:00"", ""operator"": ""\u0645\u0631\u06a9\u0632 \u063a\u0648\u0627\u0635\u06cc \u0648 \u062a\u0641\u0631\u06cc\u062d\u0627\u062a \u062f\u0631\u06cc\u0627\u06cc\u06cc \u0646\u06af\u06cc\u0646 \u0633\u0627\u062d\u0644 \u0642\u0634\u0645"", ""phone"": ""+98763387777"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""www./NSQDC.IR"", ""wheelchair"": ""yes""}"
موسسه غواصی دلفین مرجان,,26.9341548,56.2711733,,,,,+98 917 163 0366,,,,,,1353236788,way,"{""amenity"": ""dive_centre"", ""building"": ""yes"", ""check_date"": ""2025-01-06"", ""contact:instagram"": ""dolphin.qeshm.school"", ""name"": ""\u0645\u0648\u0633\u0633\u0647 \u063a\u0648\u0627\u0635\u06cc \u062f\u0644\u0641\u06cc\u0646 \u0645\u0631\u062c\u0627\u0646"", ""name:en"": ""Dolphin Marjan Diving Center"", ""phone"": ""+98 917 163 0366"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving""}"
کلوپ غواصی عجایب آبی قشم,,26.9340678,56.2710017,,,,https://clubajayebeabi.com/,+98 917 863 7473,,,,,,1353236789,way,"{""amenity"": ""dive_centre"", ""building"": ""yes"", ""check_date"": ""2025-01-06"", ""contact:instagram"": ""qeshm.blue.wonders"", ""name"": ""\u06a9\u0644\u0648\u067e \u063a\u0648\u0627\u0635\u06cc \u0639\u062c\u0627\u06cc\u0628 \u0622\u0628\u06cc \u0642\u0634\u0645"", ""name:en"": ""Ajayeb-e Abi Qeshm Diving Center"", ""phone"": ""+98 917 863 7473"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://clubajayebeabi.com/""}"
Dibba Rock Reef,,25.6031152,56.3508923,,,,,,,,,,multipolygon,3357581,relation,"{""boundary"": ""protected_area"", ""name"": ""Dibba Rock Reef"", ""name:en"": ""Dibba Rock Reef"", ""sport"": ""scuba_diving"", ""type"": ""multipolygon""}"
Snoopy Island Reef,,25.4922406,56.3640027,,,,,,,,,,multipolygon,3357593,relation,"{""boundary"": ""protected_area"", ""name"": ""Snoopy Island Reef"", ""name:en"": ""Snoopy Island Reef"", ""sport"": ""scuba_diving"", ""type"": ""multipolygon""}"
