name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
H.M.S. Martin,,52.685,-9.669167,,,,http://www.dive-links.com/tauchplatz.php?id=1968,,,,,,,663869552,node,"{""historic"": ""wreck"", ""name"": ""H.M.S. Martin"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1968""}"
S.S. Alondra,,51.4605588,-9.3449144,,,,http://www.dive-links.com/tauchplatz.php?id=1970,,,,,,,663869553,node,"{""historic"": ""wreck"", ""name"": ""S.S. Alondra"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1970"", ""wikidata"": ""Q16974694"", ""wikipedia"": ""en:Alondra (shipwreck)""}"
M.V. Kowloon Bridge,,51.4600064,-9.2288586,,,,http://irishwrecksonline.net/details/KowloonBridge548.htm,,,,,,,663869556,node,"{""historic"": ""wreck"", ""name"": ""M.V. Kowloon Bridge"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://irishwrecksonline.net/details/KowloonBridge548.htm""}"
M.V. Bardini Reefer,,51.646167,-9.8555,,,,http://www.dive-links.com/tauchplatz.php?id=1974,,,,,,,663869557,node,"{""historic"": ""wreck"", ""name"": ""M.V. Bardini Reefer"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1974""}"
S.V. Stephen Whitney,,51.467167,-9.517167,,,,http://www.dive-links.com/tauchplatz.php?id=1975,,,,,,,663869558,node,"{""historic"": ""wreck"", ""name"": ""S.V. Stephen Whitney"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1975""}"
S.S. Hourtien,,51.4499857,-9.4614034,,,,http://www.dive-links.com/tauchplatz.php?id=1979,,,,,,,663869559,node,"{""historic"": ""wreck"", ""name"": ""S.S. Hourtien"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1979""}"
M.F.V. Mystique,,51.487933,-9.493483,,,,http://www.dive-links.com/tauchplatz.php?id=1976,,,,,,,663869562,node,"{""historic"": ""wreck"", ""name"": ""M.F.V. Mystique"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1976""}"
Portmarnock Sub-Aqua Club,,53.433972,-6.1394274,,,,http://www.psac.net/,,,,,,,1333456946,node,"{""alt_name"": ""psac"", ""leisure"": ""sports_centre"", ""name"": ""Portmarnock Sub-Aqua Club"", ""sport"": ""scuba_diving"", ""website"": ""http://www.psac.net/""}"
UCD Sub Aqua Club,,53.3101486,-6.2334869,,,,,,,,,,,4046852256,node,"{""club"": ""sport"", ""name"": ""UCD Sub Aqua Club"", ""sport"": ""scuba_diving""}"
W.H.S.A.C. Rescue Centre,,52.2618289,-7.1177948,,,Waterford,,,,,,,,9670779654,node,"{""addr:city"": ""Waterford"", ""addr:street"": ""Barker Street"", ""alt_name"": ""Waterford Harbour Sub Aqua Club"", ""contact:facebook"": ""https://www.facebook.com/Waterfordharboursubaqua/"", ""leisure"": ""sports_centre"", ""name"": ""W.H.S.A.C. Rescue Centre"", ""operator"": ""Waterford Harbour Sub Aqua Club"", ""sport"": ""scuba_diving""}"
Irish Underwater Council,,53.2904566,-6.1380286,,,,https://cft.ir,+353 1 2844 601,,,,,,10689309611,node,"{""addr:housenumber"": ""78a"", ""addr:street"": ""Patrick Street"", ""check_date"": ""2023-02-22"", ""club"": ""sport"", ""name"": ""Irish Underwater Council"", ""phone"": ""+353 1 2844 601"", ""sport"": ""scuba_diving"", ""website"": ""https://cft.ir""}"
University of Galway Sub-Aqua Club,,53.2771199,-9.0578578,,,,,,,,,,,11355823933,node,"{""club"": ""sport"", ""name"": ""University of Galway Sub-Aqua Club"", ""operator"": ""University of Galway"", ""sport"": ""scuba_diving""}"
