name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Tauchschule Atlantis,,46.6204238,14.2058305,,,,,,,,,,,296576781,node,"{""amenity"": ""dive_centre"", ""name"": ""Tauchschule Atlantis"", ""scuba_diving:air_fill"": ""yes"", ""sport"": ""scuba_diving""}"
Il-Bajja tax-Xwejni,,36.0791713,14.2480852,,,,,,,,,,,322591289,node,"{""name"": ""Il-Bajja tax-Xwejni"", ""name:en"": ""Xwejni Bay"", ""natural"": ""beach"", ""source"": ""signpost at the beach"", ""sport"": ""scuba_diving"", ""wikidata"": ""Q3571076"", ""wikimedia_commons"": ""Category:Xwejni Bay"", ""wikipedia"": ""en:Xwejni Bay""}"
Marsalforn Jetty,,36.0749536,14.2586424,,,,,,,,,,,384931936,node,"{""name"": ""Marsalforn Jetty"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Double Arch Reef,,36.0817379,14.2465145,,,,,,,,,,,384933337,node,"{""name"": ""Double Arch Reef"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Calypso Cave,,36.0817449,14.2486946,,,,,,,,,,,384934092,node,"{""name"": ""Calypso Cave"", ""natural"": ""cave_entrance"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Billinghurst Cave,entry/exit ladder,36.0812516,14.235361,,,,,,,,,,,384934491,node,"{""description"": ""entry/exit ladder"", ""name"": ""Billinghurst Cave"", ""natural"": ""cliff"", ""sport"": ""scuba_diving""}"
Cathedral Cave,,36.080635,14.229623,,,,,,,,,,,384935638,node,"{""name"": ""Cathedral Cave"", ""natural"": ""cave_entrance"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Il-Ħofra tal-Bidwin,,36.0530121,14.1887151,,,,,,,,,,,384936428,node,"{""alt_name"": ""Blue Hole"", ""image"": ""https://photos.app.goo.gl/d5sc8VdNrtpR7Ui88"", ""name"": ""Il-\u0126ofra tal-Bidwin"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wheelchair"": ""no""}"
Xlendi Tunnel,,36.0296422,14.214495,,,,,,,,,,,384941960,node,"{""name"": ""Xlendi Tunnel"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Big Bear-Little Bear,,36.0515249,14.1880935,,,,,,,,,,,384942080,node,"{""name"": ""Big Bear-Little Bear"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
The washing Machine,,36.0797873,14.2465847,,,,,,,,,,,387502484,node,"{""name"": ""The washing Machine"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Lopper 1,,46.9789051,8.3222832,,,,http://www.dive-links.com/tauchplatz.php?id=1963,,,,,,,476791890,node,"{""ele"": ""435.359497"", ""name"": ""Lopper 1"", ""scuba_diving:dangers"": ""depth"", ""scuba_diving:depth"": ""30"", ""scuba_diving:difficulty"": ""2"", ""scuba_diving:entry"": ""steps"", ""scuba_diving:type"": ""rock;deep;wall"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1963""}"
Lina wreck,,45.1024305,14.2790667,,,,,,,expert,,,wreck,495589635,node,"{""allowed_depth"": ""40"", ""difficulty"": ""expert"", ""maxdepth"": ""60"", ""mindepth"": ""30"", ""name"": ""Lina wreck"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""type"": ""wreck""}"
Scuba Libre,,44.808749,13.9167528,,,,www.scuba-libre.net,,,,,,,497527063,node,"{""amenity"": ""dive_centre"", ""name"": ""Scuba Libre"", ""name:pl"": ""centrum nurkowe Scuba Libre"", ""opening_hours"": ""Mo-Su 09:00-19:00"", ""sport"": ""scuba_diving"", ""url"": ""www.scuba-libre.net""}"
مدرسة الغوص مترو الأنفاق,,35.5051531,11.0703734,,,المهدية,https://www.facebook.com/divingmahdia/,+216 98 556 542,subway.mahdia78@gmail.com,,,,,558538394,node,"{""addr:city"": ""\u0627\u0644\u0645\u0647\u062f\u064a\u0629"", ""addr:city:ar"": ""\u0627\u0644\u0645\u0647\u062f\u064a\u0629"", ""amenity"": ""dive_centre"", ""email"": ""subway.mahdia78@gmail.com"", ""name"": ""\u0645\u062f\u0631\u0633\u0629 \u0627\u0644\u063a\u0648\u0635 \u0645\u062a\u0631\u0648 \u0627\u0644\u0623\u0646\u0641\u0627\u0642"", ""name:ar"": ""\u0645\u062f\u0631\u0633\u0629 \u0627\u0644\u063a\u0648\u0635 \u0645\u062a\u0631\u0648 \u0627\u0644\u0623\u0646\u0641\u0627\u0642"", ""name:en"": ""Subway Diving School"", ""name:fr"": ""Subway Mahdia"", ""phone"": ""+216 98 556 542"", ""sport"": ""scuba_diving"", ""website"": ""https://www.facebook.com/divingmahdia/""}"
Beckenried Rütenen Einstieg 1,Einstieg 1,46.9636173,8.5094553,,,,http://www.dive-links.com/tauchplatz.php?id=1962,,,,,,,613742457,node,"{""name"": ""Beckenried R\u00fctenen Einstieg 1"", ""note"": ""Einstieg 1"", ""scuba_diving:dangers"": ""depth"", ""scuba_diving:depth"": ""35"", ""scuba_diving:difficulty"": ""2"", ""scuba_diving:entry"": ""steps"", ""scuba_diving:maxdepth"": "">50"", ""scuba_diving:type"": ""wall;attraction;deep"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1962""}"
Beckenried Rütenen Einstieg 2,Einstieg 2 über Steine,46.9637825,8.5106356,,,,,,,,,,,613753248,node,"{""name"": ""Beckenried R\u00fctenen Einstieg 2"", ""note"": ""Einstieg 2 \u00fcber Steine"", ""scuba_diving:dangers"": ""depth"", ""scuba_diving:depth"": ""35"", ""scuba_diving:difficulty"": ""2"", ""scuba_diving:entry"": ""stone"", ""scuba_diving:maxdepth"": "">50"", ""scuba_diving:type"": ""wall;attraction;deep"", ""sport"": ""scuba_diving""}"
Tresorfabrik,,47.06536,8.51095,,,,http://www.dive-links.com/tauchplatz.php?id=2561,,,,,,,663452008,node,"{""name"": ""Tresorfabrik"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2561""}"
Fischchratte,,47.0790088,8.4870116,,,,,,,,,,,663452011,node,"{""name"": ""Fischchratte"", ""sport"": ""scuba_diving"", ""verified"": ""yes""}"
