name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
砂辺,,26.3291056,127.743972,,,,,,,,,,,602948140,node,"{""name"": ""\u7802\u8fba"", ""name:en"": ""Sunabe"", ""sport"": ""scuba_diving""}"
Middle Book,,24.290812,124.0955032,,,,,,,,,,,605500472,node,"{""name"": ""Middle Book"", ""sport"": ""scuba_diving""}"
Ukon Denchi,,24.2670624,124.0907609,,,,,,,,,,,605500473,node,"{""name"": ""Ukon Denchi"", ""sport"": ""scuba_diving""}"
柴口浮潛區,,22.6769164,121.4829375,,,,,,,,,,,940950060,node,"{""name"": ""\u67f4\u53e3\u6d6e\u6f5b\u5340"", ""scuba_diving"": ""divespot"", ""scuba_diving:type:snorkeling"": ""yes"", ""sport"": ""scuba_diving""}"
大白沙潛水區,,22.6392711,121.4929505,,,,,,,,,,,3776472537,node,"{""name"": ""\u5927\u767d\u6c99\u6f5b\u6c34\u5340"", ""name:en"": ""Dabaisha"", ""name:zh"": ""\u5927\u767d\u6c99\u6f5b\u6c34\u5340"", ""scuba_diving:type:snorkeling"": ""yes"", ""sport"": ""scuba_diving""}"
石朗潛水區,,22.6550943,121.4740829,,,,,,,,,,,4295593671,node,"{""name"": ""\u77f3\u6717\u6f5b\u6c34\u5340"", ""scuba_diving"": ""divespot"", ""scuba_diving:type:snorkeling"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Blue Water Diving Safari,,22.6748997,121.4917318,,,,,,,,,,,5552059576,node,"{""name"": ""Blue Water Diving Safari"", ""sport"": ""scuba_diving""}"
ハスチョルダイビング,,35.7712337,140.0296408,,,,,,,,,,,6047540615,node,"{""leisure"": ""fitness_centre"", ""name"": ""\u30cf\u30b9\u30c1\u30e7\u30eb\u30c0\u30a4\u30d3\u30f3\u30b0"", ""sport"": ""scuba_diving""}"
ティモンオーシャンファンタジー,,35.7790036,140.0029877,,,,,,,,,,,6047540616,node,"{""leisure"": ""fitness_centre"", ""name"": ""\u30c6\u30a3\u30e2\u30f3\u30aa\u30fc\u30b7\u30e3\u30f3\u30d5\u30a1\u30f3\u30bf\u30b8\u30fc"", ""sport"": ""scuba_diving""}"
ハナダイの根,Position estimated / 位置推定,24.8646379,125.1794846,,,,,,,,,,,9280279106,node,"{""name"": ""\u30cf\u30ca\u30c0\u30a4\u306e\u6839"", ""name:en"": ""Hanadainone"", ""name:ja"": ""\u30cf\u30ca\u30c0\u30a4\u306e\u6839"", ""name:ja_kana"": ""\u306f\u306a\u3060\u3044\u306e\u306d"", ""note"": ""Position estimated / \u4f4d\u7f6e\u63a8\u5b9a"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
クロスホール,Position estimated / 位置推定,24.8651791,125.155917,,,,,,,,,,,9280279108,node,"{""name"": ""\u30af\u30ed\u30b9\u30db\u30fc\u30eb"", ""name:en"": ""Kurosuh\u00f4ru"", ""name:ja"": ""\u30af\u30ed\u30b9\u30db\u30fc\u30eb"", ""note"": ""Position estimated / \u4f4d\u7f6e\u63a8\u5b9a"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
W字アーチ,Position estimated / 位置推定,24.8665753,125.1600582,,,,,,,,,,,9280279109,node,"{""name"": ""W\u5b57\u30a2\u30fc\u30c1"", ""name:en"": ""W-Achi"", ""name:ja"": ""W\u5b57\u30a2\u30fc\u30c1"", ""note"": ""Position estimated / \u4f4d\u7f6e\u63a8\u5b9a"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
L字アーチ,Position estimated / 位置推定,24.8666616,125.163257,,,,,,,,,,,9280279110,node,"{""name"": ""L\u5b57\u30a2\u30fc\u30c1"", ""name:en"": ""L-Achi"", ""name:ja"": ""L\u5b57\u30a2\u30fc\u30c1"", ""note"": ""Position estimated / \u4f4d\u7f6e\u63a8\u5b9a"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
