name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Jezioro Widrynskie,,53.98244,21.161524,,,,http://www.dive-links.com/tauchplatz.php?id=1796,,,,,,,663871163,node,"{""name"": ""Jezioro Widrynskie"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1796""}"
Jezioro Mamry – Campingplatz,,54.174763,21.692889,,,,http://www.dive-links.com/tauchplatz.php?id=2065,,,,,,,663871166,node,"{""name"": ""Jezioro Mamry \u2013 Campingplatz"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2065""}"
Jezioro Mamry - Archäologische Siedlung,,54.1516923,21.699767,,,,http://www.dive-links.com/tauchplatz.php?id=2068,,,,,,,663871168,node,"{""name"": ""Jezioro Mamry - Arch\u00e4ologische Siedlung"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2068""}"
Jezioro Harsz,,54.1561269,21.7611959,,,,http://www.dive-links.com/tauchplatz.php?id=2069,,,,,,,663871169,node,"{""name"": ""Jezioro Harsz"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2069""}"
Jezioro Mamry – Upalty,,54.178408,21.680521,,,,http://www.dive-links.com/tauchplatz.php?id=2066,,,,,,,663871170,node,"{""name"": ""Jezioro Mamry \u2013 Upalty"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2066""}"
Arabella,,54.187952,21.655981,,,,,,,,33,,,663871171,node,"{""depth"": ""33"", ""historic"": ""wreck"", ""name"": ""Arabella"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving""}"
Jezioro Rydzówka,,54.229905,21.580889,,,,http://www.dive-links.com/tauchplatz.php?id=2070,,,,,,,663871172,node,"{""name"": ""Jezioro Rydz\u00f3wka"", ""name:de"": ""Rehsauer See"", ""name:pl"": ""Jezioro Rydz\u00f3wka"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2070""}"
Jezioro Krzywa Kuta,,54.153894,21.962157,,,,http://www.dive-links.com/tauchplatz.php?id=2072,,,,,,,663871174,node,"{""name"": ""Jezioro Krzywa Kuta"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2072""}"
Oktopusas,,56.0479861,21.8322248,,,Plateliai,,,,,,,,320717944,way,"{""addr:city"": ""Plateliai"", ""addr:housenumber"": ""40C"", ""addr:street"": ""E\u017eero g."", ""amenity"": ""dive_centre"", ""building"": ""yes"", ""name"": ""Oktopusas"", ""sport"": ""scuba_diving""}"
Aiseto tiltas/keltas,,55.313551,25.761753,,,,,,,,,,,793293456,way,"{""historic"": ""ruins"", ""name"": ""Aiseto tiltas/keltas"", ""sport"": ""scuba_diving""}"
