name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
D'Lagoon,,5.9324021,102.7232596,,,,,,,,,,,497187649,node,"{""name"": ""D'Lagoon"", ""name:en"": ""D'Lagoon"", ""natural"": ""reef"", ""reef"": ""coral"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
B&J,,2.8445464,104.1593501,,,,,,,,,,,1477783194,node,"{""amenity"": ""dive_centre"", ""contact:website"": ""www.divetioman.com"", ""name"": ""B&J"", ""name:en"": ""B&J"", ""name:ms"": ""B&J"", ""sport"": ""scuba_diving""}"
Blue Heaven Divers,,2.8450198,104.1594256,,,,,,,,,,,1477783198,node,"{""amenity"": ""dive_centre"", ""name"": ""Blue Heaven Divers"", ""name:en"": ""Blue Heaven Divers"", ""sport"": ""scuba_diving""}"
Turtle Bay Divers,,5.9188107,102.7218206,,,,,+60 19-333 6647,turtlebay93@gmail.com,,,,,1724060418,node,"{""amenity"": ""dive_centre"", ""contact:website"": ""turtlebaydivers.com"", ""email"": ""turtlebay93@gmail.com"", ""league"": ""SSI"", ""name"": ""Turtle Bay Divers"", ""name:en"": ""Turtle Bay Divers"", ""phone"": ""+60 19-333 6647"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving""}"
Lankayan - Bimbo Rock,,6.520382,117.9295197,,,,,,,,,,,1735121514,node,"{""name"": ""Lankayan - Bimbo Rock"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Lankayan - Jetty Dive,,6.5053339,117.9163959,,,,,,,,,,,1735121519,node,"{""name"": ""Lankayan - Jetty Dive"", ""name:en"": ""Lankayan - Jetty Dive"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:entry"": ""ladder"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Lankayan - Lankayan Wreck,,6.5054606,117.9091771,,,,,,,,,,,1735121533,node,"{""name"": ""Lankayan - Lankayan Wreck"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Lankayan - Malu Malu,,6.4862046,117.9112374,,,,,,,,,,,1735121537,node,"{""name"": ""Lankayan - Malu Malu"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Lankayan - Malu Malu,,6.4903348,117.9102675,,,,,,,,,,,1735121541,node,"{""name"": ""Lankayan - Malu Malu"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Lankayan - Malu Malu,,6.4904381,117.9211793,,,,,,,,,,,1735121549,node,"{""name"": ""Lankayan - Malu Malu"", ""scuba_diving:entry"": ""boat"", ""sport"": ""scuba_diving""}"
Lankayan - Malu Malu,,6.5118462,117.9396429,,,,,,,,,,,1735121550,node,"{""name"": ""Lankayan - Malu Malu"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Lankayan - Sunnug Lair,,6.5368273,117.8996729,,,,,,,,,,,1735121553,node,"{""name"": ""Lankayan - Sunnug Lair"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Redang - Black Coral,,5.7739661,103.058764,,,,,,,,,,,1735154888,node,"{""name"": ""Redang - Black Coral"", ""name:en"": ""Redang - Black Coral"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Redang - Che Isa,,5.7598668,103.0361363,,,,,,,,,,,1735154889,node,"{""name"": ""Redang - Che Isa"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Redang - Paku Besar,,5.7801875,103.0436756,,,,,,,,,,,1735154892,node,"{""name"": ""Redang - Paku Besar"", ""name:ms"": ""Redang - Paku Besar"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Redang - South Tip,,5.7713972,103.0600953,,,,,,,,,,,1735154903,node,"{""name"": ""Redang - South Tip"", ""name:en"": ""Redang - South Tip"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Redang - Tanjung Tokong,,5.8185762,103.0100904,,,,,,,,,,,1735154904,node,"{""name"": ""Redang - Tanjung Tokong"", ""name:ms"": ""Redang - Tanjung Tokong"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Redang - Tanjung Lebah,,5.7852544,102.9885185,,,,,,,,,,,1735154906,node,"{""name"": ""Redang - Tanjung Lebah"", ""name:ms"": ""Redang - Tanjung Lebah"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Redang - Terumbu Kili,,5.7318676,102.9974686,,,,,,,,,,,1735154911,node,"{""name"": ""Redang - Terumbu Kili"", ""name:en"": ""Redang - Terumbu Kili"", ""name:ms"": ""Redang - Terumbu Kili"", ""scuba_diving:entry"": ""boat"", ""source"": ""GPS"", ""sport"": ""scuba_diving""}"
Quiver Dive Team,,5.9152021,102.7166339,,,,http://www.quiver-perhentian.com/,+60 12-213 8885,info@quiver-perhentian.com,,,,,2451022843,node,"{""amenity"": ""dive_centre"", ""email"": ""info@quiver-perhentian.com"", ""league"": ""SSI"", ""name"": ""Quiver Dive Team"", ""name:en"": ""Quiver Dive Team"", ""opening_hours"": ""Mar-Nov 08:00-21:00"", ""phone"": ""+60 12-213 8885"", ""scuba_diving:education"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""http://www.quiver-perhentian.com/""}"
Turtle Point,,4.8067485,103.6757397,,,,,,,,,,,3033956548,node,"{""name"": ""Turtle Point"", ""name:en"": ""Turtle Point"", ""sport"": ""scuba_diving""}"
Moonraker,,4.8491695,103.6628673,,,,,,,,,,,3033956549,node,"{""name"": ""Moonraker"", ""name:en"": ""Moonraker"", ""sport"": ""scuba_diving""}"
Five Sisters,,4.8061498,103.6743471,,,,,,,,,,,3033956550,node,"{""name"": ""Five Sisters"", ""name:en"": ""Five Sisters"", ""sport"": ""scuba_diving""}"
Tanjung Gemuk,,4.8054004,103.6730597,,,,,,,,,,,3033956551,node,"{""name"": ""Tanjung Gemuk"", ""name:ms"": ""Tanjung Gemuk"", ""sport"": ""scuba_diving""}"
Tokong Timur,,4.781988,103.6884539,,,,,,,,,,,3033956552,node,"{""name"": ""Tokong Timur"", ""name:ms"": ""Tokong Timur"", ""sport"": ""scuba_diving""}"
Coral Garden,,4.8057222,103.68752,,,,,,,,,,,3033956553,node,"{""name"": ""Coral Garden"", ""name:en"": ""Coral Garden"", ""sport"": ""scuba_diving""}"
Rajawali Reef,,4.8164132,103.678703,,,,,,,,,,,3033956554,node,"{""name"": ""Rajawali Reef"", ""name:en"": ""Rajawali Reef"", ""sport"": ""scuba_diving""}"
Amazing Grace,,4.8421138,103.6643049,,,,,,,,,,,3033956556,node,"{""name"": ""Amazing Grace"", ""name:en"": ""Amazing Grace"", ""sport"": ""scuba_diving""}"
Shark Point,,5.884488,102.747377,,,,,,,,,,,3679672730,node,"{""name"": ""Shark Point"", ""name:en"": ""Shark Point"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Ray's Dive Adventure,,2.785359,104.203558,,,,https://raysdive.com/,,,,,,,4776516026,node,"{""amenity"": ""dive_centre"", ""name"": ""Ray's Dive Adventure"", ""name:en"": ""Ray's Dive Adventure"", ""sport"": ""scuba_diving"", ""website"": ""https://raysdive.com/""}"
Angel Diver,,5.9176427,102.7220828,,,,https://www.angel-diver.com/,+60 17-358 3567,reservations@angel-diver.com,,,,,4986713423,node,"{""amenity"": ""dive_centre"", ""email"": ""reservations@angel-diver.com"", ""league"": ""PADI"", ""name"": ""Angel Diver"", ""name:en"": ""Angel Diver"", ""phone"": ""+60 17-358 3567"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://www.angel-diver.com/""}"
Turtle Point,,5.904471,102.7421819,,,,,,,,,,,5036365475,node,"{""name"": ""Turtle Point"", ""name:en"": ""Turtle Point"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Sea Sight Divers,,5.913082,102.7172903,,,,,+60 11-2923 0249,,,,,,5037261844,node,"{""amenity"": ""dive_centre"", ""league"": ""PADI"", ""name"": ""Sea Sight Divers"", ""name:en"": ""Sea Sight Divers"", ""phone"": ""+60 11-2923 0249"", ""scuba_diving:education"": ""yes"", ""sport"": ""scuba_diving""}"
Spice Divers,,5.9162202,102.7226892,,,,https://www.spicediversperhentian.com/,+60 11-1076 6735,spicedivers@hotmail.com,,,,,5037261845,node,"{""amenity"": ""dive_centre"", ""email"": ""spicedivers@hotmail.com"", ""league"": ""PADI"", ""name"": ""Spice Divers"", ""name:en"": ""Spice Divers"", ""phone"": ""+60 11-1076 6735"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:education"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://www.spicediversperhentian.com/""}"
Sea Voice Divers,,5.9140326,102.7173153,MY,,Pulau Perhentian Kecil,https://seavoicedivers.com/,+60 13-494 0992,info@seavoicedivers.com,,,,,5037261847,node,"{""addr:city"": ""Pulau Perhentian Kecil"", ""addr:country"": ""MY"", ""addr:state"": ""Terengganu"", ""addr:street"": ""Coral Bay"", ""amenity"": ""dive_centre"", ""email"": ""info@seavoicedivers.com"", ""league"": ""PADI"", ""name"": ""Sea Voice Divers"", ""name:en"": ""Sea Voice Divers"", ""opening_hours"": ""Mo-Su 08:00-20:00"", ""phone"": ""+60 13-494 0992"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:education"": ""yes"", ""scuba_diving:rental"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://seavoicedivers.com/""}"
Matahari Divers,,5.9182062,102.721545,,,,,+60 12-804 6574,mataharidivers@gmail.com,,,,,5037261848,node,"{""amenity"": ""dive_centre"", ""contact:email"": ""mataharidivers@gmail.com"", ""contact:phone"": ""+60 12-804 6574"", ""contact:website"": ""https://mataharidivers.com/"", ""league"": ""PADI"", ""name"": ""Matahari Divers"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:education"": ""yes"", ""sport"": ""scuba_diving""}"
Anti Gravity Divers,PADI 5 Star Dive Center offering diving courses and excursion dives,5.9136187,102.717577,,,,https://www.scubadivingperhentian.com/,+60 12-921 2395,info@scubadivingperhentian.com,,,,,5037261849,node,"{""amenity"": ""dive_centre"", ""description"": ""PADI 5 Star Dive Center offering diving courses and excursion dives"", ""email"": ""info@scubadivingperhentian.com"", ""league"": ""PADI"", ""name"": ""Anti Gravity Divers"", ""name:en"": ""Anti Gravity Divers"", ""opening_hours"": ""Mo-Su 08:00-20:00"", ""operator"": ""Anti Gravity Divers"", ""phone"": ""+60 12-921 2395"", ""scuba_diving:education"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://www.scubadivingperhentian.com/""}"
Panorama Diver,,5.9195466,102.7218971,,,,https://www.panoramaperhentianisland.com/,+60 19-324 7199,panoramadiver@gmail.com,,,,,5037261850,node,"{""amenity"": ""dive_centre"", ""email"": ""panoramadiver@gmail.com"", ""league"": ""PADI"", ""name"": ""Panorama Diver"", ""name:en"": ""Panorama Diver"", ""phone"": ""+60 19-324 7199"", ""scuba_diving:education"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://www.panoramaperhentianisland.com/""}"
Bamboo SeaSport,,2.4346693,103.9772257,,,,,,,,,,,5111932610,node,"{""name"": ""Bamboo SeaSport"", ""name:en"": ""Bamboo SeaSport"", ""sport"": ""scuba_diving""}"
K.K Bay,,5.8851222,102.7413743,,,,,,,,,,,6717759185,node,"{""name"": ""K.K Bay"", ""name:en"": ""K.K Bay"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Shark Point,,6.0692468,100.0439171,,,,,,,,,,,6806162537,node,"{""name"": ""Shark Point"", ""name:en"": ""Shark Point"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:type"": ""sharks"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Seahorse Divers,,5.9167733,102.7224999,,,,https://www.seahorsediver.com/,+60 19-984 1181,seahorsediver@yahoo.com,,,,,6847712291,node,"{""amenity"": ""dive_centre"", ""email"": ""seahorsediver@yahoo.com"", ""league"": ""PADI"", ""name"": ""Seahorse Divers"", ""name:en"": ""Seahorse Divers"", ""phone"": ""+60 19-984 1181"", ""scuba_diving:education"": ""yes"", ""scuba_diving:organization"": ""PADI"", ""sport"": ""scuba_diving"", ""website"": ""https://www.seahorsediver.com/""}"
Dive Tioman,,2.8381284,104.1601302,,,,,+60 19-719 9041,,,,,,8067609585,node,"{""amenity"": ""dive_centre"", ""contact:phone"": ""+60 19-719 9041"", ""name"": ""Dive Tioman"", ""name:en"": ""Dive Tioman"", ""sport"": ""scuba_diving""}"
Moby Tek,,2.8352326,104.1604014,,,,,+60 12-774 8269,,,,,,8067619394,node,"{""amenity"": ""dive_centre"", ""contact:phone"": ""+60 12-774 8269"", ""contact:website"": ""https://www.moby-tek.com/"", ""name"": ""Moby Tek"", ""name:en"": ""Moby Tek"", ""name:ms"": ""Moby Tek"", ""sport"": ""scuba_diving""}"
Cosmic Divers,,5.890445,102.7397787,,,,,+60 13-302 2588,,,,,,10716286776,node,"{""amenity"": ""dive_centre"", ""contact:phone"": ""+60 13-302 2588"", ""contact:website"": ""www.cosmic-divers.com"", ""league"": ""PADI"", ""name"": ""Cosmic Divers"", ""name:en"": ""Cosmic Divers"", ""scuba_diving:air_filling"": ""yes"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:rental"": ""yes"", ""sport"": ""scuba_diving""}"
Lekker Divers,,5.9186391,102.721804,,,Pulau Perhentian Kecil,,+60 13-606 0616,,,,,,10989305874,node,"{""addr:city"": ""Pulau Perhentian Kecil"", ""addr:district"": ""Besut"", ""addr:place"": ""Long Beach"", ""addr:state"": ""Terengganu"", ""amenity"": ""dive_centre"", ""contact:instagram"": ""lekkerdivers"", ""contact:phone"": ""+60 13-606 0616"", ""contact:website"": ""www.lekkerdivers.com"", ""league"": ""PADI"", ""name"": ""Lekker Divers"", ""name:en"": ""Lekker Divers"", ""opening_hours"": ""08:00-19:00"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving""}"
Oh Lala Divers,,5.9214118,102.7232735,,,Pulau Perhentian Kecil,,+60 19-331 9624,arisdiver@hotmail.com,,,,,10989315761,node,"{""addr:city"": ""Pulau Perhentian Kecil"", ""addr:postcode"": ""22300"", ""addr:province"": ""Besut"", ""addr:state"": ""Terengganu"", ""addr:street"": ""Long Beach"", ""amenity"": ""dive_centre"", ""contact:email"": ""arisdiver@hotmail.com"", ""contact:phone"": ""+60 19-331 9624"", ""contact:website"": ""https://ohlalaperhentian.com/"", ""league"": ""PADI"", ""name"": ""Oh Lala Divers"", ""name:en"": ""Oh Lala Divers"", ""scuba_diving:courses"": ""yes"", ""sport"": ""scuba_diving""}"
Vietnamese Wreck,,5.894148,102.712432,,,,,,,,,,,11169096311,node,"{""name"": ""Vietnamese Wreck"", ""sport"": ""scuba_diving""}"
Sugar Wreck,,5.8796704,102.6404967,,,,,,,,,,,11169107467,node,"{""name"": ""Sugar Wreck"", ""sport"": ""scuba_diving""}"
San Choi Wreck,,5.933905,102.715836,,,,,,,,,,,11169113671,node,"{""historic"": ""wreck"", ""name"": ""San Choi Wreck"", ""scuba_diving:divespot"": ""yes"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wreck:type"": ""ship""}"
Temple of the Sea,,5.9610039,102.6550374,,,,,,,,,,,11169113672,node,"{""name"": ""Temple of the Sea"", ""name:ms"": ""Tokong Laut"", ""sport"": ""scuba_diving""}"
Kapal Polis,,5.912943,102.7491243,,,,,,,,,,,11169135239,node,"{""historic"": ""wreck"", ""name"": ""Kapal Polis"", ""name:en"": ""Police Wreck"", ""name:ms"": ""Kapal Polis"", ""scuba_diving:divespot"": ""yes"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Batu Layar,,5.912281,102.744517,,,,,,,,,,,11169135240,node,"{""name"": ""Batu Layar"", ""name:en"": ""Batu Layar Rock"", ""name:ms"": ""Batu Layar"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Blue Lagoon,,5.9104176,102.7487457,,,,,,,,,,,11169135241,node,"{""name"": ""Blue Lagoon"", ""name:en"": ""Blue Lagoon"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
T3,,5.9002988,102.7739619,,,,,,,,,,,11233931008,node,"{""name"": ""T3"", ""name:ms"": ""Terumbu Tiga"", ""sport"": ""scuba_diving""}"
Tiga Ruang,Please do not literally translate the name to Three Spaces but preserve the native name instead.,5.913863,102.7535919,,,,,,,,,,,12278833512,node,"{""name"": ""Tiga Ruang"", ""name:en"": ""Tiga Ruang"", ""name:ms"": ""Tiga Ruang"", ""natural"": ""reef"", ""note"": ""Please do not literally translate the name to Three Spaces but preserve the native name instead."", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Sea Bell,,5.9101441,102.7097828,,,,,,,,,,,1327253036,way,"{""name"": ""Sea Bell"", ""name:en"": ""Sea Bell"", ""natural"": ""reef"", ""reef"": ""rock"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Sea Bell,,5.9101441,102.7097828,,,,,,,,,,multipolygon,18196428,relation,"{""name"": ""Sea Bell"", ""name:en"": ""Sea Bell"", ""natural"": ""reef"", ""reef"": ""rock"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving"", ""type"": ""multipolygon""}"
