name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Divebase,,4.074676,72.8878019,,,,,,,,,,,359160107,node,"{""name"": ""Divebase"", ""sport"": ""scuba_diving""}"
Exit 1 and 2,,3.6333949,72.9613638,,,,,,,,,,,519024092,node,"{""name"": ""Exit 1 and 2"", ""sport"": ""scuba_diving""}"
Exit 10,,3.6338652,72.9609627,,,,,,,,,,,519024096,node,"{""name"": ""Exit 10"", ""sport"": ""scuba_diving""}"
Exit 9,,3.6344382,72.9597692,,,,,,,,,,,519024100,node,"{""name"": ""Exit 9"", ""sport"": ""scuba_diving""}"
Exit 8,,3.6347069,72.9583209,,,,,,,,,,,519024102,node,"{""name"": ""Exit 8"", ""sport"": ""scuba_diving""}"
Exit 7,,3.6343987,72.956013,,,,,,,,,,,519024107,node,"{""name"": ""Exit 7"", ""sport"": ""scuba_diving""}"
Exit 5 + 6,,3.6333522,72.9558738,,,,,,,,,,,519024128,node,"{""name"": ""Exit 5 + 6"", ""sport"": ""scuba_diving""}"
Exit 4,,3.6329424,72.9580956,,,,,,,,,,,519024133,node,"{""name"": ""Exit 4"", ""sport"": ""scuba_diving""}"
Halaveli,,4.0545578,72.9116389,,,,http://www.dive-links.com/tauchplatz.php?id=864,,,,,,,663869881,node,"{""historic"": ""wreck"", ""name"": ""Halaveli"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:wreck"": ""yes"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=864"", ""wreck:date_sunk"": ""1991""}"
Fesdhoo,,3.9994333,72.7860333,,,,,,,,,,,663869882,node,"{""historic"": ""wreck"", ""name"": ""Fesdhoo"", ""scuba_diving:depth"": ""30"", ""scuba_diving:entry:boat"": ""yes"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
HimendhooThila West,,3.9155167,72.7155667,,,,http://www.dive-links.com/tauchplatz.php?id=744,,,,,,,663869883,node,"{""name"": ""HimendhooThila West"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=744""}"
Fish Head,,3.9445167,72.9318167,,,,http://www.dive-links.com/tauchplatz.php?id=739,,,,,,,663869884,node,"{""name"": ""Fish Head"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=739""}"
Velidhu Hausriff,,4.192881,72.819074,,,,http://www.dive-links.com/tauchplatz.php?id=2035,,,,,,,663869885,node,"{""name"": ""Velidhu Hausriff"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2035""}"
Pineapple Island Hausriff,,3.654217,72.77895,,,,http://www.dive-links.com/tauchplatz.php?id=2037,,,,,,,663869886,node,"{""name"": ""Pineapple Island Hausriff"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2037""}"
Vilamendhoo Housereef,,3.6352812,72.9571983,,,,,,,,,,,663869887,node,"{""name"": ""Vilamendhoo Housereef"", ""natural"": ""reef"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Adam Faru,,3.863813,73.367845,,,,http://www.dive-links.com/tauchplatz.php?id=2129,,,,,,,663869888,node,"{""name"": ""Adam Faru"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2129""}"
Lhohi Bodu Kandu,,3.848639,73.364956,,,,http://www.dive-links.com/tauchplatz.php?id=2128,,,,,,,663869889,node,"{""name"": ""Lhohi Bodu Kandu"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2128""}"
Lhohi Kandu Tila,,3.856683,73.363679,,,,http://www.dive-links.com/tauchplatz.php?id=2127,,,,,,,663869890,node,"{""name"": ""Lhohi Kandu Tila"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2127""}"
Coral Faru,,3.823702,73.37201,,,,http://www.dive-links.com/tauchplatz.php?id=2126,,,,,,,663869891,node,"{""name"": ""Coral Faru"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2126""}"
Kunaavashi Kandu,,3.666047,73.382443,,,,http://www.dive-links.com/tauchplatz.php?id=2132,,,,,,,663869892,node,"{""name"": ""Kunaavashi Kandu"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2132""}"
Boamas Kandu,,3.679067,73.399635,,,,http://www.dive-links.com/tauchplatz.php?id=2133,,,,,,,663869893,node,"{""name"": ""Boamas Kandu"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2133""}"
Fulhidoo Caves,,3.683135,73.417159,,,,http://www.dive-links.com/tauchplatz.php?id=2134,,,,,,,663869894,node,"{""name"": ""Fulhidoo Caves"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2134""}"
Coral Giri,,3.855119,73.430742,,,,http://www.dive-links.com/tauchplatz.php?id=2121,,,,,,,663869895,node,"{""name"": ""Coral Giri"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2121""}"
Olhuveli Kuda Giri,,3.843378,73.396748,,,,http://www.dive-links.com/tauchplatz.php?id=2122,,,,,,,663869896,node,"{""name"": ""Olhuveli Kuda Giri"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2122""}"
Rihiveli Faru,,3.819211,73.387422,,,,http://www.dive-links.com/tauchplatz.php?id=2123,,,,,,,663869897,node,"{""name"": ""Rihiveli Faru"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2123""}"
Origandu Finolhu,,3.807211,73.386212,,,,http://www.dive-links.com/tauchplatz.php?id=2124,,,,,,,663869898,node,"{""name"": ""Origandu Finolhu"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2124""}"
Kudarah,,3.810294,73.420358,,,,http://www.dive-links.com/tauchplatz.php?id=2125,,,,,,,663869899,node,"{""name"": ""Kudarah"", ""natural"": ""reef"", ""scuba_diving:entry:boat"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2125""}"
