name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Il-Bajja tax-Xwejni,,36.0791713,14.2480852,,,,,,,,,,,322591289,node,"{""name"": ""Il-Bajja tax-Xwejni"", ""name:en"": ""Xwejni Bay"", ""natural"": ""beach"", ""source"": ""signpost at the beach"", ""sport"": ""scuba_diving"", ""wikidata"": ""Q3571076"", ""wikimedia_commons"": ""Category:Xwejni Bay"", ""wikipedia"": ""en:Xwejni Bay""}"
Marsalforn Jetty,,36.0749536,14.2586424,,,,,,,,,,,384931936,node,"{""name"": ""Marsalforn Jetty"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Double Arch Reef,,36.0817379,14.2465145,,,,,,,,,,,384933337,node,"{""name"": ""Double Arch Reef"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Calypso Cave,,36.0817449,14.2486946,,,,,,,,,,,384934092,node,"{""name"": ""Calypso Cave"", ""natural"": ""cave_entrance"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Billinghurst Cave,entry/exit ladder,36.0812516,14.235361,,,,,,,,,,,384934491,node,"{""description"": ""entry/exit ladder"", ""name"": ""Billinghurst Cave"", ""natural"": ""cliff"", ""sport"": ""scuba_diving""}"
Cathedral Cave,,36.080635,14.229623,,,,,,,,,,,384935638,node,"{""name"": ""Cathedral Cave"", ""natural"": ""cave_entrance"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Il-Ħofra tal-Bidwin,,36.0530121,14.1887151,,,,,,,,,,,384936428,node,"{""alt_name"": ""Blue Hole"", ""image"": ""https://photos.app.goo.gl/d5sc8VdNrtpR7Ui88"", ""name"": ""Il-\u0126ofra tal-Bidwin"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wheelchair"": ""no""}"
Xlendi Tunnel,,36.0296422,14.214495,,,,,,,,,,,384941960,node,"{""name"": ""Xlendi Tunnel"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Big Bear-Little Bear,,36.0515249,14.1880935,,,,,,,,,,,384942080,node,"{""name"": ""Big Bear-Little Bear"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
The washing Machine,,36.0797873,14.2465847,,,,,,,,,,,387502484,node,"{""name"": ""The washing Machine"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Um El Faroud,"It was the first open dive after autumn 1998 Maltaqua controlled circumstances, the assistance of experts sunk, then the following week also were 4 times that of the impressive 104 m long wreck",35.8189961,14.4497087,,,,http://www.dive-links.com/tauchplatz.php?id=1175,,,,,,,663869707,node,"{""description"": ""It was the first open dive after autumn 1998 Maltaqua controlled circumstances, the assistance of experts sunk, then the following week also were 4 times that of the impressive 104 m long wreck"", ""historic"": ""wreck"", ""name"": ""Um El Faroud"", ""seamark:type"": ""wreck"", ""source"": ""Maltese Islands Diving Guide, =BjP= (SSI Instructor Trainer)"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1175""}"
Reqqa Point,entry/exit ladder,36.0820017,14.236345,,,,http://www.dive-links.com/tauchplatz.php?id=1180,,,,,,,663869711,node,"{""description"": ""entry/exit ladder"", ""name"": ""Reqqa Point"", ""natural"": ""cliff"", ""scuba_diving:depth"": ""30"", ""scuba_diving:maxdepth"": ""70"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1180""}"
HMS Maori,"British Tribal-class destroyer sank by German aircraft 1942-02-12, raised and scuttled here 1945-0715",35.9028853,14.516028,,,,,,,,,,,1245126314,node,"{""description"": ""British Tribal-class destroyer sank by German aircraft 1942-02-12, raised and scuttled here 1945-0715"", ""end_date"": ""1942-02-12"", ""historic"": ""wreck"", ""name"": ""HMS Maori"", ""seamark:type"": ""wreck"", ""source"": ""Maltese Islands Diving Guide;survey"", ""source:description"": ""en:wikipedia"", ""sport"": ""scuba_diving"", ""start_date"": ""1937-09-02"", ""wikidata"": ""Q495405"", ""wikimedia_commons"": ""Category:HMS Maori (F24)"", ""wikipedia"": ""en:HMS Maori (F24)""}"
Dive Systems,,35.9180032,14.4988733,,,,https://www.divesystemsmalta.com/,+356 79319123,,,,,,2804929676,node,"{""amenity"": ""dive_centre"", ""name"": ""Dive Systems"", ""phone"": ""+356 79319123"", ""sport"": ""scuba_diving"", ""website"": ""https://www.divesystemsmalta.com/""}"
Santa Marija Caves & Dive Site,,36.0179931,14.3402297,,,,,,,,,,,3767235079,node,"{""name"": ""Santa Marija Caves & Dive Site"", ""natural"": ""cave_entrance"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Wreck of the P31 Patrol Boat,,36.009265,14.3236863,,,,,,,,,,,4159831390,node,"{""historic"": ""wreck"", ""name"": ""Wreck of the P31 Patrol Boat"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wheelchair"": ""no""}"
Alex's Cave Dive Site,,36.0105408,14.3251669,,,,,,,,,,,4159831391,node,"{""name"": ""Alex's Cave Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wheelchair"": ""no""}"
Crystal Lagoon Dive Site,,36.0100895,14.3277632,,,,,,,,,,,4159831392,node,"{""name"": ""Crystal Lagoon Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Blue Lagoon Tunnel Dive Site,,36.0106363,14.3262397,,,,,,,,,,,4159831393,node,"{""name"": ""Blue Lagoon Tunnel Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wheelchair"": ""no""}"
Lantern Point West Dive Site,,36.0046738,14.3257677,,,,,,,,,,,4159831394,node,"{""name"": ""Lantern Point West Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wheelchair"": ""no""}"
Lantern Point Dive Site,,36.0037451,14.3251669,,,,,,,,,,,4159831395,node,"{""name"": ""Lantern Point Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wheelchair"": ""no""}"
Cominotto Arch Dive Site,,36.0119901,14.3193411,,,,,,,,,,,4159831396,node,"{""name"": ""Cominotto Arch Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wheelchair"": ""no""}"
Anchor Reef Dive Site,,36.0125369,14.3177103,,,,,,,,,,,4159831397,node,"{""name"": ""Anchor Reef Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wheelchair"": ""no""}"
Santa Marija Reef Dive Site,,36.0190367,14.3404233,,,,,,,,,,,4159831398,node,"{""name"": ""Santa Marija Reef Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Dive Site & Shipwreck,,36.0050991,14.336121,,,,,,,,,,,4159831399,node,"{""historic"": ""wreck"", ""name"": ""Dive Site & Shipwreck"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Fessej Rock,,36.0154267,14.2757498,,,,,,,,,,,4159831400,node,"{""name"": ""Fessej Rock"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
Ras il-Ħobż,,36.0156263,14.2793976,,,,,,,,,,,4159831401,node,"{""alt_name"": ""Middle Finger"", ""name"": ""Ras il-\u0126ob\u017c"", ""scuba_diving:depth"": ""30"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
MV Karwela,,36.016902,14.2862962,,,,,,,,,,,4159831402,node,"{""historic"": ""wreck"", ""name"": ""MV Karwela"", ""scuba_diving:depth"": ""40"", ""scuba_diving:maxdepth"": ""44"", ""scuba_diving:type:wreck"": ""yes"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""non-dangerous"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wreck:type"": ""ship""}"
Wreck of the Xlendi,,36.0168282,14.2850034,,,,,,,,,,,4159831403,node,"{""historic"": ""wreck"", ""name"": ""Wreck of the Xlendi"", ""scuba_diving:depth"": ""40"", ""scuba_diving:maxdepth"": ""44"", ""scuba_diving:type:wreck"": ""yes"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""non-dangerous"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wreck:type"": ""ship""}"
Wreck of the Cominoland,,36.0170756,14.2871545,,,,,,,,,,,4159831404,node,"{""historic"": ""wreck"", ""name"": ""Wreck of the Cominoland"", ""scuba_diving:depth"": ""35"", ""scuba_diving:maxdepth"": ""41"", ""scuba_diving:type:wreck"": ""yes"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""non-dangerous"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wreck:type"": ""ship""}"
Xatt l-Aħmar Dive Site,,36.0178436,14.2880183,,,,,,,,,,,4159831405,node,"{""name"": ""Xatt l-A\u0127mar Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Ta' Ċenċ Dive Site,,36.0162728,14.2721718,,,,,,,,,,,4159831406,node,"{""name"": ""Ta' \u010aen\u010b Dive Site"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Mġarr ix-Xini,,36.0177654,14.2728799,,,,,,,,,,,4159831407,node,"{""name"": ""M\u0121arr ix-Xini"", ""natural"": ""beach"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
