name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Palancar Reef,,20.296977,-87.031974,,,,http://www.dive-links.com/tauchplatz.php?id=2776,,,,,,,663869323,node,"{""name"": ""Palancar Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2776""}"
Punta Sur Reef,,20.2873171,-87.031631,,,,http://www.dive-links.com/tauchplatz.php?id=2777,,,,,,,663869325,node,"{""name"": ""Punta Sur Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2777""}"
Paso El Cedral Reef,,20.314525,-87.033863,,,,http://www.dive-links.com/tauchplatz.php?id=2773,,,,,,,663869330,node,"{""name"": ""Paso El Cedral Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2773""}"
La Francesa,,20.317584,-87.031631,,,,http://www.dive-links.com/tauchplatz.php?id=2774,,,,,,,663869331,node,"{""name"": ""La Francesa"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2774""}"
Punta Dalila,,20.3079253,-87.032318,,,,http://www.dive-links.com/tauchplatz.php?id=2775,,,,,,,663869332,node,"{""name"": ""Punta Dalila"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2775""}"
Yucab Reef,,20.371342,-87.0457077,,,,http://www.dive-links.com/tauchplatz.php?id=2768,,,,,,,663869333,node,"{""name"": ""Yucab Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2768""}"
Punta Tunich Wall,,20.3555713,-87.046051,,,,http://www.dive-links.com/tauchplatz.php?id=2769,,,,,,,663869334,node,"{""name"": ""Punta Tunich Wall"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2769""}"
Cardona,,20.342695,-87.043991,,,,http://www.dive-links.com/tauchplatz.php?id=2770,,,,,,,663869335,node,"{""name"": ""Cardona"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2770""}"
San Frandsco Reef,,20.327564,-87.0426177,,,,http://www.dive-links.com/tauchplatz.php?id=2771,,,,,,,663869337,node,"{""name"": ""San Frandsco Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2771""}"
Las Palamas,,20.384538,-87.0405578,,,,http://www.dive-links.com/tauchplatz.php?id=2764,,,,,,,663869338,node,"{""name"": ""Las Palamas"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2764""}"
Tormentos Reef,,20.373273,-87.04193,,,,http://www.dive-links.com/tauchplatz.php?id=2767,,,,,,,663869341,node,"{""name"": ""Tormentos Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2767""}"
Chankanaab Reef,,20.37745,-87.037124,,,,http://www.dive-links.com/tauchplatz.php?id=2766,,,,,,,663869344,node,"{""name"": ""Chankanaab Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2766""}"
Maracaibo Reef,,20.262841,-87.011375,,,,http://www.dive-links.com/tauchplatz.php?id=2779,,,,,,,663869356,node,"{""name"": ""Maracaibo Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2779""}"
El Islote,,20.2592984,-86.974983,,,,http://www.dive-links.com/tauchplatz.php?id=2780,,,,,,,663869357,node,"{""name"": ""El Islote"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2780""}"
Chun Chacaaab Reef,,20.277334,-87.011375,,,,http://www.dive-links.com/tauchplatz.php?id=2778,,,,,,,663869358,node,"{""name"": ""Chun Chacaaab Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2778""}"
Chen Rio,,20.3467894,-86.8947828,,,,http://www.dive-links.com/tauchplatz.php?id=2783,,,,,,,663869359,node,"{""name"": ""Chen Rio"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2783""}"
El Mirador,,20.3175844,-86.911125,,,,http://www.dive-links.com/tauchplatz.php?id=2782,,,,,,,663869361,node,"{""name"": ""El Mirador"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2782""}"
San Juan Reef,,20.5501874,-86.94992,,,,http://www.dive-links.com/tauchplatz.php?id=2760,,,,,,,663869362,node,"{""name"": ""San Juan Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2760""}"
Barracuda Reef,,20.568028,-86.912326,,,,http://www.dive-links.com/tauchplatz.php?id=2759,,,,,,,663869363,node,"{""name"": ""Barracuda Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2759""}"
Paraiso Reef,,20.4167169,-87.0309448,,,,http://www.dive-links.com/tauchplatz.php?id=2763,,,,,,,663869365,node,"{""name"": ""Paraiso Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2763""}"
Villa Blanca Wall,,20.4955268,-86.979446,,,,http://www.dive-links.com/tauchplatz.php?id=2762,,,,,,,663869366,node,"{""name"": ""Villa Blanca Wall"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2762""}"
Cantarell Sand Reef,,20.534112,-86.949577,,,,http://www.dive-links.com/tauchplatz.php?id=2761,,,,,,,663869367,node,"{""name"": ""Cantarell Sand Reef"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2761""}"
