name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
seafan forest,,9.9462299,97.8623511,,,,,,,,,,,602929120,node,"{""name"": ""seafan forest"", ""sport"": ""scuba_diving""}"
Western Rocky,,9.860141,97.8678457,,,,,,,,,,,602929121,node,"{""name"": ""Western Rocky"", ""sport"": ""scuba_diving""}"
South Rock,,10.0906524,97.9943998,,,,,,,,,,,602929141,node,"{""name"": ""South Rock"", ""sport"": ""scuba_diving""}"
Three Sisters,,10.121047,97.9538686,,,,,,,,,,,602929142,node,"{""name"": ""Three Sisters"", ""sport"": ""scuba_diving""}"
Guoddus Garden,,12.0218714,92.8006998,,,,,,,,,,,649984297,node,"{""name"": ""Guoddus Garden"", ""scuba_diving:divespot"": ""Guoddus Garden"", ""sport"": ""scuba_diving""}"
The Wall,,12.0547239,92.962155,,,,,,,,,,,649984298,node,"{""name"": ""The Wall"", ""scuba_diving:divespot"": ""The Wall"", ""sport"": ""scuba_diving""}"
MV Mars,,12.0640919,92.9633935,,,,,,,,,,,649984299,node,"{""name"": ""MV Mars"", ""scuba_diving:divespot"": ""MV Mars"", ""sport"": ""scuba_diving""}"
Johnson's Reef,,12.0783903,92.9520097,,,,,,,,,,,649984300,node,"{""name"": ""Johnson's Reef"", ""scuba_diving:divespot"": ""Johnson's Reef"", ""sport"": ""scuba_diving""}"
Minerva Ledge,,12.0618504,93.1507236,,,,,,,,,,,649984303,node,"{""name"": ""Minerva Ledge"", ""scuba_diving:divespot"": ""Minerva Ledge"", ""sport"": ""scuba_diving""}"
Jackson's Bar,,12.1228934,93.1605411,,,,,,,,,,,649984304,node,"{""name"": ""Jackson's Bar"", ""scuba_diving:divespot"": ""Jackson's Bar"", ""sport"": ""scuba_diving""}"
South Button,,12.2237104,93.0197618,,,,,,,,,,,649984315,node,"{""name"": ""South Button"", ""scuba_diving:divespot"": ""South Button"", ""sport"": ""scuba_diving""}"
Duncan's Wreck,,12.0065789,92.78051,,,,,,,,,,,649985250,node,"{""name"": ""Duncan's Wreck"", ""scuba_diving:divespot"": ""Duncan's Wreck"", ""sport"": ""scuba_diving""}"
Dixon's,,11.9218031,93.0930528,,,,,,,,,,,649985251,node,"{""name"": ""Dixon's"", ""scuba_diving:divespot"": ""Dixon's"", ""sport"": ""scuba_diving""}"
Lighthouse,,12.049892,92.9641702,,,,,,,,,,,649985252,node,"{""name"": ""Lighthouse"", ""scuba_diving:divespot"": ""Lighthouse"", ""sport"": ""scuba_diving""}"
Johnny's Gorge,,12.06438,93.1565799,,,,,,,,,,,649985268,node,"{""name"": ""Johnny's Gorge"", ""scuba_diving:divespot"": ""Johnny's Gorge"", ""sport"": ""scuba_diving""}"
อ่าวลึก,,10.0710681,99.8410882,,,,,,,,,,,859428681,node,"{""name"": ""\u0e2d\u0e48\u0e32\u0e27\u0e25\u0e36\u0e01"", ""name:en"": ""Ao Luek"", ""natural"": ""bay"", ""scuba_diving:entry"": ""boat:shore"", ""scuba_diving:maxdepth"": ""10"", ""scuba_diving:mindepth"": ""2"", ""scuba_diving:type"": ""sand"", ""sport"": ""scuba_diving"", ""wikidata"": ""Q49372696""}"
Japanese Garden,,10.1188103,99.8145504,,,,,,,,,,,859428779,node,"{""name"": ""Japanese Garden"", ""name:en"": ""Japanese Gardens"", ""scuba_diving:difficulty"": ""1"", ""scuba_diving:entry"": ""boat"", ""scuba_diving:maxdepth"": ""14"", ""scuba_diving:mindepth"": ""1"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving""}"
Red Rock,,10.1234449,99.8148536,,,,,,,,,,,859428812,node,"{""name"": ""Red Rock"", ""name:en"": ""Red Rock"", ""scuba_diving:difficulty"": ""1"", ""scuba_diving:entry"": ""boat"", ""scuba_diving:maxdepth"": ""25"", ""scuba_diving:mindepth"": ""5"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving""}"
