name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Basis am Blausteinsee,,50.853654,6.2660855,,,,,,,,,,,369967877,node,"{""amenity"": ""dive_centre"", ""name"": ""Basis am Blausteinsee"", ""sport"": ""scuba_diving""}"
See Widdauen 2,,51.0835344,6.9459334,,,,,,,,,,,428839098,node,"{""access"": ""private"", ""leisure"": ""pitch"", ""name"": ""See Widdauen 2"", ""sport"": ""scuba_diving""}"
Düsseldorfer Tauchverband,Gelände des Düsseldorfer Tauchverbandes mit Zugang zum Elbsee für Taucher,51.1821324,6.909428,,,,,,,,,,,514558983,node,"{""club"": ""sport"", ""contact:website"": ""http://dtv-ev.de"", ""description"": ""Gel\u00e4nde des D\u00fcsseldorfer Tauchverbandes mit Zugang zum Elbsee f\u00fcr Taucher"", ""name"": ""D\u00fcsseldorfer Tauchverband"", ""scuba_diving:attraction:biology"": ""yes"", ""scuba_diving:dangers:surfers"": ""yes"", ""scuba_diving:entry:stair"": ""yes"", ""scuba_diving:maxdepth"": ""23m"", ""scuba_diving:type:lake"": ""yes"", ""short_name"": ""DTV"", ""sport"": ""scuba_diving"", ""wheelchair"": ""yes""}"
Taucherbucht,,51.3816375,6.6315975,,,,,,,,,,,658883986,node,"{""name"": ""Taucherbucht"", ""sport"": ""scuba_diving""}"
Heider Bergsee,,50.8303333,6.8688333,,,,http://www.dive-links.com/tauchplatz.php?id=1084,,,,,,,663870544,node,"{""name"": ""Heider Bergsee"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1084""}"
Fühlinger See 5: Sporttauchen,,51.0225593,6.9231385,,,,http://www.dive-links.com/tauchplatz.php?id=1083,,,,,,,663870546,node,"{""name"": ""F\u00fchlinger See 5: Sporttauchen"", ""source"": ""Satzung zur Nutzung des F\u00fchlinger Sees vom 27. April 2011"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1083""}"
Bleibtreusee,,50.8391667,6.8595,,,,http://www.dive-links.com/tauchplatz.php?id=1082,,,,,,,663870547,node,"{""name"": ""Bleibtreusee"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1082""}"
Dürener Badesee,,50.8044444,6.4405555,,,,http://www.dive-links.com/tauchplatz.php?id=487,,,,,,,663870552,node,"{""name"": ""D\u00fcrener Badesee"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=487""}"
Wisseler See,,51.7605,6.2963333,,,,http://www.dive-links.com/tauchplatz.php?id=1088,,,,,,,663870556,node,"{""name"": ""Wisseler See"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1088""}"
Tauchgasometer,,51.480894,6.782775,,,,https://www.tauchrevier-gasometer.de/,,,,,,,663870559,node,"{""name"": ""Tauchgasometer"", ""sport"": ""scuba_diving"", ""website"": ""https://www.tauchrevier-gasometer.de/""}"
Indoor-Tauchcenter dive4life,,50.8020988,7.2193089,DE,,Siegburg,,+49 2241 9572185,info@dive4life.de,,,,,663870560,node,"{""addr:city"": ""Siegburg"", ""addr:country"": ""DE"", ""addr:housenumber"": ""110"", ""addr:postcode"": ""53721"", ""addr:street"": ""Zeithstra\u00dfe"", ""contact:email"": ""info@dive4life.de"", ""contact:facebook"": ""https://www.facebook.com/Dive4lifeGmbH"", ""contact:phone"": ""+49 2241 9572185"", ""contact:website"": ""https://www.dive4life.de/"", ""leisure"": ""sports_centre"", ""name"": ""Indoor-Tauchcenter dive4life"", ""opening_hours"": ""Mo-Su 10:00-22:00"", ""operator"": ""dive4life GmbH"", ""scuba_diving:type"": ""pool"", ""source"": ""https://www.dive4life.de/"", ""sport"": ""scuba_diving"", ""verified"": ""yes""}"
Dankernsee,,52.7976973,7.1851546,,,,https://www.tauchschule-dankern.de/,,,,,,,663870574,node,"{""name"": ""Dankernsee"", ""sport"": ""scuba_diving"", ""website"": ""https://www.tauchschule-dankern.de/""}"
Heike,,53.5269604,6.6903802,,,,,,,,,,,663870625,node,"{""historic"": ""wreck"", ""leisure"": ""pitch"", ""name"": ""Heike"", ""seamark:name"": ""Heike I"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""dangerous"", ""seamark:wreck:depth"": ""4.6"", ""seamark:wreck:water_level"": ""submerged"", ""source"": ""http://www.dive-links.com/tauchplatz.php?id=1792"", ""sport"": ""scuba_diving""}"
