name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Kaivoslampi,,60.2398143,24.0345291,,,,,,,,,,,84468636,node,"{""amenity"": ""dive_centre"", ""name"": ""Kaivoslampi"", ""sport"": ""scuba_diving""}"
Gudrun,,58.2365406,6.6540044,,,,,,,,,,,310268843,node,"{""ft_symbol"": ""150"", ""historic"": ""wreck"", ""name"": ""Gudrun"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Katedrale,,58.2460673,6.5622451,,,,,,,,,,,457545953,node,"{""name"": ""Katedrale"", ""sport"": ""scuba_diving""}"
Støytland,,58.2286629,6.6263096,,,,,,,,,,,457545955,node,"{""name"": ""St\u00f8ytland"", ""sport"": ""scuba_diving""}"
Mekjervågen,,58.2151431,6.6361713,,,,,,,,,,,457545956,node,"{""name"": ""Mekjerv\u00e5gen"", ""sport"": ""scuba_diving""}"
Indre Kalven,,58.2044985,6.63041,,,,,,,,,,,457545959,node,"{""name"": ""Indre Kalven"", ""sport"": ""scuba_diving""}"
Katterauva,,58.2026332,6.6501828,,,,,,,,,,,457550391,node,"{""name"": ""Katterauva"", ""sport"": ""scuba_diving""}"
Austgavlen,,58.2008664,6.6535518,,,,,,,,,,,457550393,node,"{""name"": ""Austgavlen"", ""sport"": ""scuba_diving""}"
Ytre Kalven,,58.199953,6.6144267,,,,,,,,,,,457550395,node,"{""name"": ""Ytre Kalven"", ""sport"": ""scuba_diving""}"
Hunden,,58.2148711,6.6811982,,,,,,,,,,,457550397,node,"{""name"": ""Hunden"", ""sport"": ""scuba_diving""}"
Øya I,,58.108991,8.0560324,,,,,,,,,,,457554001,node,"{""historic"": ""wreck"", ""name"": ""\u00d8ya I"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Blaafjeld,,64.8643,11.6291666,,,,http://www.dive-links.com/tauchplatz.php?id=553,,,,,,,663871176,node,"{""historic"": ""wreck"", ""name"": ""Blaafjeld"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=553""}"
Dornier DO-24,,58.2070333,8.064,,,,http://www.dive-links.com/tauchplatz.php?id=1311,,,,,,,663871177,node,"{""historic"": ""wreck"", ""name"": ""Dornier DO-24"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1311""}"
Argentina,,58.3949833,5.99035,,,,http://www.dive-links.com/tauchplatz.php?id=2139,,,,,,,663871178,node,"{""name"": ""Argentina"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2139""}"
