name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
The Wall,,16.9426945,54.804763,,,,,,,,,,,306049996,node,"{""diving:entry"": ""yes"", ""name"": ""The Wall"", ""sport"": ""scuba_diving""}"
Aquarium,,16.9462204,54.8045232,,,,,,,,,,,306050015,node,"{""diving:entry"": ""yes"", ""name"": ""Aquarium"", ""sport"": ""scuba_diving""}"
China Wreck (direction 150deg),,16.9678903,54.707109,,,,,,,,,,,306050042,node,"{""diving:entry"": ""yes"", ""name"": ""China Wreck (direction 150deg)"", ""sport"": ""scuba_diving""}"
ABT Salalah,,17.0087552,54.1517412,,,,,,,,,,,306050061,node,"{""name"": ""ABT Salalah"", ""sport"": ""scuba_diving""}"
Flamingo Beach: Side Entry,,16.95053,54.8188777,,,,,,,,,,,306100677,node,"{""diving:entry"": ""yes"", ""name"": ""Flamingo Beach: Side Entry"", ""sport"": ""scuba_diving""}"
Flamingo Beach: New Entry,,16.9500559,54.8192384,,,,,,,,,,,306100678,node,"{""diving:entry"": ""yes"", ""name"": ""Flamingo Beach: New Entry"", ""sport"": ""scuba_diving""}"
Divemasters delight,,16.9448743,54.8124714,,,,,,,,,,,306105636,node,"{""diving:entry"": ""yes"", ""name"": ""Divemasters delight"", ""sport"": ""scuba_diving""}"
Flamingo Beach: Beach Entry,,16.9512786,54.8158953,,,,,,,,,,,306105649,node,"{""diving:entry"": ""yes"", ""name"": ""Flamingo Beach: Beach Entry"", ""sport"": ""scuba_diving""}"
Eagle Bay,,16.9402373,54.798294,,,,,,,,,,,306112631,node,"{""diving:entry"": ""yes"", ""name"": ""Eagle Bay"", ""sport"": ""scuba_diving""}"
Extra Divers Musandam,,26.2138898,56.2340282,,,,,,,,,,,598562251,node,"{""amenity"": ""dive_centre"", ""name"": ""Extra Divers Musandam"", ""name:en"": ""Extra Divers Musandam"", ""sport"": ""scuba_diving""}"
Dibba Rock,,25.6034329,56.3502417,,,,,,,,,,,9865803545,node,"{""name"": ""Dibba Rock"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Snoopy Island,,25.4926007,56.3635239,,,,,,,,,,,9865811800,node,"{""name"": ""Snoopy Island"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
ABT Divers,,16.9756367,54.6927509,,,,,,,,,,,12303934101,node,"{""amenity"": ""dive_centre"", ""fee"": ""yes"", ""name"": ""ABT Divers"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:rental"": ""yes"", ""sport"": ""scuba_diving""}"
Al Boom Diving,,25.5071941,56.364763,,,,,,,,,,,560232067,way,"{""building"": ""yes"", ""name"": ""Al Boom Diving"", ""name:en"": ""Al Boom Diving"", ""sport"": ""scuba_diving""}"
Dibba Rock Reef,,25.6031152,56.3508923,,,,,,,,,,multipolygon,3357581,relation,"{""boundary"": ""protected_area"", ""name"": ""Dibba Rock Reef"", ""name:en"": ""Dibba Rock Reef"", ""sport"": ""scuba_diving"", ""type"": ""multipolygon""}"
Snoopy Island Reef,,25.4922406,56.3640027,,,,,,,,,,multipolygon,3357593,relation,"{""boundary"": ""protected_area"", ""name"": ""Snoopy Island Reef"", ""name:en"": ""Snoopy Island Reef"", ""sport"": ""scuba_diving"", ""type"": ""multipolygon""}"
