name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Paradies Corner,,7.2433042,134.3723288,,,,,,,,,,,3900552607,node,"{""name"": ""Paradies Corner"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Blue Corner,,7.1343222,134.2213095,,,,,,,,,,,4031041872,node,"{""name"": ""Blue Corner"", ""scuba_diving:depth"": ""30"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:bigfish"": ""yes"", ""scuba_diving:type:reef"": ""yes"", ""scuba_diving:type:sharks"": ""yes"", ""scuba_diving:type:wall"": ""yes"", ""sport"": ""scuba_diving""}"
Chandelier Cave,,7.3407011,134.4506516,,,,,,,,,,,4031041873,node,"{""name"": ""Chandelier Cave"", ""natural"": ""cave_entrance"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:ambiance"": ""yes"", ""scuba_diving:type:cave"": ""yes"", ""sport"": ""scuba_diving""}"
Chuyo Maru,A yellow bouy on surface,7.3402859,134.4392897,,,,,,,,,,,4031041874,node,"{""description"": ""A yellow bouy on surface"", ""historic"": ""wreck"", ""name"": ""Chuyo Maru"", ""scuba_diving:depth"": ""30"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:wreck"": ""yes"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""wreck:date_sunk"": ""1 April 1944"", ""wreck:visible_at_high_tide"": ""no"", ""wreck:visible_at_low_tide"": ""no""}"
Lighthouse Channel,,7.2898655,134.4599024,,,,,,,,,,,4031041875,node,"{""name"": ""Lighthouse Channel"", ""scuba_diving:dangers:current"": ""yes"", ""scuba_diving:depth"": ""26"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:drift"": ""yes"", ""scuba_diving:type:gravel"": ""yes"", ""scuba_diving:type:sand"": ""yes"", ""sport"": ""scuba_diving""}"
New Drop-Off,,7.1060113,134.2394949,,,,,,,,,,,4031041876,node,"{""name"": ""New Drop-Off"", ""scuba_diving:depth"": ""30"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:bigfish"": ""yes"", ""scuba_diving:type:sharks"": ""yes"", ""scuba_diving:type:wall"": ""yes"", ""sport"": ""scuba_diving""}"
Sand Bar,,7.2707699,134.2448368,,,,,,,,,,,4031041877,node,"{""alt_name"": ""Grassland"", ""name"": ""Sand Bar"", ""scuba_diving:depth"": ""25"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:bigfish"": ""yes"", ""scuba_diving:type:reef"": ""yes"", ""scuba_diving:type:sharks"": ""yes"", ""sport"": ""scuba_diving""}"
Siaes Corner,,7.3138553,134.2201758,,,,,,,,,,,4031041878,node,"{""name"": ""Siaes Corner"", ""scuba_diving:depth"": ""21"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:bigfish"": ""yes"", ""scuba_diving:type:sharks"": ""yes"", ""sport"": ""scuba_diving""}"
Siaes Tunnel,,7.3114442,134.2266188,,,,,,,,,,,4031041879,node,"{""name"": ""Siaes Tunnel"", ""scuba_diving:depth"": ""30"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:cavern"": ""yes"", ""sport"": ""scuba_diving""}"
Ulong Channel,,7.2834381,134.244683,,,,,,,,,,,4031041880,node,"{""name"": ""Ulong Channel"", ""scuba_diving:depth"": ""30"", ""scuba_diving:difficulty"": ""2"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:type:bigfish"": ""yes"", ""scuba_diving:type:reef"": ""yes"", ""scuba_diving:type:sharks"": ""yes"", ""sport"": ""scuba_diving""}"
Blue Holes,,7.1372018,134.2225545,,,,,,,,,,,5042664345,node,"{""name"": ""Blue Holes"", ""scuba_diving:depth"": ""30"", ""sport"": ""scuba_diving""}"
Peliliu Corner,,6.96978,134.2252069,,,,,,,,,,,5352500390,node,"{""name"": ""Peliliu Corner"", ""sport"": ""scuba_diving""}"
The Big Drop Off,,7.1014261,134.2496522,,,,,,,,,,,6179832517,node,"{""name"": ""The Big Drop Off"", ""scuba_diving:depth"": ""18"", ""scuba_diving:entry"": ""boat"", ""scuba_diving:type"": ""wall"", ""sport"": ""scuba_diving""}"
Ngerechong North Coral Garden,,7.1159112,134.3670831,,,,,,,,,,,6457176735,node,"{""name"": ""Ngerechong North Coral Garden"", ""scuba_diving:type:reef"": ""yes"", ""sport"": ""scuba_diving""}"
Ngerechong Drop-off,,7.1119455,134.3682955,,,,,,,,,,,6457176736,node,"{""name"": ""Ngerechong Drop-off"", ""scuba_diving:type:wall"": ""yes"", ""sport"": ""scuba_diving""}"
Temple of Doom,,7.1375335,134.2229725,,,,,,,,,,,6461715347,node,"{""name"": ""Temple of Doom"", ""scuba_diving:depth"": ""30"", ""scuba_diving:entry"": ""boat"", ""scuba_diving:maxdepth"": ""37"", ""scuba_diving:type:cave"": ""yes"", ""sport"": ""scuba_diving""}"
Jake SeaPlane,,7.3691524,134.4484596,,,,,,,,,,,6463626906,node,"{""access"": ""yes"", ""historic"": ""wreck"", ""name"": ""Jake SeaPlane"", ""scuba_diving:depth"": ""12"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:type:wreck"": ""yes"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""non-dangerous"", ""sport"": ""scuba_diving"", ""wreck:visible_at_high_tide"": ""no"", ""wreck:visible_at_low_tide"": ""no""}"
