name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Doljo Point,,9.592367,123.722483,,,,http://www.dive-links.com/tauchplatz.php?id=2047,,,,,,,663871182,node,"{""name"": ""Doljo Point"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2047""}"
Fish Sanctuary,,9.5180356,123.6810127,,,,http://www.dive-links.com/tauchplatz.php?id=2044,,,,,,,663871183,node,"{""name"": ""Fish Sanctuary"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2044""}"
Black Forest,,9.514833,123.688933,,,,http://www.dive-links.com/tauchplatz.php?id=2043,,,,,,,663871185,node,"{""name"": ""Black Forest"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2043""}"
Fallen Tree,,9.8926,123.7691,,,,http://www.dive-links.com/tauchplatz.php?id=2046,,,,,,,663871186,node,"{""name"": ""Fallen Tree"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2046""}"
Lighthouse West,,9.891153,123.760728,,,,http://www.dive-links.com/tauchplatz.php?id=2045,,,,,,,663871187,node,"{""name"": ""Lighthouse West"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2045""}"
Manta Bowl,,12.6110166,123.7081,,,,http://www.dive-links.com/tauchplatz.php?id=1542,,,,,,,663871188,node,"{""name"": ""Manta Bowl"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1542""}"
Taiei Maru,Navy oiler - 160m (10 to 26m),12.0176,119.9695166,,,,,,,,,,,663871190,node,"{""description"": ""Navy oiler - 160m (10 to 26m)"", ""historic"": ""wreck"", ""name"": ""Taiei Maru"", ""scuba_diving:depth"": ""10"", ""scuba_diving:maxdepth"": ""26"", ""scuba_diving:type:wreck"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Teru Kaze,Anti-submarine boat - 30m (4m to 20m),11.9742,120.07955,,,,http://www.dive-links.com/tauchplatz.php?id=1270,,,,,,,663871191,node,"{""description"": ""Anti-submarine boat - 30m (4m to 20m)"", ""historic"": ""wreck"", ""name"": ""Teru Kaze"", ""scuba_diving:depth"": ""3"", ""scuba_diving:maxdepth"": ""12"", ""scuba_diving:type:wreck"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1270""}"
Kogyo,Cargo ship - 130m (18-30m),11.9799666,120.0397666,,,,http://www.dive-links.com/tauchplatz.php?id=1269,,,,,,,663871192,node,"{""description"": ""Cargo ship - 130m (18-30m)"", ""historic"": ""wreck"", ""name"": ""Kogyo"", ""scuba_diving:depth"": ""18"", ""scuba_diving:maxdepth"": ""30"", ""scuba_diving:type:wreck"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1269""}"
Olympia,"""Tangat Wreck"" Army supply ship - 128m (22 to 30m)",11.9711589,120.0612313,,,,http://www.dive-links.com/tauchplatz.php?id=1268;http://www.dive-links.com/tauchplatz.php?id=1273,,,,,,,663871194,node,"{""description"": ""\""Tangat Wreck\"" Army supply ship - 128m (22 to 30m)"", ""historic"": ""wreck"", ""name"": ""Olympia"", ""scuba_diving:depth"": ""22"", ""scuba_diving:maxdepth"": ""30"", ""scuba_diving:type:wreck"": ""yes"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1268;http://www.dive-links.com/tauchplatz.php?id=1273""}"
Irako,Refrigerated ship - 140m (30-43m),11.9678333,120.04015,,,,,,,,,,,663871195,node,"{""description"": ""Refrigerated ship - 140m (30-43m)"", ""historic"": ""wreck"", ""name"": ""Irako"", ""scuba_diving:depth"": ""30"", ""scuba_diving:maxdepth"": ""43"", ""scuba_diving:type:wreck"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Akitsushima,Akitsushima wreck - Navy seaplane tender - 118m (22 to 36m),11.9871,119.9735333,,,,,,,,,,,663871197,node,"{""description"": ""Akitsushima wreck - Navy seaplane tender - 118m (22 to 36m)"", ""historic"": ""wreck"", ""name"": ""Akitsushima"", ""scuba_diving:depth"": ""22"", ""scuba_diving:maxdepth"": ""36"", ""scuba_diving:type:wreck"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Lusong gunboat,,11.9709166,120.0242166,,,,http://www.dive-links.com/tauchplatz.php?id=1275,,,,,,,663871201,node,"{""historic"": ""wreck"", ""name"": ""Lusong gunboat"", ""scuba_diving:type:wreck"": ""yes"", ""source"": ""Schadow1 Expeditions"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1275""}"
