name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Eckartsberg,,50.9262018,14.7998833,,,,http://www.dive-links.com/tauchplatz.php?id=1125,,,,,,,663871076,node,"{""name"": ""Eckartsberg"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1125""}"
Jesenny,,50.6619056,15.3455472,,,,http://www.dive-links.com/tauchplatz.php?id=1310,,,,,,,663871079,node,"{""name"": ""Jesenny"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1310""}"
Wetro,,51.2922333,14.7612,,,,http://www.dive-links.com/tauchplatz.php?id=1148,,,,,,,663871091,node,"{""name"": ""Wetro"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1148""}"
Jezioro Bielin,,52.837581,14.435113,,,,http://www.dive-links.com/tauchplatz.php?id=1682,,,,,,,663871093,node,"{""name"": ""Jezioro Bielin"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1682""}"
Jezioro Moryn - Moryn,,52.860711,14.401481,,,,http://www.dive-links.com/tauchplatz.php?id=1686,,,,,,,663871095,node,"{""name"": ""Jezioro Moryn - Moryn"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1686""}"
Jezioro Moryn - Przyjezierze,,52.871588,14.400581,,,,http://www.dive-links.com/tauchplatz.php?id=1688,,,,,,,663871097,node,"{""name"": ""Jezioro Moryn - Przyjezierze"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1688""}"
Jezioro Jelenin - T-Punkt,,52.912324,14.500806,,,,http://www.dive-links.com/tauchplatz.php?id=1681,,,,,,,663871098,node,"{""name"": ""Jezioro Jelenin - T-Punkt"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1681""}"
Jezioro Insko - Damm nord,,53.436775,15.51929,,,,http://www.dive-links.com/tauchplatz.php?id=1673,,,,,,,663871099,node,"{""name"": ""Jezioro Insko - Damm nord"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1673""}"
Jezioro Insko - Damm süd,,53.435302,15.515969,,,,http://www.dive-links.com/tauchplatz.php?id=1672,,,,,,,663871102,node,"{""name"": ""Jezioro Insko - Damm s\u00fcd"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1672""}"
Jezioro Jelenin - Badeanstalt,,52.909742,14.49505,,,,http://www.dive-links.com/tauchplatz.php?id=1680,,,,,,,663871103,node,"{""name"": ""Jezioro Jelenin - Badeanstalt"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1680""}"
Jezioro Drawsko - Stare Drawsko-Kleofas,,53.601956,16.188916,,,,http://www.dive-links.com/tauchplatz.php?id=1678,,,,,,,663871137,node,"{""name"": ""Jezioro Drawsko - Stare Drawsko-Kleofas"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1678""}"
Jezioro Insko - Westspitze,,53.444601,15.483096,,,,http://www.dive-links.com/tauchplatz.php?id=1675,,,,,,,663871138,node,"{""name"": ""Jezioro Insko - Westspitze"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1675""}"
DIVE DEVIL - Centrum nurkowe,,53.4507557,15.5564838,,,,http://www.divedevil.com.pl/,,,,,,,663871139,node,"{""leisure"": ""sports_centre"", ""name"": ""DIVE DEVIL - Centrum nurkowe"", ""sport"": ""scuba_diving"", ""website"": ""http://www.divedevil.com.pl/""}"
Jezioro Drawsko - Zodiak,,53.578499,16.20901,,,,http://www.dive-links.com/tauchplatz.php?id=1679,,,,,,,663871140,node,"{""name"": ""Jezioro Drawsko - Zodiak"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1679""}"
Jezioro Czarnoglowy Duze - Unterwasserwald,,53.7552012,14.9320765,,,,http://www.dive-links.com/tauchplatz.php?id=1667,,,,,,,663871141,node,"{""name"": ""Jezioro Czarnoglowy Duze - Unterwasserwald"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1667""}"
Jezioro Czarnoglowy Duze - Badestelle,,53.758688,14.916065,,,,http://www.dive-links.com/tauchplatz.php?id=1668,,,,,,,663871143,node,"{""name"": ""Jezioro Czarnoglowy Duze - Badestelle"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1668""}"
Jezioro Czarnoglowy Srednie,,53.753207,14.920844,,,,http://www.dive-links.com/tauchplatz.php?id=1669,,,,,,,663871144,node,"{""name"": ""Jezioro Czarnoglowy Srednie"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1669""}"
Jezioro Czarnoglowy Male,,53.755577,14.934525,,,,http://www.dive-links.com/tauchplatz.php?id=1670,,,,,,,663871145,node,"{""name"": ""Jezioro Czarnoglowy Male"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1670""}"
Abille,,54.5896667,18.7878333,,,,http://www.dive-links.com/tauchplatz.php?id=1697,,,,,,,663871146,node,"{""historic"": ""wreck"", ""name"": ""Abille"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1697""}"
