name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Light House,,28.4984313,34.5206951,,,,,,,,,,,250735128,node,"{""description:en"": ""House reef for many diveclubs. Elephant statue under the water"", ""description:ru"": ""\u0414\u043e\u043c\u0430\u0448\u043d\u0438\u0439 \u0440\u0438\u0444 \u0434\u043b\u044f \u0434\u0430\u0439\u0432 \u0446\u0435\u043d\u0442\u0440\u043e\u0432. \u0415\u0441\u0442\u044c \u0441\u0442\u0430\u0442\u0443\u044f \u0441\u043b\u043e\u043d\u0430 \u043f\u043e\u0434 \u0432\u043e\u0434\u043e\u0439."", ""name"": ""Light House"", ""scuba_diving:depth"": ""18"", ""scuba_diving:difficulty"": ""1"", ""scuba_diving:entry"": ""shore"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Eel Garden,,28.5053487,34.5212322,,,,,,,,,,,251193614,node,"{""description:en"": ""Sand bottom with hundreds of eels"", ""description:ru"": ""\u041f\u0435\u0441\u0447\u0430\u043d\u043e\u0435 \u0434\u043d\u043e \u0441 \u0441\u043e\u0442\u043d\u044f\u043c\u0438 \u0443\u0433\u0440\u0435\u0439."", ""name"": ""Eel Garden"", ""scuba_diving:depth"": ""20"", ""scuba_diving:difficulty"": ""1"", ""scuba_diving:entry"": ""shore"", ""source"": ""local_knowledge"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
الجزر,,28.4772304,34.5132459,,,,,,,,,,,251193886,node,"{""alt_name"": ""\u0627\u0644\u062c\u0632\u0631"", ""description:en"": ""Coral underwater islands-reefs, amazing landscape. Good for night diving. Turtle living here."", ""description:ru"": ""\u041f\u043e\u0442\u0440\u044f\u0441\u0430\u044e\u0449\u0438\u0439 \u043f\u043e\u0434\u0432\u043e\u0434\u043d\u044b\u0439 \u043b\u0430\u043d\u0434\u0448\u0430\u0444\u0442 \u0438\u0437 \u043a\u043e\u0440\u0430\u043b\u043b\u043e\u0432\u044b\u0445 \u043e\u0441\u0442\u0440\u043e\u0432\u043a\u043e\u0432. \u041f\u043e\u0434\u0445\u043e\u0434\u0438\u0442 \u0434\u043b\u044f \u043d\u043e\u0447\u043d\u044b\u0445 \u043f\u043e\u0433\u0440\u0443\u0436\u0435\u043d\u0438\u0439. \u041d\u0430 \u0440\u0438\u0444\u0435 \u0436\u0438\u0432\u0435\u0442 \u0447\u0435\u0440\u0435\u043f\u0430\u0445\u0430."", ""name"": ""\u0627\u0644\u062c\u0632\u0631"", ""name:ar"": ""\u0627\u0644\u062c\u0632\u0631"", ""name:ar1"": ""\u0627\u0644\u062c\u0632\u0631"", ""name:en"": ""The Islands"", ""scuba_diving:depth"": ""16"", ""scuba_diving:entry"": ""shore"", ""source"": ""local_knowledge"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
St John's Caves,,23.6366824,35.8249781,,,,,,,,,,,271178997,node,"{""name"": ""St John's Caves"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes""}"
East Abu Dabab 3,,25.3441825,34.7774058,,,,,,,,,,,271180017,node,"{""name"": ""East Abu Dabab 3"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Sataya South,,24.1564359,35.7108504,,,,,,,,,,,271180391,node,"{""name"": ""Sataya South"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes""}"
Shaab Maksour South,,24.238811,35.6542264,,,,,,,,,,,271180623,node,"{""name"": ""Shaab Maksour South"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Abu Galawa Soraya,,24.2520395,35.5407835,,,,,,,,,,,271180625,node,"{""name"": ""Abu Galawa Soraya"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
"Torfi, Wadi Gamal",,24.674982,35.1457889,,,,,,,,,,,271180721,node,"{""name"": ""Torfi, Wadi Gamal"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Ras Shona,,25.4684135,34.6819826,,,,,,,,,,,271180928,node,"{""name"": ""Ras Shona"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
