name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Tauchschule Atlantis,,46.6204238,14.2058305,,,,,,,,,,,296576781,node,"{""amenity"": ""dive_centre"", ""name"": ""Tauchschule Atlantis"", ""scuba_diving:air_fill"": ""yes"", ""sport"": ""scuba_diving""}"
Ossiacher See - Gemeindebad St. Andrä,,46.6520976,13.9175598,,,,http://www.dive-links.com/tauchplatz.php?id=2801,,,,,,,663870705,node,"{""leisure"": ""pitch"", ""name"": ""Ossiacher See - Gemeindebad St. Andr\u00e4"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2801""}"
Ossiacher See - Kessel-Strandbad Christa,,46.6585832,13.8963146,,,,http://www.dive-links.com/tauchplatz.php?id=2017,,,,,,,663870706,node,"{""leisure"": ""pitch"", ""name"": ""Ossiacher See - Kessel-Strandbad Christa"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2017""}"
Millstätter See - Bucht von Döbriach;Millstätter See - Junfernsprung;Millstätter See - Liafelsen;Millstätter See - Ostufer;Millstätter See - Wrack `Möve`,,46.795071,13.57733,,,,,,,,,,,663870707,node,"{""historic"": ""wreck"", ""name"": ""Millst\u00e4tter See - Bucht von D\u00f6briach;Millst\u00e4tter See - Junfernsprung;Millst\u00e4tter See - Liafelsen;Millst\u00e4tter See - Ostufer;Millst\u00e4tter See - Wrack `M\u00f6ve`"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag""}"
Brennsee,,46.7696,13.7522,,,,http://www.dive-links.com/tauchplatz.php?id=1699,,,,,,,663870711,node,"{""alt_name"": ""Feldsee"", ""name"": ""Brennsee"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1699""}"
Pressegger See,,46.625442,13.440346,,,,http://www.dive-links.com/tauchplatz.php?id=2016,,,,,,,663870719,node,"{""name"": ""Pressegger See"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2016""}"
Scuba-Team-Kärnten,,46.7851711,14.4202884,,,,https://www.scuba-team-kaernten.at/,,,,,,,663870786,node,"{""amenity"": ""dive_centre"", ""name"": ""Scuba-Team-K\u00e4rnten"", ""sport"": ""scuba_diving"", ""website"": ""https://www.scuba-team-kaernten.at/""}"
Ossiacher See - Strandbad Sattendorf,,46.6624809,13.9181661,,,,http://www.dive-links.com/tauchplatz.php?id=2804,,,,,,,1270747151,node,"{""leisure"": ""pitch"", ""name"": ""Ossiacher See - Strandbad Sattendorf"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=2804""}"
Blue Water Divers,,46.6264786,14.0903886,,,,,,,,,,,1383649491,node,"{""amenity"": ""dive_centre"", ""name"": ""Blue Water Divers"", ""source"": ""survey"", ""sport"": ""scuba_diving""}"
"Pri Čolnarni, Velenjsko jezero",,46.3703993,15.0880515,,,,http://pas.s56g.net/pdf/045_Velenje.pdf,,,,,,,2495038636,node,"{""name"": ""Pri \u010colnarni, Velenjsko jezero"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:entry"": ""shore"", ""scuba_diving:type"": ""ambiance"", ""source"": ""http://www.spz.si/"", ""sport"": ""scuba_diving"", ""website"": ""http://pas.s56g.net/pdf/045_Velenje.pdf""}"
Sub-Net potapljanje,,45.5303516,13.5648604,,,,,,,,,,,3615152349,node,"{""leisure"": ""sports_centre"", ""name"": ""Sub-Net potapljanje"", ""sport"": ""scuba_diving""}"
Tauchschule Ing. Patterer,,46.6099091,13.8652882,AT,,Villach,www.tauchen.or.at,,,,,,,166631632,way,"{""addr:city"": ""Villach"", ""addr:country"": ""AT"", ""addr:housenumber"": ""32"", ""addr:postcode"": ""9500"", ""addr:street"": ""St.Agathen Weg"", ""amenity"": ""dive_centre"", ""at_bev:addr_date"": ""2017-04-07"", ""building"": ""yes"", ""leisure"": ""sports_centre"", ""name"": ""Tauchschule Ing. Patterer"", ""source"": ""bing"", ""sport"": ""scuba_diving"", ""website"": ""www.tauchen.or.at""}"
