name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
CB Timanfaya,,28.9213052,-13.6666138,,,,,,,,,,,298970442,node,"{""amenity"": ""dive_centre"", ""name"": ""CB Timanfaya"", ""sport"": ""scuba_diving""}"
CB Profundo Azul,,38.5069342,-0.2275569,,,,,,,,,,,299664068,node,"{""leisure"": ""sports_centre"", ""name"": ""CB Profundo Azul"", ""sport"": ""scuba_diving""}"
CB Alisub,,38.5085906,-0.2187457,,,,,,,,,,,299664069,node,"{""leisure"": ""sports_centre"", ""name"": ""CB Alisub"", ""sport"": ""scuba_diving""}"
CB iSub,,36.7610456,-2.1112219,,,,,,,,,,,299665191,node,"{""name"": ""CB iSub"", ""sport"": ""scuba_diving""}"
CB Almasub,,36.9897353,-1.9012368,,,,,,,,,,,299665303,node,"{""name"": ""CB Almasub"", ""sport"": ""scuba_diving""}"
CB Costa Campello,,38.4314687,-0.3868671,,,,,,,,,,,299665756,node,"{""name"": ""CB Costa Campello"", ""sport"": ""scuba_diving""}"
CB Alphasub,,36.7627599,-2.1041183,,,,,,,,,,,307196217,node,"{""name"": ""CB Alphasub"", ""sport"": ""scuba_diving""}"
Dive & Fun Font de Sa Cala,,39.6833328,3.4515396,,,,http://www.mallorcadiving.de/,+34971818036,info@mallorcadiving.de,,,,,494221434,node,"{""amenity"": ""dive_centre"", ""check_date"": ""2024-04-14"", ""email"": ""info@mallorcadiving.de"", ""name"": ""Dive & Fun Font de Sa Cala"", ""phone"": ""+34971818036"", ""sport"": ""scuba_diving"", ""website"": ""http://www.mallorcadiving.de/""}"
El Bajón,,27.635451,-17.989397,,,,http://www.dive-links.com/tauchplatz.php?id=1816,,,,,,,663869527,node,"{""name"": ""El Baj\u00f3n"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1816""}"
Cala Roja- Cabo de Palos,,37.6325832,-0.6900091,,,,,,,,,,,663869529,node,"{""name"": ""Cala Roja- Cabo de Palos"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag""}"
Cala Cerrada,,37.540948,-1.153609,,,,,,,,,,,663869530,node,"{""name"": ""Cala Cerrada"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag""}"
la Pedrosa,,42.073431,3.2048378,,,,http://www.dive-links.com/tauchplatz.php?id=1835,,,,,,,663869682,node,"{""location"": ""underwater"", ""name"": ""la Pedrosa"", ""natural"": ""cave_entrance"", ""scuba_diving:divespot"": ""yes"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1835""}"
Massa d'Or (la Rata),,42.319954,3.3314833,,,,http://www.dive-links.com/tauchplatz.php?id=1834,,,,,,,663869684,node,"{""name"": ""Massa d'Or (la Rata)"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1834""}"
Le Liban,,43.2073445,5.3370887,,,,http://www.dive-links.com/tauchplatz.php?id=1286,,,,,,,663869688,node,"{""historic"": ""wreck"", ""name"": ""Le Liban"", ""scuba_diving:type"": ""wreck"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1286"", ""wikidata"": ""Q684484"", ""wikipedia"": ""fr:Liban (bateau de 1882)""}"
Wrack 'Sagona' (Le Grec),,42.9932666,6.2739333,,,,http://www.dive-links.com/tauchplatz.php?id=1415,,,,,,,663869693,node,"{""name"": ""Wrack 'Sagona' (Le Grec)"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1415"", ""wreck:depth"": ""35m""}"
Arroyo,,43.0483396,5.8697301,,,,http://scubaspot.free.fr/epaves/arroyo.html,,,,,,,663869694,node,"{""historic"": ""wreck"", ""name"": ""Arroyo"", ""scuba_diving:divespot"": ""yes"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:maxdepth"": ""36"", ""scuba_diving:mindepth"": ""20"", ""scuba_diving:type:sea"": ""yes"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""url"": ""http://scubaspot.free.fr/epaves/arroyo.html""}"
Wrack 'Prosper Schiaffino' (Alias Donator),,42.9941166,6.2783333,,,,http://www.dive-links.com/tauchplatz.php?id=1416,,,,,,,663869699,node,"{""name"": ""Wrack 'Prosper Schiaffino' (Alias Donator)"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1416"", ""wreck:depth"": ""25m""}"
La Tantine,please check and del this tag,43.0244334,6.3611,,,,http://www.dive-links.com/tauchplatz.php?id=1417,,,,,,,663869700,node,"{""alt_name"": ""La Barge aux congres"", ""historic"": ""wreck"", ""name"": ""La Tantine"", ""name:en"": ""Wrack 'Tantine'"", ""note"": ""please check and del this tag"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1417""}"
