name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Levanzo,,21.9820666,37.0409333,,,,,,,,,,,663869679,node,"{""historic"": ""wreck"", ""name"": ""Levanzo"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag""}"
Blue Belt,,20.22675,37.3152166,,,,,,,,,,,663869680,node,"{""historic"": ""wreck"", ""name"": ""Blue Belt"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag""}"
Umbria,,19.6367031,37.290526,,,,,,,,,,,663869681,node,"{""access"": ""yes"", ""historic"": ""wreck"", ""name"": ""Umbria"", ""seamark:type"": ""wreck"", ""source"": ""https://en.wikipedia.org/wiki/SS_Umbria"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""wikipedia"": ""en:SS Umbria"", ""wreck:date_sunk"": ""9 June 1940"", ""wreck:visible_at_high_tide"": ""no"", ""wreck:visible_at_low_tide"": ""no""}"
Gota Mesharifa,,20.8608834,37.3190921,,,,,,,,,,,9720985226,node,"{""name"": ""Gota Mesharifa"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving""}"
Pfeiffer Reef,,21.5851974,37.1018372,,,,,,,,,,,9720985227,node,"{""name"": ""Pfeiffer Reef"", ""sport"": ""scuba_diving""}"
Sweet Potato,,21.8060622,36.9789438,,,,,,,,,,,9720985772,node,"{""name"": ""Sweet Potato"", ""sport"": ""scuba_diving""}"
"Shaab Rumi, Precontinent 2",Experimantal unterwater station Precontinent II run by Jacques-Yves Cousteau in 1963,19.9389634,37.4042343,,,,,,,,,,,9720994071,node,"{""description"": ""Experimantal unterwater station Precontinent II run by Jacques-Yves Cousteau in 1963"", ""historic:civilization"": ""modern"", ""name"": ""Shaab Rumi, Precontinent 2"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving"", ""wikidata"": ""Q3408831"", ""wikipedia"": ""en:Continental Shelf Station Two""}"
Daharat Abida,,18.5028321,38.5989095,,,,,,,,,,,9721002510,node,"{""name"": ""Daharat Abida"", ""sport"": ""scuba_diving""}"
Merlo Reef,,20.844637,37.4186797,,,,,,,,,,,9721009908,node,"{""name"": ""Merlo Reef"", ""sport"": ""scuba_diving""}"
Shaab Jimna,,19.441989,37.7296579,,,,,,,,,,,9721012613,node,"{""name"": ""Shaab Jimna"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving""}"
Dibsel Island,,18.9018669,38.5891953,,,,,,,,,,,9721015872,node,"{""name"": ""Dibsel Island"", ""sport"": ""scuba_diving""}"
"Shab Rumi, Plateau S",Shab Rumi,19.9292342,37.4120877,,,,,,,,,,,9721022202,node,"{""description"": ""Shab Rumi"", ""name"": ""Shab Rumi, Plateau S"", ""sport"": ""scuba_diving""}"
Elba Reef,,21.968583,37.0254548,,,,,,,,,,,9721028451,node,"{""name"": ""Elba Reef"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving""}"
Abu Seif,,21.7861348,37.0023768,,,,,,,,,,,9721031165,node,"{""name"": ""Abu Seif"", ""sport"": ""scuba_diving""}"
Sanganeb Plauteua N,,19.7788503,37.4465546,,,,,,,,,,,9721031166,node,"{""name"": ""Sanganeb Plauteua N"", ""sport"": ""scuba_diving""}"
Angarosh,,20.8632051,37.4380164,,,,,,,,,,,9721033179,node,"{""name"": ""Angarosh"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving""}"
"Elba Reef, South Plateau",,21.9664172,37.0250213,,,,,,,,,,,9721215045,node,"{""name"": ""Elba Reef, South Plateau"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving""}"
"Elba Reef, North Plateau",,21.9699494,37.0270919,,,,,,,,,,,9721215046,node,"{""name"": ""Elba Reef, North Plateau"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving""}"
"SS Umbria, Wreck",,19.6367128,37.2906381,,,,,,,,,,,9721478944,node,"{""name"": ""SS Umbria, Wreck"", ""scuba_diving:type"": ""wreck"", ""sport"": ""scuba_diving"", ""wikipedia"": ""en:SS Umbria"", ""wreck:date_sunk"": ""9 June 1940""}"
