name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Kaivoslampi,,60.2398143,24.0345291,,,,,,,,,,,84468636,node,"{""amenity"": ""dive_centre"", ""name"": ""Kaivoslampi"", ""sport"": ""scuba_diving""}"
MV Goya,,55.2,18.03,,,,http://www.dive-links.com/tauchplatz.php?id=549,,,,,,,663871156,node,"{""historic"": ""wreck"", ""name"": ""MV Goya"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=549"", ""wreck:date_sunk"": ""1945-04-16""}"
Blaafjeld,,64.8643,11.6291666,,,,http://www.dive-links.com/tauchplatz.php?id=553,,,,,,,663871176,node,"{""historic"": ""wreck"", ""name"": ""Blaafjeld"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=553""}"
MS Hamburg,,68.23333,14.534333,,,,http://www.dive-links.com/tauchplatz.php?id=1952,,,,,,,663871180,node,"{""historic"": ""wreck"", ""name"": ""MS Hamburg"", ""seamark:type"": ""wreck"", ""source"": ""www.dive-links.com"", ""sport"": ""scuba_diving"", ""verified"": ""no, please check and del this tag"", ""website"": ""http://www.dive-links.com/tauchplatz.php?id=1952""}"
Trubaduren fyr,,57.5966667,11.6325,,,,,,,,,,,1531089111,node,"{""man_made"": ""lighthouse"", ""name"": ""Trubaduren fyr"", ""scuba_diving:divespot"": ""yes"", ""seamark:light:1:character"": ""LFl"", ""seamark:light:1:colour"": ""white"", ""seamark:light:1:group"": ""3"", ""seamark:light:1:height"": ""24"", ""seamark:light:1:period"": ""30"", ""seamark:light:1:range"": ""14"", ""seamark:light:1:sector_end"": ""131.6"", ""seamark:light:1:sector_start"": ""005.5"", ""seamark:light:1:sequence"": ""3+(3.5)+3+(3.5)+3+(14)"", ""seamark:light:2:character"": ""LFl"", ""seamark:light:2:colour"": ""red"", ""seamark:light:2:group"": ""3"", ""seamark:light:2:height"": ""24"", ""seamark:light:2:period"": ""30"", ""seamark:light:2:range"": ""10"", ""seamark:light:2:sector_end"": ""163.5"", ""seamark:light:2:sector_start"": ""131.6"", ""seamark:light:2:sequence"": ""3+(3.5)+3+(3.5)+3+(14)"", ""seamark:light:3:character"": ""LFl"", ""seamark:light:3:colour"": ""green"", ""seamark:light:3:group"": ""3"", ""seamark:light:3:height"": ""24"", ""seamark:light:3:period"": ""30"", ""seamark:light:3:range"": ""7"", ""seamark:light:3:sector_end"": ""214.4"", ""seamark:light:3:sector_start"": ""163.5"", ""seamark:light:3:sequence"": ""3+(3.5)+3+(3.5)+3+(14)"", ""seamark:light:4:character"": ""LFl"", ""seamark:light:4:colour"": ""white"", ""seamark:light:4:group"": ""3"", ""seamark:light:4:height"": ""24"", ""seamark:light:4:period"": ""30"", ""seamark:light:4:range"": ""14"", ""seamark:light:4:sector_end"": ""237.2"", ""seamark:light:4:sector_start"": ""214.4"", ""seamark:light:4:sequence"": ""3+(3.5)+3+(3.5)+3+(14)"", ""seamark:light:5:character"": ""LFl"", ""seamark:light:5:colour"": ""red"", ""seamark:light:5:group"": ""3"", ""seamark:light:5:height"": ""24"", ""seamark:light:5:period"": ""30"", ""seamark:light:5:range"": ""10"", ""seamark:light:5:sector_end"": ""247.5"", ""seamark:light:5:sector_start"": ""237.2"", ""seamark:light:5:sequence"": ""3+(3.5)+3+(3.5)+3+(14)"", ""seamark:light:6:character"": ""LFl"", ""seamark:light:6:colour"": ""green"", ""seamark:light:6:group"": ""3"", ""seamark:light:6:height"": ""24"", ""seamark:light:6:period"": ""30"", ""seamark:light:6:range"": ""7"", ""seamark:light:6:sector_end"": ""005.5"", ""seamark:light:6:sector_start"": ""247.5"", ""seamark:light:6:sequence"": ""3+(3.5)+3+(3.5)+3+(14)"", ""seamark:light:7:character"": ""Iso"", ""seamark:light:7:colour"": ""red"", ""seamark:light:7:height"": ""18"", ""seamark:light:7:period"": ""4"", ""seamark:light:7:range"": ""9"", ""seamark:light:7:sector_end"": ""131"", ""seamark:light:7:sector_start"": ""064"", ""seamark:light:reference"": ""C 0569"", ""seamark:name"": ""Trubaduren incl subsidiary light"", ""seamark:radar_transponder:category"": ""racon"", ""seamark:radar_transponder:group"": ""T"", ""seamark:radar_transponder:period"": ""30"", ""seamark:type"": ""light_major"", ""source"": ""http://www.sjofartsverket.se/UfsPdf/559EN.pdf"", ""sport"": ""scuba_diving"", ""wikidata"": ""Q10705230""}"
Iso-Melkuttimen sukellustukikohta,Sukellustukikohta on sopimuksen mukaan kaikkien sukeltajien käytössä seurajäsenyydestä riippumatta. Myös harrastesukelluskoulutusta järjestävät seurat ja yritykset saavat käyttää aluetta. Koko alue on jokamiehenoikeuksien piirissä.,60.7383427,24.0615674,,,,,,,,,,,3037521469,node,"{""amenity"": ""dive_centre"", ""contact:website"": ""https://www.riusuk.net/iso-melkutin/"", ""description"": ""Sukellustukikohta on sopimuksen mukaan kaikkien sukeltajien k\u00e4yt\u00f6ss\u00e4 seuraj\u00e4senyydest\u00e4 riippumatta. My\u00f6s harrastesukelluskoulutusta j\u00e4rjest\u00e4v\u00e4t seurat ja yritykset saavat k\u00e4ytt\u00e4\u00e4 aluetta. Koko alue on jokamiehenoikeuksien piiriss\u00e4."", ""name"": ""Iso-Melkuttimen sukellustukikohta"", ""opening_hours"": ""24/7"", ""sport"": ""scuba_diving"", ""surface"": ""wood""}"
Äventyrsgruvan,,60.3407863,15.1798059,SE,,Idkerberget,https://www.aventyrsgruvan.se/,,,,,,,4197632501,node,"{""addr:city"": ""Idkerberget"", ""addr:country"": ""SE"", ""addr:housenumber"": ""50"", ""addr:postcode"": ""781 99"", ""addr:street"": ""Krongruvv\u00e4gen"", ""historic"": ""mine"", ""name"": ""\u00c4ventyrsgruvan"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""website"": ""https://www.aventyrsgruvan.se/""}"
Sportsdykkerklub Aquanaut,Klub aften onsdage kl 20 til 22,56.0409961,12.614613,,,,http://www.aquanaut.dk,,,,,,,4393294544,node,"{""club"": ""sport"", ""name"": ""Sportsdykkerklub Aquanaut"", ""note"": ""Klub aften onsdage kl 20 til 22"", ""sport"": ""scuba_diving"", ""website"": ""http://www.aquanaut.dk""}"
Björkviks brygga,,59.2205522,18.5373898,,,,,,,,,,,5002097887,node,"{""name"": ""Bj\u00f6rkviks brygga"", ""scuba_diving:attraction:archaeology"": ""no"", ""scuba_diving:attraction:bigfish"": ""no"", ""scuba_diving:attraction:biology"": ""no"", ""scuba_diving:attraction:cave"": ""no"", ""scuba_diving:attraction:drop_off"": ""no"", ""scuba_diving:attraction:night"": ""no"", ""scuba_diving:attraction:reef"": ""no"", ""scuba_diving:attraction:rocks"": ""no"", ""scuba_diving:attraction:scrap"": ""no"", ""scuba_diving:dangers:current"": ""no"", ""scuba_diving:dangers:dangerous_species"": ""no"", ""scuba_diving:dangers:depth"": ""no"", ""scuba_diving:dangers:explosives"": ""no"", ""scuba_diving:dangers:harpooning"": ""no"", ""scuba_diving:dangers:net"": ""no"", ""scuba_diving:dangers:obstacles"": ""no"", ""scuba_diving:dangers:ship"": ""no"", ""scuba_diving:dangers:stones"": ""no"", ""scuba_diving:dangers:surfers"": ""no"", ""scuba_diving:entry:boat"": ""no"", ""scuba_diving:entry:ladder"": ""no"", ""scuba_diving:entry:shore"": ""yes"", ""scuba_diving:entry:stair"": ""no"", ""scuba_diving:entry:steep"": ""no"", ""scuba_diving:entry:steps"": ""no"", ""scuba_diving:entry:stones"": ""no"", ""scuba_diving:surface:brash"": ""no"", ""scuba_diving:surface:ooze"": ""no"", ""scuba_diving:surface:sand"": ""yes"", ""scuba_diving:type:apnoe"": ""no"", ""scuba_diving:type:children"": ""no"", ""scuba_diving:type:drift"": ""no"", ""scuba_diving:type:flowing_waters"": ""no"", ""scuba_diving:type:ice"": ""no"", ""scuba_diving:type:lake"": ""no"", ""scuba_diving:type:mountain"": ""no"", ""scuba_diving:type:sea"": ""yes"", ""sport"": ""scuba_diving""}"
Snorkelled,,59.2207067,18.547744,,,,,,,,,,,5002097913,node,"{""name"": ""Snorkelled"", ""scuba_diving:attraction:archaeology"": ""no"", ""scuba_diving:attraction:bigfish"": ""no"", ""scuba_diving:attraction:biology"": ""yes"", ""scuba_diving:attraction:cave"": ""no"", ""scuba_diving:attraction:drop_off"": ""no"", ""scuba_diving:attraction:night"": ""no"", ""scuba_diving:attraction:reef"": ""no"", ""scuba_diving:attraction:rocks"": ""no"", ""scuba_diving:attraction:scrap"": ""no"", ""scuba_diving:dangers:current"": ""no"", ""scuba_diving:dangers:dangerous_species"": ""no"", ""scuba_diving:dangers:depth"": ""no"", ""scuba_diving:dangers:explosives"": ""no"", ""scuba_diving:dangers:harpooning"": ""no"", ""scuba_diving:dangers:net"": ""no"", ""scuba_diving:dangers:obstacles"": ""no"", ""scuba_diving:dangers:ship"": ""no"", ""scuba_diving:dangers:stones"": ""no"", ""scuba_diving:dangers:surfers"": ""no"", ""scuba_diving:entry:boat"": ""no"", ""scuba_diving:entry:ladder"": ""yes"", ""scuba_diving:entry:shore"": ""yes"", ""scuba_diving:entry:stair"": ""no"", ""scuba_diving:entry:steep"": ""no"", ""scuba_diving:entry:steps"": ""no"", ""scuba_diving:entry:stones"": ""no"", ""scuba_diving:surface:brash"": ""no"", ""scuba_diving:surface:ooze"": ""no"", ""scuba_diving:surface:sand"": ""no"", ""scuba_diving:type:apnoe"": ""no"", ""scuba_diving:type:children"": ""no"", ""scuba_diving:type:drift"": ""no"", ""scuba_diving:type:flowing_waters"": ""no"", ""scuba_diving:type:ice"": ""no"", ""scuba_diving:type:lake"": ""no"", ""scuba_diving:type:mountain"": ""no"", ""scuba_diving:type:sea"": ""yes"", ""seamark:information"": ""Diving spot"", ""seamark:status"": ""public"", ""sport"": ""scuba_diving""}"
Marina af Hönö,,57.6212259,11.6345894,,,,,,,,,,,6612200789,node,"{""comment"": ""Upright ship wreck, close to shore. Normaly not in the sea chart as it is not relevant for navigation."", ""historic"": ""wreck"", ""name"": ""Marina af H\u00f6n\u00f6"", ""scuba_diving:maxdepth"": ""30"", ""scuba_diving:type"": ""wreck"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""non-dangerous"", ""sport"": ""scuba_diving"", ""wreck:depth"": ""30""}"
Aquarios,,55.7125278,12.5802499,,,,,,,,,,,9835846812,node,"{""club"": ""sport"", ""name"": ""Aquarios"", ""sport"": ""scuba_diving""}"
Reel Diving,,57.6411716,12.0254041,,,Mölndal,https://www.reeldiving.com/,+46 31 7880002,sales@reeldiving.com,,,,,12454433296,node,"{""addr:city"": ""M\u00f6lndal"", ""addr:housenumber"": ""10"", ""addr:postcode"": ""43153"", ""addr:street"": ""Kr\u00e5ketorpsgatan"", ""email"": ""sales@reeldiving.com"", ""name"": ""Reel Diving"", ""office"": ""scuba_diving"", ""opening_hours"": ""Mo-Fr 09:00-16:00"", ""phone"": ""+46 31 7880002"", ""sport"": ""scuba_diving"", ""website"": ""https://www.reeldiving.com/""}"
Nieman,,57.6421537,11.6123262,,,,,,,,,,,12569811096,node,"{""alt_name"": ""Ryssen"", ""historic"": ""wreck"", ""name"": ""Nieman"", ""scuba_diving:divespot"": ""yes"", ""seamark:type"": ""wreck"", ""seamark:wreck:category"": ""distributed_remains"", ""sport"": ""scuba_diving"", ""wreck:date_sunk"": ""1852"", ""wreck:visible_at_high_tide"": ""no"", ""wreck:visible_at_low_tide"": ""no""}"
Oktopusas,,56.0479861,21.8322248,,,Plateliai,,,,,,,,320717944,way,"{""addr:city"": ""Plateliai"", ""addr:housenumber"": ""40C"", ""addr:street"": ""E\u017eero g."", ""amenity"": ""dive_centre"", ""building"": ""yes"", ""name"": ""Oktopusas"", ""sport"": ""scuba_diving""}"
Havheksen,,55.655048,12.6512015,,,,,,,,,,,343369125,way,"{""name"": ""Havheksen"", ""scuba_diving:type:attraction"": ""yes"", ""sport"": ""scuba_diving""}"
BB 1,,55.9713522,11.8489907,,,,,,,,,,,392504435,way,"{""area"": ""yes"", ""man_made"": ""breakwater"", ""name"": ""BB 1"", ""sport"": ""scuba_diving""}"
Midsommarviken,,57.634836,11.6090446,,,,,,,,,,multipolygon,11530184,relation,"{""name"": ""Midsommarviken"", ""natural"": ""bay"", ""scuba_diving:difficulty"": ""1"", ""scuba_diving:entry"": ""boat"", ""scuba_diving:maxdepth"": ""20"", ""scuba_diving:type"": ""lagoon"", ""sport"": ""scuba_diving"", ""type"": ""multipolygon""}"
