name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Richelieu Rock,,9.3634061,98.0220602,,,,,,,,,,,270804074,node,"{""description:en"": ""One of the most rich and beautiful underwater place around the world with plenty of colorful corals. High probability meet caranxs and cuttlefishes here, more rare whale sharks and manta rays."", ""description:ru"": ""\u041e\u0434\u0438\u043d \u0438\u0437 \u043a\u0440\u0430\u0441\u0438\u0432\u0435\u0439\u0448\u0438\u0445 \u0434\u0430\u0439\u0432 \u0441\u043f\u043e\u0442\u043e\u0432 \u043f\u043e \u043a\u043e\u0440\u0430\u043b\u043b\u0430\u043c \u0432 \u043c\u0438\u0440\u0435. \u0411\u043e\u043b\u044c\u0448\u0430\u044f \u043f\u0440\u043e\u0442\u044f\u0436\u0435\u043d\u043d\u043e\u0441\u0442\u044c \u0440\u0438\u0444\u0430, \u043d\u0435\u0441\u043a\u043e\u043b\u044c\u043a\u043e \u043e\u0442\u0434\u0435\u043b\u044c\u043d\u044b\u0445 \u0432\u0435\u0440\u0448\u0438\u043d. \u0412 \u044d\u0442\u043e\u043c \u043c\u0435\u0441\u0442\u0435 \u043c\u043d\u043e\u0433\u043e \u043a\u0430\u0440\u0430\u043d\u043a\u0441\u043e\u0432 \u0438 \u0432\u043e\u0437\u043c\u043e\u0436\u043d\u043e \u0432\u0441\u0442\u0440\u0435\u0442\u0438\u0442\u044c \u043a\u0430\u0440\u0430\u043a\u0430\u0442\u0438\u0446. \u0414\u0440\u0443\u0437\u044c\u044f \u043f\u043b\u0430\u0432\u0430\u043b\u0438 \u0441 \u043c\u0430\u043d\u0442\u0430\u043c\u0438 \u0438 \u043a\u0438\u0442\u043e\u0432\u043e\u0439 \u0430\u043a\u0443\u043b\u043e\u0439, \u043d\u043e \u044d\u0442\u043e \u0440\u0435\u0434\u043a\u043e\u0435 \u044f\u0432\u043b\u0435\u043d\u0438\u0435."", ""name"": ""Richelieu Rock"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction"", ""wikidata"": ""Q7330401"", ""wikipedia"": ""en:Richelieu Rock""}"
Twin Peaks,,9.0562852,97.8150386,,,,,,,,,,,270980741,node,"{""name"": ""Twin Peaks"", ""scuba_diving:entry"": ""boat"", ""scuba_diving:type:reef"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Elephant Head,,8.6196229,97.6408268,,,,,,,,,,,270980993,node,"{""name"": ""Elephant Head"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""sport:scuba_diving"": ""yes"", ""tourism"": ""attraction""}"
Hin Jom,,7.8073921,98.6273756,,,,,,,,,,,270985343,node,"{""name"": ""Hin Jom"", ""name:en"": ""Anemone Reef"", ""natural"": ""reef"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Hin Mu Sang,,7.7983423,98.6265159,,,,,,,,,,,270985345,node,"{""name"": ""Hin Mu Sang"", ""name:en"": ""Shark Point Dive Site"", ""scuba_diving:entry:boat"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
MS King Cruiser,,7.8013441,98.6429069,,,,,,,,,,,340378903,node,"{""historic"": ""wreck"", ""name"": ""MS King Cruiser"", ""scuba_diving:entry:boat"": ""yes"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction"", ""wreck:date_sunk"": ""1997-05-04""}"
D'Lagoon,,5.9324021,102.7232596,,,,,,,,,,,497187649,node,"{""name"": ""D'Lagoon"", ""name:en"": ""D'Lagoon"", ""natural"": ""reef"", ""reef"": ""coral"", ""scuba_diving:divespot"": ""yes"", ""sport"": ""scuba_diving""}"
seafan forest,,9.9462299,97.8623511,,,,,,,,,,,602929120,node,"{""name"": ""seafan forest"", ""sport"": ""scuba_diving""}"
Western Rocky,,9.860141,97.8678457,,,,,,,,,,,602929121,node,"{""name"": ""Western Rocky"", ""sport"": ""scuba_diving""}"
South Rock,,10.0906524,97.9943998,,,,,,,,,,,602929141,node,"{""name"": ""South Rock"", ""sport"": ""scuba_diving""}"
