name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Shark Sculpture,underwater shark sculpture,36.1908981,29.6091391,,,,,,,,,,,27147064,node,"{""artwork_type"": ""statue"", ""description"": ""underwater shark sculpture"", ""is_in"": ""Turkey, Antalya, Ka\u015f"", ""name"": ""Shark Sculpture"", ""sport"": ""scuba_diving"", ""tourism"": ""artwork""}"
Καλλιθέα,,36.3776033,28.2372284,,,,,,,,,,,793101120,node,"{""int_name"": ""Kalithea"", ""name"": ""\u039a\u03b1\u03bb\u03bb\u03b9\u03b8\u03ad\u03b1"", ""name:de"": ""Kalithea Therme"", ""name:el"": ""Kalithea Therme"", ""name:en"": ""Kalithea"", ""name:tr"": ""Kalatiz"", ""operator"": ""Waterhoppers"", ""place"": ""suburb"", ""sport"": ""scuba_diving""}"
Waterhoppers,Info point only,36.4477122,28.2263974,,,,,,,,,,,793101328,node,"{""description"": ""Info point only"", ""name"": ""Waterhoppers"", ""sport"": ""scuba_diving""}"
Turuncu Dalış Merkezi,,41.0906916,29.0046893,,,İSTANBUL,http://www.turuncudalismerkezi.com,+90 (212) 325 64 30,,,,,,2316894492,node,"{""addr:city"": ""\u0130STANBUL"", ""addr:housename"": ""4.Levent - Ka\u011f\u0131thane"", ""addr:housenumber"": ""No : 16 Kat :2"", ""addr:postcode"": ""34330"", ""addr:street"": ""Sultan Selim Caddesi"", ""name"": ""Turuncu Dal\u0131\u015f Merkezi"", ""phone"": ""+90 (212) 325 64 30"", ""sport"": ""scuba_diving"", ""website"": ""http://www.turuncudalismerkezi.com""}"
point of interest? rock?,,36.4465995,25.446825,,,,,,,,,,,2350952544,node,"{""fixme"": ""key trourism:viewpoint was obviously incorrect, please identify source of interest for this point with local knowledge"", ""name"": ""point of interest? rock?"", ""seamark:rock:water_level"": ""submerged"", ""seamark:type"": ""rock"", ""sport"": ""scuba_diving""}"
Kerveli scouba diving,,37.7325497,27.0360789,,,,,,,,,,,2547460303,node,"{""leisure"": ""pitch"", ""name"": ""Kerveli scouba diving"", ""sport"": ""scuba_diving""}"
Uçak Batığı,,36.9870592,27.4325639,,,,,,,,,,,10973665012,node,"{""name"": ""U\u00e7ak Bat\u0131\u011f\u0131"", ""scuba_diving:type"": ""wreck"", ""sport"": ""scuba_diving""}"
Büyük Resif,,37.0056664,27.4129862,,,,,,,,,,,10973665013,node,"{""name"": ""B\u00fcy\u00fck Resif"", ""scuba_diving:type"": ""reef"", ""sport"": ""scuba_diving""}"
Aksona,,36.9599139,27.4864435,,,,,,,,,,,10973665014,node,"{""name"": ""Aksona"", ""scuba_diving:type"": ""yes"", ""sport"": ""scuba_diving""}"
Σπήλαιο Αρχαγγέλου,Natural Caves and Grottos,36.2025045,28.1425738,,,,,,,,,,,11212100525,node,"{""description"": ""Natural Caves and Grottos"", ""name"": ""\u03a3\u03c0\u03ae\u03bb\u03b1\u03b9\u03bf \u0391\u03c1\u03c7\u03b1\u03b3\u03b3\u03ad\u03bb\u03bf\u03c5"", ""name:el"": ""\u03a3\u03c0\u03ae\u03bb\u03b1\u03b9\u03bf \u0391\u03c1\u03c7\u03b1\u03b3\u03b3\u03ad\u03bb\u03bf\u03c5"", ""name:en"": ""Archangelos Cave"", ""natural"": ""cave_entrance"", ""scuba_diving:divespot"": ""no"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
The Waterhoppers,,36.4367766,28.2048634,,,,https://www.waterhoppers.com/,+302241038146,info@waterhoppers.com,,,,,11840585582,node,"{""addr:street"": ""\u03a1\u03cc\u03b4\u03bf\u03c2 - \u039a\u03c1\u03b7\u03c4\u03b9\u03ba\u03ac"", ""amenity"": ""dive_centre"", ""email"": ""info@waterhoppers.com"", ""name"": ""The Waterhoppers"", ""opening_hours"": ""on demand"", ""operator"": ""The Waterhoppers"", ""payment:cash"": ""yes"", ""phone"": ""+302241038146"", ""scuba_diving:courses"": ""yes"", ""scuba_diving:hobby"": ""yes"", ""scuba_diving:rental"": ""yes"", ""sport"": ""scuba_diving"", ""website"": ""https://www.waterhoppers.com/""}"
Psarapoula,,36.453164,28.2169361,,,,,,,,,,,11842033099,node,"{""name"": ""Psarapoula"", ""sport"": ""scuba_diving""}"
