name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Tauchclub Octopus Siegen,,50.8744648,8.0345545,DE,,Siegen,https://www.tc-octopus.de,,kontakt@tc-octopus.de,,,,,278209602,node,"{""addr:city"": ""Siegen"", ""addr:country"": ""DE"", ""addr:housenumber"": ""105"", ""addr:postcode"": ""57074"", ""addr:street"": ""Marienborner Stra\u00dfe"", ""email"": ""kontakt@tc-octopus.de"", ""name"": ""Tauchclub Octopus Siegen"", ""office"": ""association"", ""official_name"": ""Tauchclub Octopus Siegen e.V."", ""short_name"": ""TCO"", ""sport"": ""scuba_diving"", ""website"": ""https://www.tc-octopus.de"", ""wheelchair"": ""no""}"
Brechtsee,,49.2177202,8.4047528,DE,,,,,,,,,,291209539,node,"{""addr:country"": ""DE"", ""name"": ""Brechtsee"", ""sport"": ""scuba_diving""}"
Taucherkiste Freiburg,,48.0643717,7.8150303,,,,,,,,,,,310181002,node,"{""amenity"": ""compressed_air"", ""name"": ""Taucherkiste Freiburg"", ""sport"": ""scuba_diving""}"
Gudrun,,58.2365406,6.6540044,,,,,,,,,,,310268843,node,"{""ft_symbol"": ""150"", ""historic"": ""wreck"", ""name"": ""Gudrun"", ""seamark:type"": ""wreck"", ""sport"": ""scuba_diving""}"
SC WÖRTH Taucher,,49.0895026,8.2928303,,,,,,,,,,,344865782,node,"{""name"": ""SC W\u00d6RTH Taucher"", ""sport"": ""scuba_diving""}"
Basis am Blausteinsee,,50.853654,6.2660855,,,,,,,,,,,369967877,node,"{""amenity"": ""dive_centre"", ""name"": ""Basis am Blausteinsee"", ""sport"": ""scuba_diving""}"
Tauchschule Büdingen,,50.2545445,9.0231028,,,,,+49 6048 98 17 20,,,,,,370443237,node,"{""contact:fax"": ""+49 6048 98172"", ""contact:phone"": ""+49 6048 98 17 20"", ""contact:website"": ""http://www.tauchschule-buedingen.com/index.php?id=52"", ""name"": ""Tauchschule B\u00fcdingen"", ""sport"": ""scuba_diving""}"
Outer Mulberry,Accuracy only about 100m,50.7451906,-0.7043666,,,,,,,,,,,379613894,node,"{""historic"": ""wreck"", ""name"": ""Outer Mulberry"", ""note"": ""Accuracy only about 100m"", ""seamark:type"": ""wreck"", ""source"": ""gps"", ""sport"": ""scuba_diving""}"
Tabarka (block ship),,58.9267702,-3.3131054,,,,,,,,,,,406542562,node,"{""name"": ""Tabarka (block ship)"", ""scuba_diving:divespot"": ""wreck"", ""sport"": ""scuba_diving""}"
Gobernador,,58.9232016,-3.3111347,,,,,,,,,,,406542570,node,"{""name"": ""Gobernador"", ""scuba_diving:divespot"": ""wreck"", ""sport"": ""scuba_diving""}"
F2,,58.8454911,-3.1945524,,,,,,,,,,,406542573,node,"{""name"": ""F2"", ""scuba_diving:divespot"": ""wreck"", ""sport"": ""scuba_diving""}"
SMS Karlsruhe,,58.8895237,-3.1870727,,,,,,,,,,,406542586,node,"{""name"": ""SMS Karlsruhe"", ""scuba_diving:divespot"": ""wreck"", ""sport"": ""scuba_diving""}"
