name,description,lat,lon,country,region,city,website,phone,email,difficulty,max_depth,entry_type,site_type,osm_id,osm_type,tags
Scuba Zone,,12.2333209,109.1962077,,,,,,,,,,,1631209352,node,"{""leisure"": ""sports_centre"", ""name"": ""Scuba Zone"", ""name:de"": ""Scuba Zone Dive Centre"", ""sport"": ""scuba_diving""}"
Angel Dive,,12.2332138,109.195692,,,,,,,,,,,1631209371,node,"{""leisure"": ""sports_centre"", ""name"": ""Angel Dive"", ""name:de"": ""Angel Dive"", ""sport"": ""scuba_diving""}"
Turtle Dive,,12.2331751,109.1955054,,,,,,,,,,,1631209374,node,"{""leisure"": ""sports_centre"", ""name"": ""Turtle Dive"", ""name:ru"": ""\u041c\u043e\u0442\u043e\u0442\u0443\u0440"", ""sport"": ""scuba_diving""}"
Rainbow Divers,,12.2361406,109.1953787,,,,,,,,,,,1631244528,node,"{""leisure"": ""sports_centre"", ""name"": ""Rainbow Divers"", ""name:de"": ""Rainbow Divers Dive Centre"", ""sport"": ""scuba_diving""}"
The Elephants,submerged statues of elephants,11.805333,102.4554154,,,,,,,,,,,2607957014,node,"{""artwork_type"": ""sculpture"", ""description"": ""submerged statues of elephants"", ""name"": ""The Elephants"", ""scuba_diving:type"": ""attraction"", ""sport"": ""scuba_diving"", ""tourism"": ""artwork""}"
Corner Bar,,10.6265304,103.2956549,,,,,,,,15,,,3650995806,node,"{""depth"": ""15"", ""entry"": ""boat"", ""name"": ""Corner Bar"", ""scuba_diving"": ""divespot"", ""sport"": ""scuba_diving""}"
Old Jetty Wreck,,10.619907,103.3023588,,,,,,,,6,,,3651013790,node,"{""depth"": ""6"", ""name"": ""Old Jetty Wreck"", ""scuba_diving"": ""divespot"", ""sport"": ""scuba_diving""}"
Blueberry Hill,,11.9064514,102.3152629,,,,,,,,,,,4031580862,node,"{""name"": ""Blueberry Hill"", ""scuba_diving:dangers:current"": ""no"", ""scuba_diving:dangers:dangerous_species"": ""no"", ""scuba_diving:dangers:depth"": ""no"", ""scuba_diving:dangers:explosives"": ""no"", ""scuba_diving:dangers:harpooning"": ""no"", ""scuba_diving:dangers:net"": ""no"", ""scuba_diving:dangers:obstacles"": ""no"", ""scuba_diving:dangers:ship"": ""no"", ""scuba_diving:dangers:stones"": ""no"", ""scuba_diving:dangers:surfers"": ""no"", ""scuba_diving:depth"": ""13"", ""scuba_diving:descent_line"": ""no"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:entry:ladder"": ""no"", ""scuba_diving:entry:shore"": ""no"", ""scuba_diving:entry:stair"": ""no"", ""scuba_diving:entry:steep"": ""no"", ""scuba_diving:entry:steps"": ""no"", ""scuba_diving:entry:stone"": ""no"", ""scuba_diving:type:ambiance"": ""no"", ""scuba_diving:type:apnoe"": ""no"", ""scuba_diving:type:archaeology"": ""no"", ""scuba_diving:type:attraction"": ""no"", ""scuba_diving:type:bigfish"": ""no"", ""scuba_diving:type:biology"": ""no"", ""scuba_diving:type:boat"": ""no"", ""scuba_diving:type:cave"": ""no"", ""scuba_diving:type:cavern"": ""no"", ""scuba_diving:type:children"": ""no"", ""scuba_diving:type:cold"": ""no"", ""scuba_diving:type:drift"": ""no"", ""scuba_diving:type:gravel"": ""no"", ""scuba_diving:type:handicap"": ""no"", ""scuba_diving:type:high"": ""no"", ""scuba_diving:type:ice"": ""no"", ""scuba_diving:type:intro"": ""no"", ""scuba_diving:type:lagoon"": ""no"", ""scuba_diving:type:night"": ""no"", ""scuba_diving:type:ooze"": ""no"", ""scuba_diving:type:orientation"": ""no"", ""scuba_diving:type:photography"": ""no"", ""scuba_diving:type:pool"": ""no"", ""scuba_diving:type:reef"": ""no"", ""scuba_diving:type:river"": ""no"", ""scuba_diving:type:rocks"": ""no"", ""scuba_diving:type:sand"": ""no"", ""scuba_diving:type:scrap"": ""no"", ""scuba_diving:type:sharks"": ""no"", ""scuba_diving:type:speleology"": ""no"", ""scuba_diving:type:training"": ""no"", ""scuba_diving:type:wall"": ""no"", ""scuba_diving:type:wreck"": ""no"", ""sport"": ""scuba_diving""}"
HTMS Chang (Wreck) - Scuba Diving,,11.8944609,102.2573622,,,,,,,,,,,4031580863,node,"{""name"": ""HTMS Chang (Wreck) - Scuba Diving"", ""scuba_diving:dangers:current"": ""no"", ""scuba_diving:dangers:dangerous_species"": ""no"", ""scuba_diving:dangers:depth"": ""no"", ""scuba_diving:dangers:explosives"": ""no"", ""scuba_diving:dangers:harpooning"": ""no"", ""scuba_diving:dangers:net"": ""no"", ""scuba_diving:dangers:obstacles"": ""no"", ""scuba_diving:dangers:ship"": ""no"", ""scuba_diving:dangers:stones"": ""no"", ""scuba_diving:dangers:surfers"": ""no"", ""scuba_diving:depth"": ""24"", ""scuba_diving:descent_line"": ""no"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:entry:ladder"": ""no"", ""scuba_diving:entry:shore"": ""no"", ""scuba_diving:entry:stair"": ""no"", ""scuba_diving:entry:steep"": ""no"", ""scuba_diving:entry:steps"": ""no"", ""scuba_diving:entry:stone"": ""no"", ""scuba_diving:type:ambiance"": ""no"", ""scuba_diving:type:apnoe"": ""no"", ""scuba_diving:type:archaeology"": ""no"", ""scuba_diving:type:attraction"": ""no"", ""scuba_diving:type:bigfish"": ""no"", ""scuba_diving:type:biology"": ""no"", ""scuba_diving:type:boat"": ""no"", ""scuba_diving:type:cave"": ""no"", ""scuba_diving:type:cavern"": ""no"", ""scuba_diving:type:children"": ""no"", ""scuba_diving:type:cold"": ""no"", ""scuba_diving:type:drift"": ""no"", ""scuba_diving:type:gravel"": ""no"", ""scuba_diving:type:handicap"": ""no"", ""scuba_diving:type:high"": ""no"", ""scuba_diving:type:ice"": ""no"", ""scuba_diving:type:intro"": ""no"", ""scuba_diving:type:lagoon"": ""no"", ""scuba_diving:type:night"": ""no"", ""scuba_diving:type:ooze"": ""no"", ""scuba_diving:type:orientation"": ""no"", ""scuba_diving:type:photography"": ""no"", ""scuba_diving:type:pool"": ""no"", ""scuba_diving:type:reef"": ""no"", ""scuba_diving:type:river"": ""no"", ""scuba_diving:type:rocks"": ""no"", ""scuba_diving:type:sand"": ""no"", ""scuba_diving:type:scrap"": ""no"", ""scuba_diving:type:sharks"": ""no"", ""scuba_diving:type:speleology"": ""no"", ""scuba_diving:type:training"": ""no"", ""scuba_diving:type:wall"": ""no"", ""scuba_diving:type:wreck"": ""yes"", ""sport"": ""scuba_diving"", ""tourism"": ""attraction""}"
Hin Luk Bath,,11.9462565,102.2841667,,,,,,,,,,,4031580864,node,"{""name"": ""Hin Luk Bath"", ""name:en"": ""Hin Luk Bath"", ""name:th"": ""\u0e2b\u0e34\u0e19\u0e25\u0e39\u0e01\u0e1a\u0e32\u0e14"", ""scuba_diving:dangers:current"": ""no"", ""scuba_diving:dangers:dangerous_species"": ""no"", ""scuba_diving:dangers:depth"": ""no"", ""scuba_diving:dangers:explosives"": ""no"", ""scuba_diving:dangers:harpooning"": ""no"", ""scuba_diving:dangers:net"": ""no"", ""scuba_diving:dangers:obstacles"": ""no"", ""scuba_diving:dangers:ship"": ""no"", ""scuba_diving:dangers:stones"": ""no"", ""scuba_diving:dangers:surfers"": ""no"", ""scuba_diving:depth"": ""15"", ""scuba_diving:descent_line"": ""no"", ""scuba_diving:entry:boat"": ""yes"", ""scuba_diving:entry:ladder"": ""no"", ""scuba_diving:entry:shore"": ""no"", ""scuba_diving:entry:stair"": ""no"", ""scuba_diving:entry:steep"": ""no"", ""scuba_diving:entry:steps"": ""no"", ""scuba_diving:entry:stone"": ""no"", ""scuba_diving:type:ambiance"": ""no"", ""scuba_diving:type:apnoe"": ""no"", ""scuba_diving:type:archaeology"": ""no"", ""scuba_diving:type:attraction"": ""no"", ""scuba_diving:type:bigfish"": ""no"", ""scuba_diving:type:biology"": ""no"", ""scuba_diving:type:boat"": ""no"", ""scuba_diving:type:cave"": ""no"", ""scuba_diving:type:cavern"": ""no"", ""scuba_diving:type:children"": ""no"", ""scuba_diving:type:cold"": ""no"", ""scuba_diving:type:drift"": ""no"", ""scuba_diving:type:gravel"": ""no"", ""scuba_diving:type:handicap"": ""no"", ""scuba_diving:type:high"": ""no"", ""scuba_diving:type:ice"": ""no"", ""scuba_diving:type:intro"": ""no"", ""scuba_diving:type:lagoon"": ""no"", ""scuba_diving:type:night"": ""no"", ""scuba_diving:type:ooze"": ""no"", ""scuba_diving:type:orientation"": ""no"", ""scuba_diving:type:photography"": ""no"", ""scuba_diving:type:pool"": ""no"", ""scuba_diving:type:reef"": ""no"", ""scuba_diving:type:river"": ""no"", ""scuba_diving:type:rocks"": ""no"", ""scuba_diving:type:sand"": ""no"", ""scuba_diving:type:scrap"": ""no"", ""scuba_diving:type:sharks"": ""no"", ""scuba_diving:type:speleology"": ""no"", ""scuba_diving:type:training"": ""no"", ""scuba_diving:type:wall"": ""no"", ""scuba_diving:type:wreck"": ""no"", ""sport"": ""scuba_diving""}"
